Date,Open,High,Low,Close,Adj Close,Volume
1992-03-19,4.551111,4.622222,4.266667,4.408889,3.200895,10471000
1992-03-20,4.408889,4.764444,4.408889,4.693333,3.407405,2428800
1992-03-23,4.693333,4.693333,4.480000,4.515555,3.278336,615300
1992-03-24,4.480000,4.693333,4.480000,4.657778,3.381590,1281300
1992-03-25,4.693333,4.693333,4.551111,4.693333,3.407405,848400
1992-03-26,4.693333,4.693333,4.551111,4.657778,3.381590,406500
1992-03-27,4.657778,4.693333,4.480000,4.480000,3.252523,461200
1992-03-30,4.622222,4.622222,4.337778,4.337778,3.149268,612100
1992-03-31,4.337778,4.480000,4.337778,4.337778,3.149268,319900
1992-04-01,4.337778,4.480000,4.337778,4.373333,3.175081,179200
1992-04-02,4.337778,4.480000,4.337778,4.408889,3.200895,159700
1992-04-03,4.337778,4.480000,4.266667,4.337778,3.149268,392800
1992-04-06,4.266667,4.408889,4.266667,4.266667,3.097640,194500
1992-04-07,4.266667,4.408889,4.124444,4.337778,3.149268,569400
1992-04-08,4.195556,4.266667,4.124444,4.266667,3.097640,504000
1992-04-09,4.124444,4.337778,4.124444,4.337778,3.149268,551800
1992-04-10,4.302222,4.337778,4.266667,4.266667,3.097640,446100
1992-04-13,4.266667,4.337778,4.266667,4.337778,3.149268,251500
1992-04-14,4.337778,4.551111,4.302222,4.551111,3.304150,692500
1992-04-15,4.480000,4.693333,4.480000,4.693333,3.407405,763800
1992-04-16,4.693333,4.764444,4.551111,4.622222,3.355779,393000
1992-04-20,4.622222,4.764444,4.622222,4.764444,3.459031,300300
1992-04-21,4.622222,4.764444,4.622222,4.693333,3.407405,204000
1992-04-22,4.657778,4.764444,4.622222,4.622222,3.355779,186900
1992-04-23,4.764444,4.764444,4.622222,4.622222,3.355779,164700
1992-04-24,4.764444,4.764444,4.622222,4.657778,3.381590,55000
1992-04-27,4.622222,4.764444,4.480000,4.480000,3.252523,190000
1992-04-28,4.622222,4.622222,4.408889,4.408889,3.200895,349300
1992-04-29,4.408889,4.480000,4.337778,4.337778,3.149268,24000
1992-04-30,4.337778,4.515555,4.337778,4.515555,3.278336,133800
1992-05-01,4.408889,4.551111,4.408889,4.551111,3.304150,81400
1992-05-04,4.551111,4.551111,4.408889,4.551111,3.304150,396600
