Date,Open,High,Low,Close,Volume
2001-02-07,3.02,3.1,3.02,3.1,75600
2001-02-08,3.1,3.12,3.05,3.06,274200
2001-02-09,3.06,3.06,2.97,2.98,208200
2001-02-12,2.95,3.0,2.88,3.0,249000
2001-02-13,2.98,3.0,2.98,2.98,139800
2001-02-14,2.98,2.98,2.96,2.97,64200
2001-02-15,2.98,3.0,2.96,3.0,372600
2001-02-16,2.98,2.98,2.9,2.94,118800
2001-02-20,2.91,3.0,2.91,3.0,202800
2001-02-21,2.99,3.11,2.99,3.06,212400
2001-02-22,3.06,3.08,3.02,3.03,215400
2001-02-23,3.05,3.08,3.04,3.07,219600
2001-02-26,3.06,3.17,3.06,3.09,196200
2001-02-27,3.09,3.15,3.08,3.13,356400
2001-02-28,3.14,3.14,3.08,3.09,97200
2001-03-01,3.08,3.12,3.08,3.09,64200
2001-03-02,3.09,3.28,3.09,3.28,165600
2001-03-05,3.28,3.29,3.26,3.26,106200
2001-03-06,3.27,3.28,3.23,3.23,94200
2001-03-07,3.23,3.31,3.23,3.31,216600
2001-03-08,3.31,3.32,3.29,3.3,132000
2001-03-09,3.27,3.33,3.27,3.33,131400
2001-03-12,3.32,3.35,3.3,3.32,129000
2001-03-13,3.32,3.32,3.26,3.31,90000
2001-03-14,3.3,3.31,3.23,3.24,58200
2001-03-15,3.23,3.23,3.18,3.22,98400
2001-03-16,3.24,3.24,3.14,3.14,169800
2001-03-19,3.14,3.19,3.14,3.19,46200
2001-03-20,3.19,3.22,3.17,3.21,91800
2001-03-21,3.19,3.19,3.15,3.15,51000
2001-03-22,3.13,3.13,2.98,3.07,136800
2001-03-23,3.06,3.19,3.06,3.17,90000
2001-03-26,3.19,3.28,3.19,3.28,83400
2001-03-27,3.27,3.27,3.17,3.17,174000
2001-03-28,3.16,3.17,3.02,3.02,374400
2001-03-29,3.04,3.06,2.97,2.97,190200
2001-03-30,2.98,3.26,2.98,3.26,370200
2001-04-02,3.25,3.26,3.16,3.16,213600
2001-04-03,3.15,3.18,3.11,3.18,187200
2001-04-04,3.17,3.17,3.1,3.1,183000
2001-04-05,3.11,3.2,3.11,3.2,55200
2001-04-06,3.19,3.2,3.15,3.19,90600
2001-04-09,3.19,3.19,3.1,3.11,95400
2001-04-10,3.12,3.14,3.1,3.11,130200
2001-04-11,3.1,3.1,3.03,3.03,84000
2001-04-12,3.05,3.13,3.05,3.13,142200
2001-04-16,3.15,3.18,3.14,3.18,94800
2001-04-17,3.18,3.2,3.15,3.19,96000
2001-04-18,3.19,3.2,3.12,3.12,247800
2001-04-19,3.13,3.14,3.07,3.1,133200
2001-04-20,3.1,3.1,3.05,3.06,55800
2001-04-23,3.07,3.09,3.04,3.04,66600
2001-04-24,3.08,3.11,3.06,3.1,127200
2001-04-25,3.11,3.18,3.11,3.18,206400
2001-04-26,3.15,3.22,3.15,3.17,249600
2001-04-27,3.17,3.2,3.17,3.18,197400
2001-04-30,3.18,3.2,3.18,3.19,97800
2001-05-01,3.19,3.22,3.19,3.2,115200
2001-05-02,3.19,3.21,3.17,3.2,153000
2001-05-03,3.2,3.2,3.2,3.2,168600
2001-05-04,3.18,3.18,3.16,3.17,78600
2001-05-07,3.17,3.18,3.14,3.14,103800
2001-05-08,3.15,3.15,3.1,3.1,70200
2001-05-09,3.1,3.1,3.05,3.06,69600
2001-05-10,3.05,3.06,3.02,3.03,110400
2001-05-11,3.04,3.05,3.01,3.01,204000
2001-05-14,3.01,3.01,2.92,2.97,85800
2001-05-15,2.98,3.0,2.98,3.0,81600
2001-05-16,2.99,3.04,2.99,3.02,175800
2001-05-17,3.03,3.06,3.03,3.03,196200
2001-05-18,3.03,3.04,2.93,2.96,159000
2001-05-21,2.96,3.02,2.96,3.01,204600
2001-05-22,3.0,3.0,2.96,2.96,181200
2001-05-23,2.95,2.95,2.86,2.86,144600
2001-05-24,2.87,2.87,2.74,2.75,190200
2001-05-25,2.75,2.82,2.74,2.81,238800
2001-05-29,2.93,2.99,2.92,2.92,874200
2001-05-30,2.92,2.92,2.81,2.81,177000
2001-05-31,2.82,2.88,2.78,2.81,336600
