Date,Open,High,Close,Volume
2000-01-03,389.0903,390.9802,371.6507,1794539
2000-01-04,363.6909,366.8208,355.8411,2564306
2000-01-05,355.8911,362.8709,357.1611,1859315
2000-01-06,360.5881,384.3904,380.4405,1988027
2000-01-07,377.6906,386.1603,379.5605,1488061
2000-01-10,384.2904,386.1603,379.1305,907200
2000-01-11,373.3907,382.1904,373.4107,1063455
2000-01-12,376.3995,391.4202,386.5903,1222570
2000-01-13,384.6904,394.0601,390.5402,1320936
2000-01-14,397.0422,411.6297,407.6798,2374660
2000-01-17,397.0422,411.6297,407.6798,0
2000-01-18,406.0898,414.2696,411.1897,1677067
2000-01-19,407.5831,422.6095,419.9795,2086350
2000-01-20,418.8895,422.1694,405.0399,1440087
2000-01-21,406.9898,411.1897,396.7001,1651714
2000-01-24,398.69,400.65,387.9103,1219895
2000-01-25,397.3901,404.1599,392.7402,1645454
2000-01-26,397.0422,411.6297,408.5598,1423826
2000-01-27,410.0897,418.2195,414.6996,1546249
2000-01-28,402.1899,411.1897,394.5001,1288029
2000-01-31,396.0901,407.2398,400.65,1452095
2000-02-01,404.5087,411.1897,409.4398,1277657
2000-02-02,407.8898,412.0697,405.9199,1407322
2000-02-03,404.3899,407.6798,395.8201,2027620
2000-02-04,397.89,405.9199,384.8404,1564517
2000-02-07,386.8903,394.9401,382.1904,1327551
2000-02-08,388.6972,394.9401,391.8602,1409172
2000-02-09,385.5904,391.8602,380.8805,1354355
2000-02-10,381.1905,387.9103,377.3706,1199665
2000-02-11,379.0905,387.9103,379.5605,1415176
2000-02-14,379.4905,383.5104,373.4107,1231078
2000-02-15,371.5682,386.1603,381.7605,1497166
2000-02-16,378.5905,385.7104,378.6805,971321
2000-02-17,379.4905,384.8404,369.0208,1373106
2000-02-18,366.7908,370.3407,361.561,2175795
2000-02-21,366.7908,370.3407,361.561,0
2000-02-22,359.39099999999996,368.1308,361.991,2077956
2000-02-23,355.8911,363.3109,355.8411,1659567
2000-02-24,349.6913,354.0812,347.9313,3368005
2000-02-25,345.3914,356.2811,337.3816,2011217
2000-02-28,346.2913,355.8411,347.0513,3441246
2000-02-29,354.8784,366.3808,364.1909,2717688
2000-03-01,372.4907,374.2906,362.8709,1784054
2000-03-02,363.2909,384.8404,361.991,1242346
2000-03-03,374.1906,378.2505,375.6106,1975436
2000-03-06,377.6906,381.3205,363.7509,1324862
2000-03-07,369.3908,371.6507,354.0812,1222172
2000-03-08,354.9911,358.0411,351.4412,1259845
2000-03-09,343.1914,354.0812,354.0812,1608379
2000-03-10,348.3913,356.2811,344.4114,1309355
2000-03-13,336.871,351.0112,351.0112,2058109
2000-03-14,350.6912,354.0812,349.6913,1272052
2000-03-15,344.8914,367.2608,367.2608,2539523
2000-03-16,375.0906,400.65,400.65,3662490
2000-03-17,395.5901,405.9199,400.65,2091841
2000-03-20,392.5902,403.7299,394.9401,1459735
2000-03-21,393.8902,409.4398,408.1198,2206027
2000-03-22,407.4898,414.6996,409.2098,1589698
2000-03-23,410.9897,434.4791,433.5992,2335251
2000-03-24,432.3892,438.41900000000004,425.6894,1959573
2000-03-27,423.5894,433.5992,422.1694,1373633
2000-03-28,425.5906,434.9091,428.7593,1530130
2000-03-29,426.6893,431.3992,427.0093,1203293
2000-03-30,420.5895,424.3694,418.2195,1244096
2000-03-31,420.0895,427.0093,420.8495,1243996
2000-04-03,421.6377,438.8691,435.3591,1745300
2000-04-04,433.6892,444.1389,414.6996,2530218
2000-04-05,410.9897,418.2195,411.6297,1284685
2000-04-06,416.1896,420.8495,416.9096,907797
2000-04-07,417.8896,421.7295,414.6996,1009734
2000-04-10,414.6104,440.189,437.5491,1675473
2000-04-11,434.5891,445.8988,445.8988,1633432
2000-04-12,448.9888,459.9585,444.5789,2255352
2000-04-13,440.689,442.8189,439.749,1544812
2000-04-14,426.2893,428.3293,407.6798,2313697
2000-04-17,400.49,420.4195,416.4696,2124009
