Date,Open,High,Close,Volume
2000-01-03,31.69,32.125,30.531,1084800
2000-01-04,30.44,30.875,30.5,983500
2000-01-05,30.56,30.563000000000002,30.063000000000002,701200
2000-01-06,29.88,29.938000000000002,29.0,843300
2000-01-07,29.5,30.5,30.5,597200
2000-01-10,32.75,34.125,31.938000000000002,1136600
2000-01-11,32.19,32.25,30.438000000000002,448100
2000-01-12,31.125,31.125,30.0,471800
2000-01-13,30.13,30.25,30.0,1046000
2000-01-14,30.13,30.25,28.875,1403600
2000-01-17,30.13,30.25,28.875,0
2000-01-18,29.03,30.25,30.063000000000002,1920200
2000-01-19,30.25,30.5,30.0,1027099
2000-01-20,30.06,30.25,30.188000000000002,1357500
2000-01-21,30.38,31.313000000000002,31.0,2206200
2000-01-24,31.5,35.625,34.125,2574500
2000-01-25,34.375,34.375,33.75,1161100
2000-01-26,33.78,34.25,34.0,1422300
2000-01-27,34.25,34.375,32.875,1616200
2000-01-28,33.0,33.939,33.125,1236000
2000-01-31,32.88,33.25,31.625,962800
2000-02-01,31.44,32.375,31.875,1085900
2000-02-02,31.94,33.25,33.25,1175200
2000-02-03,33.44,33.75,33.063,2666500
2000-02-04,33.25,33.25,32.094,730500
2000-02-07,32.125,32.125,31.625,949200
2000-02-08,31.56,32.375,32.375,1040600
2000-02-09,32.88,33.875,33.813,2288000
2000-02-10,33.88,40.125,39.938,2879400
2000-02-11,39.38,39.501,38.969,2731600
2000-02-14,38.94,39.0,36.938,1256700
2000-02-15,37.0,37.0,35.75,1697000
2000-02-16,36.0,36.0,34.063,755900
2000-02-17,34.38,35.25,33.688,1919400
2000-02-18,34.125,34.125,32.75,1610600
2000-02-21,34.125,34.125,32.75,0
2000-02-22,33.06,34.0,33.563,888900
2000-02-23,33.88,34.125,31.813000000000002,1781000
2000-02-24,32.38,32.625,32.125,1451000
2000-02-25,33.13,34.0,33.125,1500000
2000-02-28,33.56,33.875,31.375,1745600
2000-02-29,31.63,33.0,32.25,3442500
2000-03-01,33.13,33.625,33.375,6139900
2000-03-02,34.5,40.625,40.0,5387300
2000-03-03,39.88,42.623999999999995,42.438,2669800
2000-03-06,42.688,42.688,40.688,2228900
2000-03-07,40.88,41.125,40.063,3402000
2000-03-08,40.125,40.125,39.75,2693000
2000-03-09,39.88,41.188,40.813,5337400
2000-03-10,41.0,41.93899999999999,41.5,5832800
2000-03-13,40.88,42.375,41.5,3704300
2000-03-14,41.875,41.875,41.0,2173900
2000-03-15,40.69,40.75,40.063,2546400
2000-03-16,39.88,40.375,40.313,1026999
2000-03-17,40.31,42.125,40.5,2675200
2000-03-20,42.0,42.188,40.0,1415200
2000-03-21,40.375,40.375,39.75,849600
2000-03-22,40.38,42.188,41.875,869000
2000-03-23,41.81,44.75,42.25,2041200
2000-03-24,42.5,43.125,41.625,1149200
2000-03-27,42.0,42.0,39.938,980200
2000-03-28,39.69,39.75,38.5,851300
2000-03-29,39.25,39.875,37.875,686200
2000-03-30,37.875,37.875,36.0,1376800
2000-03-31,36.56,38.25,37.875,1088700
2000-04-03,38.25,38.25,33.5,1629600
2000-04-04,34.19,35.5,34.25,1524900
2000-04-05,33.38,36.0,35.375,1024600
