Date,Open,High,Low,Close,Volume
2001-02-06,28.05,29.02,28.05,28.65,1293800
2001-02-07,28.5,28.6,26.3,27.76,1321900
2001-02-08,27.55,27.88,26.85,26.85,1327400
2001-02-09,26.85,26.9,26.2,26.61,1196900
2001-02-12,26.4,26.64,26.22,26.46,1082000
2001-02-13,26.85,27.25,26.8,27.13,1064800
2001-02-14,26.82,27.35,26.35,27.05,1598600
2001-02-15,27.25,29.2,27.25,28.37,1811000
2001-02-16,27.9,27.9,27.0,27.58,976000
2001-02-20,27.5,27.55,26.16,26.17,1567400
2001-02-21,25.8,25.9,24.39,24.46,1476500
2001-02-22,25.25,27.09,25.0,26.5,5139100
2001-02-23,26.0,27.58,24.5,27.34,1876500
2001-02-26,27.34,28.9,27.3,28.21,2105300
2001-02-27,28.2,28.2,26.85,26.9,770500
2001-02-28,26.75,26.75,24.65,25.35,1522200
2001-03-01,24.5,25.55,24.3,25.1,1555600
2001-03-02,25.0,25.46,24.09,24.85,2157700
2001-03-05,24.81,24.83,23.1,23.24,1414200
2001-03-06,24.85,24.85,24.0,24.4,1966800
2001-03-07,24.65,25.24,24.0,24.98,1854500
2001-03-08,24.98,25.05,24.05,24.05,1743400
2001-03-09,23.9,24.5,23.5,24.0,1936200
2001-03-12,22.5,22.9,19.5,19.91,3271900
2001-03-13,21.5,21.5,19.0,20.09,3766000
2001-03-14,19.0,20.8,19.0,19.85,1819300
2001-03-15,20.1,20.7,20.0,20.42,2811100
2001-03-16,20.15,20.15,18.21,19.0,3000600
2001-03-19,18.75,19.1,17.21,18.75,5248000
2001-03-20,19.0,19.77,18.75,18.88,2434800
2001-03-21,19.0,19.3,18.6,18.7,2322200
2001-03-22,18.85,19.2,18.25,19.2,2137500
2001-03-23,19.2,20.11,19.02,19.65,2270900
2001-03-26,19.9,20.03,19.45,19.9,2186000
2001-03-27,19.65,20.22,19.5,20.05,1605100
2001-03-28,19.8,19.8,18.0,18.33,1711400
2001-03-29,18.5,18.5,17.92,18.22,1708700
2001-03-30,18.22,18.92,17.82,18.49,1468700
2001-04-02,18.55,18.97,17.41,17.98,1316200
2001-04-03,18.15,18.15,16.5,16.8,1727600
2001-04-04,16.9,17.28,16.56,16.69,2035000
2001-04-05,16.98,17.54,16.98,17.2,3416200
2001-04-06,17.2,17.75,16.5,17.4,2086100
2001-04-09,17.45,18.44,17.1,17.6,1436300
2001-04-10,17.7,19.2,17.6,18.95,2427500
2001-04-11,19.25,20.0,19.09,19.36,2479000
2001-04-12,19.0,19.88,18.9,19.3,1811600
2001-04-16,19.65,19.65,17.65,17.65,2213100
2001-04-17,16.52,17.8,15.9,16.99,4571400
2001-04-18,19.5,20.79,19.09,19.55,4227800
2001-04-19,19.45,20.99,19.38,20.95,3487400
2001-04-20,20.0,21.0,19.78,21.0,2322800
2001-04-23,20.55,20.55,18.68,19.43,1864900
2001-04-24,19.35,19.9,18.65,18.85,2249600
2001-04-25,19.0,19.57,18.82,19.51,1260200
2001-04-26,19.4,20.4,19.4,20.2,1450100
2001-04-27,20.2,20.88,19.88,20.28,1287400
2001-04-30,20.15,22.1,20.12,20.7,2294200
2001-05-01,20.92,22.5,20.52,22.12,2413500
2001-05-02,22.25,22.73,21.4,22.1,1499800
2001-05-03,22.1,22.1,20.6,21.0,1120600
2001-05-04,20.65,21.8,19.92,21.8,1283000
2001-05-07,21.69,21.98,21.37,21.74,1150800
2001-05-08,21.55,22.21,21.45,21.74,1513100
2001-05-09,21.51,22.0,21.07,21.45,1826400
2001-05-10,21.54,21.95,21.1,21.37,995700
2001-05-11,21.3,21.31,20.62,20.77,1142500
2001-05-14,20.9,21.13,20.46,20.86,775800
2001-05-15,21.8,21.8,20.5,20.8,1199200
2001-05-16,20.4,22.0,20.24,22.0,1180300
2001-05-17,21.9,22.74,21.6,21.95,1171600
2001-05-18,21.67,22.18,21.42,21.9,677600
2001-05-21,22.26,23.8,21.8,23.1,1859100
2001-05-22,23.2,24.2,23.13,23.71,1553500
2001-05-23,23.6,23.82,22.56,22.63,1053300
2001-05-24,22.95,23.5,22.26,23.34,986500
2001-05-25,23.4,23.7,23.2,23.6,939200
2001-05-29,23.5,23.5,22.0,22.21,1113000
2001-05-30,22.21,22.22,21.34,21.45,1798200
2001-05-31,21.45,21.83,21.03,21.15,1408900
2001-06-01,21.4,21.74,21.29,21.49,811900
2001-06-04,22.1,22.29,21.85,22.1,2749000
2001-06-05,22.1,23.7,22.1,23.46,2169500
2001-06-06,23.12,23.3,22.96,23.14,1646800
2001-06-07,23.25,24.54,23.16,24.07,1450000
2001-06-08,24.07,24.23,23.6,23.75,1386600
