Date,Open,High,Close,Volume
2000-01-03,2.4625,2.5860000000000003,2.5548,727200
2000-01-04,2.5325,2.5548,2.508,1083200
2000-01-05,2.515,2.5158,2.508,1121600
2000-01-06,2.4925,2.508,2.4922,1267200
2000-01-07,2.4725,2.5469999999999997,2.5392,1914400
2000-01-10,2.5075,2.6562,2.625,2478400
2000-01-11,2.6408,2.875,2.8282,3118400
2000-01-12,2.8675,2.8985,2.7422,2398400
2000-01-13,2.735,2.8518,2.7735,1456800
2000-01-14,2.77,3.0312,3.0158,3086400
2000-01-17,2.77,3.0312,3.0158,0
2000-01-18,2.9925,3.0158,2.9375,2147200
2000-01-19,2.9375,2.9375,2.6798,4578400
2000-01-20,2.6575,2.758,2.6719999999999997,4888000
2000-01-21,2.7345,2.7345,2.6055,2749600
2000-01-24,2.595,2.625,2.4688,4104800
2000-01-25,2.4845,2.4845,2.3438,2660000
2000-01-26,2.3275,2.4375,2.2969999999999997,1443200
2000-01-27,2.2969,2.5625,2.5625,1348000
2000-01-28,2.6660000000000004,3.0,2.6719,12277600
2000-01-31,2.6875,2.7345,2.4845,2507200
2000-02-01,2.5,2.7032,2.5705,6036800
2000-02-02,2.5664,2.8203,2.6172,3190400
2000-02-03,2.735,2.9375,2.8985,2343200
2000-02-04,2.7344,3.0312,2.9922,2777600
2000-02-07,3.015,3.2188,3.1875,4827200
2000-02-08,3.2125,3.2735,3.0665,2711200
2000-02-09,3.095,3.1095,3.0,1459200
2000-02-10,2.985,3.0938,3.0938,1788800
2000-02-11,3.095,3.125,3.0938,2120800
2000-02-14,3.4375,3.8125,3.75,16968000
2000-02-15,3.6725,3.9845,3.9688,7659200
2000-02-16,3.9525,3.9688,3.7110000000000003,4128000
2000-02-17,3.7025,3.875,3.8360000000000003,2509600
2000-02-18,3.805,3.8438,3.6562,1654400
2000-02-21,3.805,3.8438,3.6562,0
2000-02-22,3.8281,3.8281,3.75,1730400
2000-02-23,3.75,4.0,3.9062,3170400
2000-02-24,3.89,4.0782,4.0392,2317600
2000-02-25,4.0175,4.2658,4.2032,4053600
2000-02-28,4.1725,4.2032,4.172,1575200
2000-02-29,4.1575,4.4688,4.4298,2648000
2000-03-01,4.4532,4.4532,4.2422,2445600
2000-03-02,4.22,4.461,4.422,1684800
