Date,Open,High,Close,Volume
2000-01-03,4.5125,4.5312,4.3333,719400
2000-01-04,4.335,4.3648,4.2292,816600
2000-01-05,4.2525,4.2917,4.2292,766800
2000-01-06,4.2325,4.3958,4.375,970200
2000-01-07,4.3775,4.5417,4.5417,470400
2000-01-10,4.565,4.573,4.4792,306600
2000-01-11,4.5025,4.5312,4.4375,599400
2000-01-12,4.4479,4.4792,4.4375,400800
2000-01-13,4.44,4.5625,4.5522,534600
2000-01-14,4.545,4.625,4.5105,562200
2000-01-17,4.545,4.625,4.5105,0
2000-01-18,4.4898,4.4898,4.3648,525000
2000-01-19,4.345,4.3542,4.3125,286800
2000-01-20,4.335,4.3542,4.2917,280200
2000-01-21,4.3022,4.3022,4.1355,543600
2000-01-24,4.1375,4.1772,4.0522,635400
2000-01-25,4.0425,4.0833,3.8125,1395600
2000-01-26,3.8575,3.8958,3.8855,417600
2000-01-27,3.96,3.9898,3.823,585000
2000-01-28,3.8575,3.8958,3.698,596400
2000-01-31,3.71,3.7918,3.6772,627600
2000-02-01,3.698,3.698,3.4272,1187400
2000-02-02,3.46,3.6355,3.5418,753000
2000-02-03,3.585,3.6355,3.448,730200
2000-02-04,3.47,3.4792,3.375,650400
2000-02-07,3.335,3.3542,3.2292,1246200
2000-02-08,3.1675,3.2812,3.0418,2329800
2000-02-09,3.0,3.0,2.7398,5316000
2000-02-10,2.7525,2.875,2.7292,3192600
2000-02-11,2.7325,2.7918,2.6562,1444200
2000-02-14,2.72,2.8023,2.8023,1560000
2000-02-15,2.845,3.0832,3.0832,1463400
2000-02-16,3.065,3.2812,3.0312,1447200
2000-02-17,3.0325,3.0523,3.0105,604800
2000-02-18,2.9825,3.0523,2.8438,849000
2000-02-21,2.9825,3.0523,2.8438,0
2000-02-22,2.825,2.9273,2.8648,640800
2000-02-23,2.9375,2.9375,2.8855,835800
2000-02-24,2.8775,2.9168,2.8125,739200
2000-02-25,2.8025,2.8332,2.7708,520200
2000-02-28,2.7925,2.8958,2.8648,1020600
2000-02-29,2.8575,2.9375,2.8438,1450200
2000-03-01,2.845,2.9168,2.8438,676800
2000-03-02,2.8438,2.8854,2.8021,513599
2000-03-03,2.815,2.9375,2.9375,1965600
2000-03-06,2.9825,3.0208,2.9792,1045199
2000-03-07,2.96,2.9688,2.8542,1048200
2000-03-08,2.8575,2.9375,2.8023,1009800
2000-03-09,2.825,2.9062,2.823,849600
2000-03-10,2.7425,2.7708,2.4898,1910400
2000-03-13,2.5025,2.5832,2.5,1639200
2000-03-14,2.5025,2.5625,2.4688,1620600
2000-03-15,2.49,2.573,2.5312,1756800
2000-03-16,2.5525,2.75,2.625,2422200
2000-03-17,2.565,2.6875,2.5522,1551000
2000-03-20,2.5425,2.6773,2.6668,2748000
2000-03-21,2.6475,2.6562,2.6562,847200
2000-03-22,2.6475,2.6668,2.6355,385800
2000-03-23,2.6275,2.7708,2.6875,746400
2000-03-24,2.7,2.7188,2.5625,951000
2000-03-27,2.585,2.6042,2.5418,505200
2000-03-28,2.5625,2.5625,2.5,1497600
2000-03-29,2.5225,2.5625,2.5105,610800
2000-03-30,2.5325,2.823,2.7398,1255200
2000-03-31,2.7525,2.9168,2.8648,1840800
2000-04-03,2.7604,2.9375,2.9375,648000
2000-04-04,2.9825,2.9898,2.8438,656400
2000-04-05,2.815,2.8958,2.8438,454200
2000-04-06,2.835,2.8648,2.7812,328800
2000-04-07,2.7725,2.7812,2.75,597000
2000-04-10,2.7725,2.875,2.8332,513000
2000-04-11,2.875,2.875,2.8023,349200
2000-04-12,2.825,2.8958,2.7708,1314600
2000-04-13,2.7925,2.875,2.8542,646800
2000-04-14,2.8438,2.8438,2.7292,1209600
2000-04-17,2.7625,2.8542,2.7918,1284000
2000-04-18,2.7812,2.7812,2.7708,507000
2000-04-19,2.7605,2.7605,2.7292,765000
2000-04-20,2.7325,2.8332,2.7918,456000
2000-04-21,2.7325,2.8332,2.7918,0
2000-04-24,2.7725,2.8438,2.8125,514200
2000-04-25,2.8023,2.8023,2.6875,691800
2000-04-26,2.69,2.7918,2.7812,477000
2000-04-27,2.72,2.8023,2.8023,439800
2000-04-28,2.845,3.0625,2.9792,1341600
2000-05-01,2.9925,3.1773,3.1458,1021200
2000-05-02,3.1075,3.1773,3.1668,473400
2000-05-03,3.1668,3.1668,3.1355,283800
2000-05-04,3.1475,3.25,3.198,522000
2000-05-05,3.19,3.2812,3.2708,424800
2000-05-08,3.2708,3.2708,3.198,514800
2000-05-09,3.2292,3.2292,3.1773,744600
2000-05-10,3.1668,3.1668,3.1562,485400
