Date,Open,High,Close,Volume
2000-01-03,2.185,2.2465,2.1282,390854
2000-01-04,2.0715,2.1282,1.9513,760564
2000-01-05,2.0147,2.0696,1.9513,853282
2000-01-06,1.835,2.01,2.01,470357
2000-01-07,1.9513,2.01,1.9513,219267
2000-01-10,1.9513,2.01,2.01,176238
2000-01-11,2.01,2.01,1.9513,202774
2000-01-12,1.9485,2.01,1.9513,155728
2000-01-13,1.9485,2.01,2.01,216941
2000-01-14,2.0715,2.1282,2.0696,166935
2000-01-17,2.0715,2.1282,2.0696,0
2000-01-18,2.0715,2.3647,2.306,417813
2000-01-19,2.3079,2.4829,2.4829,500593
2000-01-20,2.4877,2.5425,2.4829,542671
2000-01-21,2.4829,2.4829,2.4829,529138
2000-01-24,2.4829,2.4829,2.3647,359771
2000-01-25,2.3647,2.4829,2.3647,278683
2000-01-26,2.4214,2.4243,2.3647,217787
2000-01-27,2.3079,2.4243,2.3647,312619
2000-01-28,2.3647,2.3647,2.306,101387
2000-01-31,2.2512,2.3647,2.3647,385250
2000-02-01,2.3079,2.4829,2.4829,396774
2000-02-02,2.4877,2.5425,2.5425,310611
2000-02-03,2.6012,2.7194,2.7194,444455
2000-02-04,2.7194,2.7194,2.5425,658648
2000-02-07,2.5444,2.6012,2.4829,358080
2000-02-08,2.5444,2.6608,2.6012,431768
2000-02-09,2.6012,2.7194,2.6608,276780
2000-02-10,2.7194,2.7194,2.6012,171058
2000-02-11,2.6012,2.6608,2.6012,134478
2000-02-14,2.6012,2.6012,2.4829,85106
2000-02-15,2.5444,2.6012,2.6012,124434
2000-02-16,2.6012,2.6608,2.6012,314628
2000-02-17,2.6012,2.8376,2.779,864700
2000-02-18,2.7241,2.779,2.7194,154988
2000-02-21,2.7241,2.779,2.7194,0
2000-02-22,2.779,2.779,2.6012,462428
2000-02-23,2.6012,2.6608,2.5425,229945
2000-02-24,2.6579,3.0155,2.9559,1528740
2000-02-25,3.0173,3.1337,2.8972,922530
2000-02-28,2.8944,2.8972,2.7194,363155
2000-02-29,2.7241,2.779,2.779,495836
2000-03-01,2.6608,2.779,2.7194,451961
2000-03-02,2.7241,2.8376,2.779,453018
2000-03-03,2.779,2.779,2.6608,339367
2000-03-06,2.6579,2.7194,2.6608,375418
2000-03-07,2.6608,2.8376,2.779,1156492
2000-03-08,2.8376,2.8972,2.779,666260
2000-03-09,2.7194,2.7194,2.6012,252992
2000-03-10,2.6012,2.7194,2.6608,429548
2000-03-13,2.6012,2.779,2.7194,415804
2000-03-14,2.7241,2.8376,2.6012,435997
2000-03-15,2.6012,2.6608,2.6012,399629
2000-03-16,2.6012,2.6608,2.6608,343385
2000-03-17,2.6012,2.6608,2.5425,173066
2000-03-20,2.5444,2.6012,2.4829,220536
2000-03-21,2.3647,2.4829,2.4243,344442
2000-03-22,2.4243,2.6012,2.6012,454181
2000-03-23,2.6012,2.6012,2.5425,366009
2000-03-24,2.5425,2.5425,2.4829,284920
2000-03-27,2.4877,2.6012,2.5425,197594
2000-03-28,2.6012,2.6608,2.6012,844930
2000-03-29,2.6012,2.6608,2.6012,651247
2000-03-30,2.6012,2.8376,2.7194,614033
2000-03-31,2.7241,3.0741,3.0741,1912828
2000-04-03,3.0741,3.3106,3.0741,1079315
2000-04-04,3.1309,3.1337,2.779,954775
2000-04-05,2.7809,2.9559,2.9559,324777
2000-04-06,3.0173,3.0741,2.8376,318011
2000-04-07,2.8376,2.9559,2.8972,397726
2000-04-10,2.8944,2.8972,2.779,204783
2000-04-11,2.7809,2.8376,2.8376,418236
2000-04-12,2.8376,2.8972,2.8972,497844
2000-04-13,2.8944,3.0741,3.0155,1017257
2000-04-14,2.9606,3.0155,2.7194,775999
2000-04-17,2.6012,2.9559,2.9559,869034
2000-04-18,2.9606,3.0155,3.0155,327632
2000-04-19,2.9606,3.2519,3.2519,853810
2000-04-20,3.2519,3.2519,3.1923,398466
2000-04-21,3.2519,3.2519,3.1923,0
2000-04-24,3.1309,3.6066,3.2519,560432
2000-04-25,3.2538,3.3702,3.3106,1960508
2000-04-26,3.3106,3.4288,3.3702,496364
2000-04-27,3.3106,3.7835,3.7835,1514467
2000-04-28,3.7835,3.7835,3.5469999999999997,1122133
2000-05-01,3.6066,3.8431,3.6653,2199546
2000-05-02,3.67,3.7835,3.6653,1053308
2000-05-03,3.7268,4.1382,3.9017,3228221
2000-05-04,3.9632,4.02,3.7835,2503074
2000-05-05,3.7835,3.7835,3.7249,805495
2000-05-08,3.7835,4.0796,4.02,1357364
