Date,Open,High,Close,Volume
2009-12-17,38.4318,38.4318,38.4318,90
2009-12-18,38.5977,38.9847,38.9847,4873
2009-12-21,38.5977,38.9847,38.9847,0
2009-12-22,38.5977,38.9847,38.9847,0
2009-12-23,38.5977,38.9847,38.9847,0
2009-12-24,38.1553,38.1553,38.1553,1356
2009-12-25,38.1553,38.1553,38.1553,0
2009-12-28,38.1553,38.1553,38.1553,0
2009-12-29,38.1553,38.1553,38.1553,0
2009-12-30,38.1553,38.1553,38.1553,0
2009-12-31,38.1553,39.8142,39.2612,1542
2010-01-01,38.1553,39.8142,39.2612,0
2010-01-04,39.2612,39.2612,38.1553,42949
2010-01-05,38.7083,38.7083,38.7083,9042
2010-01-06,38.7083,38.7083,38.7083,0
2010-01-07,38.9847,39.2612,38.7083,8861
2010-01-08,38.2106,38.2106,37.0493,29067
2010-01-11,37.0493,37.0493,37.0493,3308
2010-01-12,37.0493,37.1046,37.0493,4611
2010-01-13,36.5074,36.5074,36.2199,204597
2010-01-14,36.2199,36.2199,36.2199,136082
2010-01-15,35.9434,35.9434,35.6669,41091
2010-01-18,35.9434,35.9434,35.6669,0
2010-01-19,35.6669,35.6669,35.3904,17541
2010-01-20,34.8374,35.1139,35.1139,480
2010-01-21,34.8374,34.948,34.948,531
2010-01-22,34.8374,34.8374,34.8374,180
2010-01-25,34.395,34.5609,34.5609,1175
2010-01-26,34.2845,34.2845,34.008,210
2010-01-27,33.7868,34.2845,34.008,69623
2010-01-28,34.2845,34.2845,34.008,9335
2010-01-29,34.1186,34.1186,33.8752,27739
2010-02-01,33.455,33.7315,33.7315,3164
2010-02-02,33.7315,33.7315,33.7315,529
2010-02-03,33.2891,33.2891,32.902,4677
2010-02-04,33.1785,33.455,33.455,26583
2010-02-05,33.7094,33.7315,33.7315,1583
2010-02-08,33.1785,33.1785,33.0126,42851
2010-02-09,32.1831,33.1785,32.9573,26799
2010-02-10,32.5149,33.0126,32.902,97253
2010-02-11,32.891,32.891,32.891,9042
2010-02-12,32.891,32.891,32.891,90
2010-02-15,32.891,32.891,32.891,0
2010-02-16,32.891,32.891,32.891,0
2010-02-17,32.891,32.891,32.891,0
2010-02-18,32.1831,32.8467,32.8467,1537
2010-02-19,32.1831,32.8467,32.8467,0
2010-02-22,32.1831,32.8688,32.8467,17812
2010-02-23,32.1831,32.8688,32.8467,0
2010-02-24,32.1831,32.8688,32.8467,0
2010-02-25,32.6255,32.8467,32.6255,2531
2010-02-26,32.349000000000004,32.902,32.902,2385
2010-03-01,32.902,33.2891,33.2891,22424
2010-03-02,33.2891,33.6209,33.6209,26258
2010-03-03,33.7315,34.008,34.008,119173
2010-03-04,34.2845,34.8374,34.3066,15308
2010-03-05,34.5609,35.1139,35.1139,44137
2010-03-08,34.8374,35.1139,35.1139,44369
2010-03-09,35.3904,36.2199,36.2199,121976
2010-03-10,36.4411,36.4964,36.4964,100347
2010-03-11,36.4964,36.4964,35.9434,29910
2010-03-12,36.4964,36.4964,35.9434,187680
2010-03-15,36.4964,37.0493,36.4964,223375
2010-03-16,35.6669,36.4964,36.2199,14912
2010-03-17,36.4964,37.6023,37.6023,103907
2010-03-18,37.6023,38.4318,38.4318,13843
2010-03-19,38.1553,38.4318,38.4318,1130
2010-03-22,38.4318,38.4318,38.0779,5396
2010-03-23,37.8788,38.9847,38.7083,48504
2010-03-24,38.7083,38.7083,38.7083,1265
2010-03-25,38.4318,38.7083,38.1553,82210
2010-03-26,38.7083,38.7083,38.4318,52262
2010-03-29,38.1553,38.7083,38.1553,185903
