Date,Open,High,Close,Volume
2000-01-03,32.0,32.0,31.125,2434800
2000-01-04,30.625,30.969,30.3125,2358400
2000-01-05,30.375,30.625,29.2815,3169400
2000-01-06,29.0,30.0,29.219,5802200
2000-01-07,29.565,31.1565,30.969,5570200
2000-01-10,31.75,31.8125,31.8125,3049600
2000-01-11,31.5,32.4065,31.969,3850800
2000-01-12,31.625,32.219,32.1875,2333600
2000-01-13,32.065,32.844,32.4065,2643000
2000-01-14,33.0,33.375,31.6565,4695800
2000-01-17,33.0,33.375,31.6565,0
2000-01-18,31.53,31.8125,31.5,2902000
2000-01-19,31.5,31.625,30.75,2470200
2000-01-20,30.69,31.875,30.969,3082000
2000-01-21,31.625,31.625,30.6565,3642200
2000-01-24,31.375,31.5,30.344,3024800
2000-01-25,30.875,30.9065,29.8125,1929000
2000-01-26,29.875,30.3125,30.094,1354600
2000-01-27,29.875,30.6565,30.1565,2075200
2000-01-28,30.28,30.5625,29.75,3138400
2000-01-31,29.375,29.844,29.625,3386600
2000-02-01,29.625,30.094,29.8125,3090800
2000-02-02,30.25,30.8125,30.6565,3010400
2000-02-03,30.5,30.875,30.0,4268600
2000-02-04,29.75,29.7815,28.125,6497800
2000-02-07,28.125,28.4065,28.1875,5906200
2000-02-08,28.19,29.6875,29.344,5455600
2000-02-09,29.875,29.875,29.094,4435400
2000-02-10,29.125,29.25,28.75,2444400
2000-02-11,28.8125,28.8125,27.9375,3301200
2000-02-14,27.969,27.969,27.2815,3961600
2000-02-15,27.375,27.9065,27.844,4309200
2000-02-16,27.94,28.375,27.6875,3066000
2000-02-17,27.815,28.0,26.969,2682200
2000-02-18,26.25,27.4375,26.5315,4189400
2000-02-21,26.25,27.4375,26.5315,0
2000-02-22,26.53,26.969,26.1875,3111000
2000-02-23,25.94,25.969,25.6875,3062800
2000-02-24,25.375,25.8125,24.5315,4953400
2000-02-25,24.595,24.875,24.125,5931200
2000-02-28,24.44,25.6565,25.5,5317400
2000-02-29,25.625,26.75,26.094,4971800
2000-03-01,26.125,26.8125,26.5,3489600
2000-03-02,26.625,26.6875,26.3125,3090400
2000-03-03,26.3125,27.5625,26.9375,2539600
2000-03-06,27.5,27.5,26.4065,2239600
2000-03-07,23.0,24.9375,23.375,16743200
2000-03-08,23.565,23.9375,22.0,15871600
2000-03-09,21.875,22.1875,22.0,5240400
2000-03-10,22.0,22.0,21.375,8013999
2000-03-13,20.25,22.094,21.6875,5746000
2000-03-14,21.125,21.7815,21.5315,3185200
2000-03-15,21.94,27.0,25.9065,11815800
2000-03-16,25.905,26.1875,25.625,9545400
2000-03-17,25.125,25.969,24.969,5084800
2000-03-20,24.97,25.5,25.125,3724400
2000-03-21,24.94,25.75,25.1565,4182200
2000-03-22,24.94,25.469,25.2815,4988400
2000-03-23,25.095,27.0,26.5625,5917400
