Date,Open,High,Close,Volume
2000-01-03,49.75,49.875,49.1875,627800
2000-01-04,48.75,49.0,47.875,614000
2000-01-05,48.13,50.25,49.125,743400
2000-01-06,47.5625,50.5,49.5625,909300
2000-01-07,49.75,52.875,52.3125,913800
2000-01-10,52.81,53.25,51.75,445400
2000-01-11,50.94,52.75,52.25,882600
2000-01-12,51.0,52.625,52.1875,570400
2000-01-13,52.81,56.375,55.0,2040299
2000-01-14,54.13,55.5,54.25,938500
2000-01-17,54.13,55.5,54.25,0
2000-01-18,52.88,53.75,52.75,733900
2000-01-19,52.875,53.625,51.9375,958100
2000-01-20,53.5,53.5,52.0,851000
2000-01-21,52.0,52.0,50.625,1225200
2000-01-24,50.5,50.563,48.875,1138800
2000-01-25,48.88,49.938,47.25,1151600
2000-01-26,47.4375,48.125,47.8125,500900
2000-01-27,49.75,49.75,47.25,1877800
2000-01-28,48.0,48.0,46.875,1265100
2000-01-31,46.88,48.375,47.75,1078800
2000-02-01,47.69,48.188,48.0,1054000
2000-02-02,47.9375,49.9375,48.3125,933600
2000-02-03,48.5,49.188,46.625,1224900
2000-02-04,46.06,46.75,43.875,1816500
2000-02-07,42.0,43.375,42.6875,1098800
2000-02-08,43.5,45.563,45.0,1128200
2000-02-09,44.625,45.5,44.8125,980600
2000-02-10,44.56,44.563,41.875,854100
2000-02-11,41.81,41.875,40.5,1539800
2000-02-14,40.5625,41.125,40.9375,774100
2000-02-15,41.25,41.625,41.0,1114000
2000-02-16,40.88,41.688,40.625,728200
2000-02-17,40.875,41.5,40.8125,742200
2000-02-18,40.0,40.313,39.0,1267200
2000-02-21,40.0,40.313,39.0,0
2000-02-22,39.125,39.75,39.3125,845800
2000-02-23,39.25,40.5,39.5625,1012400
2000-02-24,40.25,40.25,38.8125,961300
2000-02-25,38.5625,38.75,37.3125,778100
2000-02-28,37.13,39.5,39.0,967200
2000-02-29,39.0625,42.0,40.4375,1423100
2000-03-01,40.9375,41.0,40.3125,643900
2000-03-02,40.25,40.8125,40.625,602600
2000-03-03,40.625,41.5,41.1875,759500
2000-03-06,40.6875,40.875,40.0625,564100
2000-03-07,38.5,38.5,36.125,2685600
2000-03-08,36.1875,36.1875,33.5,3241700
2000-03-09,33.5,34.4375,33.8125,1356600
2000-03-10,32.5,32.563,29.875,4337100
2000-03-13,29.88,30.813000000000002,30.625,2383800
2000-03-14,31.0,31.25,30.125,853800
2000-03-15,30.75,34.5,33.5625,2036099
2000-03-16,33.9375,38.25,36.875,2260500
2000-03-17,36.875,36.875,34.75,1200100
2000-03-20,34.625,34.9375,33.9375,743300
2000-03-21,34.375,36.5,36.1875,1023099
2000-03-22,36.25,36.375,34.75,1578800
2000-03-23,35.5625,35.5625,35.5625,1216500
2000-03-24,35.5625,35.875,32.4375,2102600
2000-03-27,32.75,32.875,30.4375,2473400
2000-03-28,31.25,31.25,31.1875,1532100
2000-03-29,31.5,32.5625,32.0625,1045099
2000-03-30,32.06,33.0,32.5,1645100
2000-03-31,32.4375,33.75,32.5,1052400
2000-04-03,32.375,35.1875,34.5625,1157500
2000-04-04,34.5625,36.375,35.4375,1486300
2000-04-05,36.0,36.563,35.5,1762100
2000-04-06,35.375,35.375,34.875,1004999
2000-04-07,35.38,35.75,35.625,844800
2000-04-10,35.63,36.313,36.0,995500
2000-04-11,36.125,37.3125,37.3125,809400
2000-04-12,37.625,41.5,40.0625,1912500
2000-04-13,39.8125,40.8125,40.5625,1056400
2000-04-14,40.438,40.438,35.875,1234600
2000-04-17,37.88,40.75,40.625,1685800
2000-04-18,40.0625,40.0625,38.1875,1074400
2000-04-19,35.94,37.5,36.375,953600
2000-04-20,36.38,37.813,37.125,647000
2000-04-21,36.38,37.813,37.125,0
2000-04-24,37.81,38.938,38.0,833800
2000-04-25,38.0,38.063,37.25,896600
2000-04-26,38.0,38.0625,34.8125,952900
2000-04-27,34.25,38.625,37.5625,2326900
2000-04-28,37.625,37.625,36.75,1453500
2000-05-01,36.5,37.188,36.875,983000
2000-05-02,35.5,36.438,36.25,725700
2000-05-03,36.0,36.938,35.625,840400
2000-05-04,35.625,36.75,36.1875,348800
2000-05-05,35.8125,36.9375,36.5625,322200
2000-05-08,35.8125,37.9375,37.5,809300
2000-05-09,37.625,39.25,38.9375,735200
2000-05-10,39.0,40.25,39.5625,1027400
