Date,Open,High,Close,Volume
2000-01-03,46.25,46.25,45.0,1102400
2000-01-04,44.625,44.625,43.125,665700
2000-01-05,42.63,43.5,43.0,774000
2000-01-06,43.0,44.563,44.25,573100
2000-01-07,44.38,44.5,44.188,490800
2000-01-10,42.75,44.0,42.75,592100
2000-01-11,42.25,42.25,41.625,646700
2000-01-12,41.63,42.5,42.375,572700
2000-01-13,42.5,43.25,42.813,1152500
2000-01-14,43.75,44.375,44.063,698400
2000-01-17,43.75,44.375,44.063,0
2000-01-18,44.0,44.0,43.063,462200
2000-01-19,43.25,44.125,43.188,986900
2000-01-20,43.188,43.188,41.313,734800
2000-01-21,41.31,41.375,40.813,646900
2000-01-24,41.06,41.313,40.438,491400
2000-01-25,40.19,41.0,40.375,513900
2000-01-26,40.0,42.375,42.188,501700
2000-01-27,42.31,43.0,42.875,454100
2000-01-28,42.88,43.063,42.5,1044000
2000-01-31,42.88,44.438,44.188,542400
2000-02-01,44.25,44.5,44.063,713300
2000-02-02,44.06,44.125,43.813,673800
2000-02-03,43.75,44.063,44.0,838100
2000-02-04,43.75,44.25,43.313,698000
2000-02-07,43.31,43.375,42.438,397800
2000-02-08,42.69,43.375,42.75,344100
2000-02-09,42.63,42.75,41.938,409300
2000-02-10,41.75,41.813,40.313,531800
2000-02-11,40.25,41.438,40.375,660500
2000-02-14,40.38,40.75,39.813,390800
2000-02-15,39.88,40.938,40.625,414700
2000-02-16,40.38,40.938,40.563,520100
2000-02-17,40.88,41.25,39.75,490800
2000-02-18,39.5,39.5,38.0,946500
2000-02-21,39.5,39.5,38.0,0
2000-02-22,38.0,38.5,37.0,986200
2000-02-23,37.13,37.25,37.063,799700
2000-02-24,37.188,37.188,36.75,801000
2000-02-25,36.5,37.75,35.313,1301200
2000-02-28,36.25,38.0,37.625,997700
2000-02-29,37.625,37.625,36.813,461200
2000-03-01,36.56,36.688,36.25,483600
2000-03-02,35.88,36.0,35.813,457200
2000-03-03,36.81,36.875,36.688,633700
2000-03-06,36.38,36.688,36.188,350700
2000-03-07,36.125,36.125,34.75,412500
2000-03-08,35.0,35.0,33.813,605000
2000-03-09,33.75,34.375,34.125,429500
2000-03-10,34.31,34.563,34.063,347300
2000-03-13,33.38,34.438,34.063,426100
2000-03-14,33.81,35.188,34.25,773800
2000-03-15,34.19,37.0,37.0,1151200
2000-03-16,39.75,43.0,41.438,1825200
2000-03-17,41.56,42.625,41.5,785500
2000-03-20,41.25,41.25,39.563,438400
2000-03-21,39.75,42.625,42.125,760700
2000-03-22,42.13,43.125,43.0,696300
2000-03-23,43.0,44.313,44.188,703000
2000-03-24,44.0,44.5,43.438,989700
2000-03-27,43.31,43.375,42.063,717400
2000-03-28,42.13,43.375,42.5,692800
2000-03-29,42.69,42.875,41.75,1366400
2000-03-30,41.81,41.813,40.875,873600
2000-03-31,40.69,42.25,41.875,805200
2000-04-03,42.13,44.125,43.875,687100
2000-04-04,42.75,45.125,43.313,703200
2000-04-05,43.81,44.688,43.188,623400
2000-04-06,43.375,43.375,42.813,482100
2000-04-07,43.06,43.313,42.5,585200
2000-04-10,42.13,43.75,42.938,588800
2000-04-11,43.19,43.938,43.563,485000
2000-04-12,44.0,46.75,45.375,830300
2000-04-13,44.125,46.75,44.3125,547500
2000-04-14,43.875,43.875,41.0,797100
2000-04-17,41.13,42.5,42.063,996500
2000-04-18,41.94,43.375,42.938,527600
2000-04-19,42.5,42.625,41.938,538400
2000-04-20,42.5,42.563,42.375,415000
2000-04-21,42.5,42.563,42.375,0
2000-04-24,42.25,44.125,43.75,669700
2000-04-25,43.75,46.5,45.563,748700
2000-04-26,45.375,45.375,44.688,618500
2000-04-27,44.06,44.063,43.0,694400
2000-04-28,42.63,42.813,42.375,675900
2000-05-01,41.88,43.688,43.125,679800
2000-05-02,42.5,42.813,42.625,516900
2000-05-03,42.69,43.125,41.438,375000
2000-05-04,41.438,41.438,40.688,478000
2000-05-05,40.06,40.5,40.5,361400
2000-05-08,40.5,42.188,42.125,411800
2000-05-09,42.0,43.313,42.188,263100
2000-05-10,42.06,42.813,42.0,373500
2000-05-11,42.63,44.5,43.313,526600
2000-05-12,43.31,45.063,44.688,730500
2000-05-15,44.69,45.813,45.375,685400
2000-05-16,45.31,45.813,44.875,629700
2000-05-17,44.25,44.813,44.563,360600
2000-05-18,44.69,46.125,45.75,424200
2000-05-19,46.75,46.75,44.125,598000
2000-05-22,44.38,46.5,45.75,474300
2000-05-23,45.813,47.313,46.25,486500
2000-05-24,46.63,49.5,48.875,1207700
2000-05-25,49.75,50.563,48.438,1439200
2000-05-26,48.313,50.0,49.438,379500
2000-05-29,48.313,50.0,49.438,0
2000-05-30,49.38,51.125,50.75,766800
2000-05-31,50.69,51.563,50.625,426500
2000-06-01,50.63,54.375,52.25,1383900
2000-06-02,54.0,54.25,54.0,998500
2000-06-05,53.75,53.75,51.563,780100
2000-06-06,51.75,51.75,50.625,810500
2000-06-07,50.0,51.188,51.0,1013099
2000-06-08,50.938,50.938,49.938,635400
2000-06-09,49.94,50.375,49.375,430600
2000-06-12,49.38,50.625,50.563,690100
2000-06-13,49.75,49.938,49.688,479800
2000-06-14,49.81,50.5,50.063,470400
2000-06-15,51.125,51.125,47.188,1383800
2000-06-16,46.25,46.375,44.813,1038700
2000-06-19,44.94,46.438,46.063,603300
2000-06-20,46.06,46.063,46.063,447500
2000-06-21,45.88,45.938,45.343999999999994,392100
2000-06-22,45.44,45.938,45.563,355500
2000-06-23,45.94,46.5,46.0,271300
2000-06-26,45.75,46.938,46.5,573000
2000-06-27,46.69,47.313,46.938,376400
2000-06-28,46.94,48.438,47.313,729900
2000-06-29,47.31,47.313,46.5,533000
2000-06-30,46.25,46.313,44.875,673200
2000-07-03,45.0,46.688,46.438,531900
2000-07-04,45.0,46.688,46.438,0
2000-07-05,47.25,48.0,46.938,368200
2000-07-06,47.19,48.125,48.0,398800
2000-07-07,48.63,49.875,49.438,645600
2000-07-10,49.75,50.313,49.813,523499
2000-07-11,49.62,49.75,49.75,381600
2000-07-12,49.75,50.438,49.188,447300
2000-07-13,49.438,49.438,48.313,753800
2000-07-14,48.75,50.25,49.813,493200
2000-07-17,50.0,50.125,49.625,415700
2000-07-18,49.25,49.625,49.563,581400
2000-07-19,50.12,51.188,50.688,806900
2000-07-20,50.75,52.313,51.75,455600
2000-07-21,51.38,52.5,51.5,626600
2000-07-24,51.38,52.688,51.688,342100
2000-07-25,51.94,52.875,52.875,469500
2000-07-26,53.0,53.0,51.938,668400
2000-07-27,52.0,53.063,51.625,392300
2000-07-28,51.69,51.938,51.063,242800
