Date,Open,High,Close,Volume
2002-12-06,7.8,8.64,8.58,27551000
2002-12-09,8.54,8.552,8.404,3097000
2002-12-10,8.41,8.66,8.55,1723000
2002-12-11,8.54,9.1,9.012,2547500
2002-12-12,9.012,9.012,8.782,1355500
2002-12-13,8.782,8.794,8.73,982000
2002-12-16,8.7,8.75,8.62,797000
2002-12-17,8.6,8.8,8.654,1646000
2002-12-18,8.64,8.64,8.533999999999999,742000
2002-12-19,8.51,8.54,8.46,684000
2002-12-20,8.48,8.92,8.89,864500
2002-12-23,8.87,8.91,8.68,638500
2002-12-24,8.72,8.72,8.61,218000
2002-12-25,8.72,8.72,8.61,0
2002-12-26,8.62,8.63,8.52,325000
2002-12-27,8.5,8.5,8.4,830500
2002-12-30,8.46,8.57,8.464,1076500
2002-12-31,8.454,8.76,8.732000000000001,1778000
2003-01-01,8.454,8.76,8.732000000000001,0
2003-01-02,8.732000000000001,8.79,8.744,315000
2003-01-03,8.744,9.16,9.16,861500
2003-01-06,9.62,9.67,9.62,1874500
2003-01-07,9.6,9.72,9.604,1364000
2003-01-08,9.606,9.654,9.602,405000
2003-01-09,9.62,9.84,9.81,643500
2003-01-10,9.77,9.87,9.798,844000
2003-01-13,9.8,9.936,9.924,805000
2003-01-14,9.924,10.0,9.82,554000
2003-01-15,9.68,9.68,9.41,1458000
2003-01-16,9.4,9.4,9.076,705000
2003-01-17,9.05,9.104,9.004,585500
2003-01-20,9.05,9.104,9.004,0
2003-01-21,9.01,9.04,8.89,462500
2003-01-22,8.86,8.88,8.83,158500
2003-01-23,8.84,9.15,9.086,473500
2003-01-24,9.07,9.42,9.398,682500
2003-01-27,9.357999999999999,9.38,9.25,206500
2003-01-28,9.26,9.316,9.202,360500
2003-01-29,9.18,9.4,9.3,399000
2003-01-30,9.3,9.3,8.84,724500
2003-01-31,8.8,8.808,8.5,2866500
2003-02-03,8.49,8.58,8.47,780000
2003-02-04,8.44,8.44,8.4,729000
2003-02-05,8.39,8.4,8.347999999999999,1154000
2003-02-06,8.34,8.404,8.3,1038500
2003-02-07,8.32,8.43,8.422,718500
2003-02-10,8.422,8.68,8.6,277000
2003-02-11,8.6,8.706,8.582,219500
2003-02-12,8.55,8.59,8.582,353000
2003-02-13,8.57,8.744,8.7,265000
2003-02-14,8.74,8.96,8.9,958000
2003-02-17,8.74,8.96,8.9,0
2003-02-18,8.95,8.96,8.904,753500
2003-02-19,8.906,9.0,8.954,420500
2003-02-20,8.96,9.02,9.006,159000
2003-02-21,9.008,9.132,9.072000000000001,206000
2003-02-24,9.0,9.16,9.107999999999999,182500
2003-02-25,9.1,9.16,9.144,144500
2003-02-26,9.148,9.2,9.068,214000
2003-02-27,9.048,9.05,8.66,933000
2003-02-28,8.65,8.76,8.61,554500
2003-03-03,8.612,8.712,8.626,211000
2003-03-04,8.62,8.648,8.564,151000
2003-03-05,8.566,8.592,8.45,270000
2003-03-06,8.422,8.53,8.468,352500
2003-03-07,8.47,8.548,8.466000000000001,174000
2003-03-10,8.456,8.532,8.472000000000001,163000
2003-03-11,8.474,8.54,8.454,104500
2003-03-12,8.48,8.51,8.476,312000
2003-03-13,8.5,8.54,8.504,204000
2003-03-14,8.5,8.68,8.64,471500
2003-03-17,8.64,9.238,9.19,602500
2003-03-18,9.193999999999999,9.366,9.21,478500
2003-03-19,9.22,9.39,9.39,149500
2003-03-20,9.11,9.38,9.11,558000
2003-03-21,9.14,9.426,9.42,630000
2003-03-24,9.4,9.64,9.6,1109500
2003-03-25,9.59,9.71,9.686,545500
2003-03-26,9.68,9.782,9.7,1076000
2003-03-27,9.68,9.78,9.78,774500
2003-03-28,9.76,9.76,9.73,302500
2003-03-31,9.71,9.71,9.63,434000
2003-04-01,9.632,9.632,9.594,232000
2003-04-02,9.474,9.66,9.632,528500
2003-04-03,9.64,9.836,9.656,627500
