Date,Open,High,Close,Volume
2006-01-26,45.0,48.28,44.0,13213600
2006-01-27,44.88,44.9,42.2,1150800
2006-01-30,42.2,45.51,44.8,735600
2006-01-31,45.5,49.3,47.52,1110600
2006-02-01,48.9,49.24,46.56,606700
2006-02-02,47.9,47.91,44.75,396500
2006-02-03,44.85,46.56,46.55,245300
2006-02-06,47.48,48.0,47.71,349600
2006-02-07,47.71,47.75,46.28,267200
2006-02-08,45.85,46.6,45.74,174400
2006-02-09,45.78,46.0,44.05,220300
2006-02-10,43.25,43.26,42.31,375500
2006-02-13,41.75,42.55,41.48,199100
2006-02-14,41.45,43.26,43.0,197900
2006-02-15,43.1,43.299,42.7,98100
2006-02-16,43.75,44.7,44.45,293000
2006-02-17,44.25,45.0,43.85,138000
2006-02-20,44.25,45.0,43.85,0
2006-02-21,44.0,44.06,43.1,68100
2006-02-22,43.0,44.15,43.87,95900
2006-02-23,45.1,45.99,45.8,249300
2006-02-24,45.9,46.75,46.67,138300
2006-02-27,46.95,46.95,46.53,100800
2006-02-28,46.53,46.53,45.6,87500
2006-03-01,45.64,46.2,45.5,190100
2006-03-02,45.5,46.31,45.75,229000
2006-03-03,45.75,46.29,45.48,89100
2006-03-06,45.6,46.1,45.79,168900
2006-03-07,44.5,45.25,45.0,326000
2006-03-08,44.85,44.85,42.5,306500
2006-03-09,42.75,42.9,41.46,161500
2006-03-10,41.4,42.88,42.11,313900
2006-03-13,42.36,43.7499,43.41,186700
2006-03-14,46.29,49.15,48.7,1255500
2006-03-15,48.0,52.75,52.01,1142100
2006-03-16,52.0,56.75,55.05,1697600
2006-03-17,55.5,55.5,53.86,396200
2006-03-20,53.86,53.86,50.09,862700
2006-03-21,50.26,52.35,52.0,360100
2006-03-22,52.95,54.85,54.8,573600
2006-03-23,55.0,55.1,53.88,505499
2006-03-24,54.0,54.85,54.51,276400
2006-03-27,54.25,54.45,54.09,220900
2006-03-28,54.1,54.1,53.2,175600
2006-03-29,53.45,54.45,53.93,148000
2006-03-30,54.03,55.5,55.41,209400
2006-03-31,55.2,56.5,55.39,678900
