Date,Open,High,Close,Volume
2000-01-03,11.985,12.0312,11.8282,772000
2000-01-04,11.8125,11.8125,11.5,667600
2000-01-05,11.5,11.7188,11.5158,857600
2000-01-06,11.125,12.0,11.922,3072000
2000-01-07,11.9225,12.5,12.2345,2005999
2000-01-10,12.1725,12.4688,12.4062,1014799
2000-01-11,12.3125,12.3125,11.7032,769200
2000-01-12,11.7025,11.9688,11.75,677600
2000-01-13,11.8125,12.25,11.9532,608400
2000-01-14,12.015,12.0625,11.672,443200
2000-01-17,12.015,12.0625,11.672,0
2000-01-18,11.5475,11.6408,11.5625,511200
2000-01-19,11.5625,11.5625,11.297,1146800
2000-01-20,11.3595,11.3595,11.047,572400
2000-01-21,11.11,11.25,10.75,1079600
2000-01-24,10.7975,10.8125,10.422,1034400
2000-01-25,10.375,10.422,10.1408,1258800
2000-01-26,10.2025,10.297,10.172,2245200
2000-01-27,10.1095,10.1095,9.9532,1246800
2000-01-28,10.125,10.1562,9.6562,1690000
2000-01-31,9.595,9.7345,9.5625,1202800
2000-02-01,9.375,9.5625,9.3125,1048000
2000-02-02,9.3125,9.4532,9.1408,979600
2000-02-03,9.265,9.422,9.3438,2487600
2000-02-04,9.345,9.4532,9.3908,1194000
2000-02-07,9.4075,9.4845,9.2812,1344800
2000-02-08,9.345,9.5,9.2345,1170000
2000-02-09,9.25,9.3438,9.1408,909600
2000-02-10,9.14,9.2345,9.1562,1580800
2000-02-11,9.25,9.25,8.7658,1278800
2000-02-14,8.7825,8.9688,8.8438,1257200
2000-02-15,8.845,9.0782,8.9845,1914800
2000-02-16,9.25,9.2658,9.2658,1792000
2000-02-17,9.0,9.0938,9.0158,1058800
2000-02-18,9.1575,10.5,10.1875,2412800
2000-02-21,9.1575,10.5,10.1875,0
2000-02-22,10.125,10.172,10.172,2058399
2000-02-23,10.1562,10.1562,9.5625,720000
2000-02-24,9.547,9.547,8.75,2075600
2000-02-25,8.5625,8.6875,8.6562,2153200
2000-02-28,8.515,8.5158,8.4062,1172800
2000-02-29,8.4688,8.4688,8.3282,1358000
2000-03-01,8.39,8.625,8.4688,996400
2000-03-02,8.25,8.5,8.2345,1185600
2000-03-03,8.2975,8.672,8.6562,1090400
2000-03-06,8.2969,8.5938,8.2969,602400
2000-03-07,8.39,8.4062,7.8282,852400
2000-03-08,7.9525,8.0,7.7658,1096400
2000-03-09,7.8594,8.0625,8.0625,585600
2000-03-10,7.75,8.0625,8.0,1124000
2000-03-13,7.875,7.875,7.8595,747200
2000-03-14,7.875,8.1094,7.9219,630400
2000-03-15,7.7656,8.5,8.4219,1322800
2000-03-16,8.485,9.3125,9.297,1659200
2000-03-17,9.297,9.297,8.8908,1426800
2000-03-20,9.125,9.2658,8.9845,1358800
2000-03-21,9.11,9.5,9.3125,1124000
2000-03-22,9.3125,9.3125,9.1875,839200
2000-03-23,9.125,9.625,9.5625,1117600
2000-03-24,9.5625,9.7658,9.5312,1267600
2000-03-27,9.625,9.75,9.6095,1250000
2000-03-28,9.6725,9.6875,9.3125,1177200
2000-03-29,9.3275,9.6562,9.4062,1277600
2000-03-30,9.3438,9.3438,9.0782,1808400
2000-03-31,8.9525,9.5,9.3908,1990000
2000-04-03,9.515,9.5158,9.3125,776800
2000-04-04,9.485,9.9845,9.5938,1860400
2000-04-05,9.75,9.75,9.4532,964000
2000-04-06,9.4525,9.5782,9.1875,1339200
2000-04-07,9.25,9.2812,9.1095,709200
2000-04-10,9.095,9.2812,9.0312,542000
2000-04-11,9.095,9.1875,9.047,889600
2000-04-12,8.985,9.375,8.9062,1400400
2000-04-13,9.2975,9.9375,9.6562,2063600
2000-04-14,9.4375,9.5,9.1562,2065599
2000-04-17,9.1575,9.7032,9.172,1160400
2000-04-18,9.1875,9.5782,9.3595,1152800
2000-04-19,9.2975,9.3282,9.047,717600
2000-04-20,8.9075,9.2032,9.0312,644000
2000-04-21,8.9075,9.2032,9.0312,0
2000-04-24,9.0325,9.2188,9.0782,369600
2000-04-25,8.9525,9.25,9.1875,688400
2000-04-26,9.25,9.3908,9.047,880800
2000-04-27,9.0775,9.172,8.9375,412000
2000-04-28,8.89,8.9375,8.8908,854400
2000-05-01,8.86,9.0,8.8595,1057200
2000-05-02,8.6875,8.797,8.672,824800
2000-05-03,8.6562,8.6562,8.4845,292400
2000-05-04,8.515,8.5782,8.4532,480400
2000-05-05,8.47,8.5938,8.5312,544000
2000-05-08,8.47,8.672,8.5,495600
2000-05-09,8.595,8.6095,8.4532,640400
2000-05-10,8.3275,8.422,8.422,484000
2000-05-11,8.5325,8.8438,8.6562,853600
