Date,Open,High,Close,Volume
2000-01-03,30.94,31.0,29.5,1615200
2000-01-04,29.563000000000002,30.0,29.875,456400
2000-01-05,29.81,31.0,30.688000000000002,1842300
2000-01-06,30.69,31.125,30.438000000000002,366500
2000-01-07,30.88,31.25,31.125,531300
2000-01-10,30.94,31.313000000000002,30.688000000000002,257799
2000-01-11,30.563000000000002,31.563000000000002,31.5,1471100
2000-01-12,31.31,31.5,31.313000000000002,1518200
2000-01-13,31.56,32.0,31.625,492700
2000-01-14,31.625,31.625,31.188000000000002,276700
2000-01-17,31.625,31.625,31.188000000000002,0
2000-01-18,31.0,31.0,30.563000000000002,418900
2000-01-19,30.63,31.125,30.875,512300
2000-01-20,30.94,31.125,30.938000000000002,391500
2000-01-21,31.0,31.625,31.375,567300
2000-01-24,31.5,32.063,31.25,657300
2000-01-25,31.31,31.313000000000002,30.688000000000002,714500
2000-01-26,30.875,30.875,30.438000000000002,1105700
2000-01-27,30.688000000000002,30.688000000000002,30.0,572300
2000-01-28,29.75,30.25,29.5,514300
2000-01-31,29.75,30.563000000000002,30.0,982200
2000-02-01,26.125,26.625,23.375,3723300
2000-02-02,26.125,26.625,20.8125,5757000
2000-02-03,21.19,22.313000000000002,21.938000000000002,5044000
2000-02-04,21.875,22.0,20.5625,2219700
2000-02-07,20.38,20.563000000000002,20.313,698100
2000-02-08,20.38,20.688000000000002,20.313,807100
2000-02-09,20.31,20.375,19.938,1282000
2000-02-10,19.938,19.938,18.75,2792300
2000-02-11,18.81,18.813,18.625,1121200
2000-02-14,18.75,19.375,19.188,714400
2000-02-15,19.5,19.75,19.375,746200
2000-02-16,19.13,19.313,18.688,920000
2000-02-17,18.688,18.688,18.375,1281500
2000-02-18,18.31,18.5,18.313,907200
2000-02-21,18.31,18.5,18.313,0
2000-02-22,18.31,18.375,18.25,685400
2000-02-23,18.438,18.438,17.563,1077400
2000-02-24,17.688,17.688,17.0,697500
2000-02-25,17.0,17.0,16.438,757300
2000-02-28,16.688,16.688,16.5,816200
2000-02-29,16.63,16.938,16.75,914200
2000-03-01,16.75,17.0,16.938,487000
2000-03-02,16.94,17.25,16.875,1122500
2000-03-03,17.0,17.125,17.063,899300
2000-03-06,17.75,18.0,17.313,1817500
2000-03-07,17.31,17.5,17.25,842300
2000-03-08,17.25,17.375,17.188,850000
2000-03-09,17.19,17.25,17.125,589200
2000-03-10,17.063,17.375,17.188,450800
2000-03-13,17.25,17.438,17.188,537800
2000-03-14,17.25,17.3125,17.1875,696900
2000-03-15,17.5,18.875,18.75,2766700
2000-03-16,19.13,19.625,19.438,455000
2000-03-17,19.5,19.688,19.063,819300
2000-03-20,19.25,19.563,19.438,579900
2000-03-21,19.31,19.625,19.375,431100
2000-03-22,19.38,19.563,18.875,1017200
2000-03-23,19.06,19.125,19.0,709900
2000-03-24,19.0,19.313,19.063,328400
2000-03-27,19.25,19.75,19.0,624900
2000-03-28,19.0625,19.375,18.8125,737500
2000-03-29,18.69,19.25,18.875,851200
2000-03-30,19.25,19.375,18.75,946900
2000-03-31,18.75,18.75,18.125,2418300
2000-04-03,18.19,18.25,18.0,1082900
2000-04-04,18.0,18.625,18.188,661400
2000-04-05,18.19,18.688,18.438,673300
2000-04-06,18.5,18.563,18.25,677200
2000-04-07,18.31,18.375,18.25,786100
2000-04-10,18.25,18.625,18.438,456700
2000-04-11,18.69,18.75,18.563,406700
2000-04-12,18.63,19.188,18.75,609500
2000-04-13,18.63,19.688,19.5,1084900
2000-04-14,19.688,19.688,19.375,815500
2000-04-17,19.25,19.375,19.375,459700
2000-04-18,19.25,19.625,19.438,926800
2000-04-19,18.88,19.188,19.188,433500
2000-04-20,19.0,19.188,18.875,314300
2000-04-21,19.0,19.188,18.875,0
2000-04-24,18.94,19.563,19.5,496600
2000-04-25,19.25,19.875,19.813,591600
2000-04-26,19.875,19.875,19.5,744100
2000-04-27,19.438,19.438,18.688,3672100
2000-04-28,18.75,19.125,19.0,3329900
2000-05-01,19.13,20.125,20.063,2123000
2000-05-02,20.063,21.188000000000002,20.938000000000002,3228700
2000-05-03,20.688000000000002,20.688000000000002,20.563000000000002,593500
2000-05-04,20.63,21.75,21.375,1067300
2000-05-05,21.375,21.375,21.063000000000002,400100
2000-05-08,21.5,21.875,21.563000000000002,1243100
2000-05-09,21.625,21.625,21.438000000000002,860200
2000-05-10,21.438000000000002,21.438000000000002,21.313000000000002,586400
2000-05-11,21.44,21.875,21.875,997000
2000-05-12,21.94,22.188000000000002,21.25,536400
2000-05-15,21.5,21.938000000000002,21.75,1092100
2000-05-16,21.94,22.438000000000002,22.125,495100
2000-05-17,22.375,22.375,21.813000000000002,425600
2000-05-18,21.69,22.625,22.125,568700
2000-05-19,21.88,22.188000000000002,21.688000000000002,505100
