Date,Open,High,Close,Volume
2001-12-13,2.38,2.95,2.867,28183800
2001-12-14,2.87,2.8819999999999997,2.7835,5653800
2001-12-17,2.785,2.85,2.83,878400
2001-12-18,2.815,2.895,2.877,1792800
2001-12-19,2.875,3.55,3.452,1676400
2001-12-20,3.4,3.8,3.3085,1927800
2001-12-21,3.35,3.35,3.3169999999999997,1623000
2001-12-24,3.325,3.375,3.325,484200
2001-12-25,3.325,3.375,3.325,0
2001-12-26,3.315,3.4335,3.387,1057800
2001-12-27,3.415,3.4819999999999998,3.467,1186200
2001-12-28,3.4419999999999997,3.6335,3.5835,554400
2001-12-31,3.65,3.85,3.6585,225600
2002-01-01,3.65,3.85,3.6585,0
2002-01-02,3.7785,3.7785,3.667,724200
2002-01-03,3.65,3.675,3.667,164400
2002-01-04,3.6735,3.6735,3.625,274800
2002-01-07,3.575,3.615,3.4285,394800
2002-01-08,3.435,3.5333,3.5333,592200
2002-01-09,3.5335,3.5335,3.4535,348600
2002-01-10,3.475,3.475,3.427,276000
2002-01-11,3.375,3.617,3.5335,97200
2002-01-14,3.565,3.5669999999999997,3.4935,64800
2002-01-15,3.5002,3.5084,3.5084,47400
2002-01-16,3.5,3.51,3.342,73800
2002-01-17,3.335,3.42,3.2585,518400
2002-01-18,3.22,3.282,3.25,417000
2002-01-21,3.22,3.282,3.25,0
2002-01-22,3.215,3.367,3.367,235200
2002-01-23,3.31,3.6183,3.6183,115800
2002-01-24,3.6,3.64,3.592,54000
2002-01-25,3.59,3.6085,3.6085,126599
2002-01-28,3.575,3.575,3.387,692400
2002-01-29,3.375,3.5,3.417,371400
2002-01-30,3.4185,3.4185,3.3535,534000
2002-01-31,3.345,3.3935,3.0835,1555800
2002-02-01,3.2,3.3333,3.2335,909000
2002-02-04,3.235,3.267,3.1335,3652800
2002-02-05,3.135,3.1867,3.1867,22800
2002-02-06,3.185,3.362,3.35,285600
2002-02-07,3.325,3.35,3.202,49200
2002-02-08,3.2017,3.2017,3.2017,4200
2002-02-11,3.265,3.307,3.2085,18000
2002-02-12,3.2,3.242,3.2119999999999997,24600
2002-02-13,3.2,3.2,3.13,418800
2002-02-14,3.15,3.2117,3.2117,69600
2002-02-15,3.19,3.1919999999999997,3.167,481800
2002-02-18,3.19,3.1919999999999997,3.167,0
2002-02-19,3.175,3.1835,3.127,15600
2002-02-20,3.13,3.175,3.1435,181800
2002-02-21,3.165,3.1919999999999997,3.1585,277200
2002-02-22,3.16,3.18,3.1335,285600
2002-02-25,3.16,3.1785,3.15,1034999
2002-02-26,3.15,3.19,3.1519999999999997,112800
2002-02-27,3.135,3.167,3.1385,664200
2002-02-28,3.135,3.142,3.125,716400
2002-03-01,3.15,3.167,3.13,580200
2002-03-04,3.13,3.157,3.14,332400
2002-03-05,3.14,3.1835,3.1485,155400
2002-03-06,3.15,3.1985,3.15,134400
2002-03-07,3.2,3.2,3.15,36600
2002-03-08,3.145,3.1835,3.1835,79200
2002-03-11,3.125,3.182,3.145,89400
2002-03-12,3.175,3.25,3.25,346800
2002-03-13,3.255,3.457,3.457,363000
2002-03-14,3.425,3.6784,3.6784,748800
2002-03-15,3.66,3.8085,3.767,437400
2002-03-18,3.83,3.927,3.8169999999999997,376200
2002-03-19,3.85,3.85,3.85,201600
2002-03-20,3.825,3.8685,3.8335,118200
2002-03-21,3.835,3.842,3.842,486000
2002-03-22,3.795,3.855,3.855,210000
2002-03-25,3.84,3.842,3.825,30600
2002-03-26,3.81,3.842,3.8335,61200
2002-03-27,3.845,3.852,3.825,123600
2002-03-28,3.835,3.8735,3.8169999999999997,834600
2002-03-29,3.835,3.8735,3.8169999999999997,0
2002-04-01,3.825,3.825,3.825,163200
2002-04-02,3.825,3.825,3.825,54000
2002-04-03,3.8167,3.8333,3.8333,288000
2002-04-04,3.825,3.8333,3.8333,31200
