Date,Open,High,Low,Close,Volume
2018-02-02,3.55,3.58,3.52,3.57,59080
2018-02-01,3.59,3.59,3.47,3.56,19989
2018-01-31,3.46,3.62,3.46,3.6,56320
2018-01-30,3.43,3.46,3.43,3.46,15323
2018-01-29,3.43,3.45,3.42,3.45,37413
2018-01-26,3.39,3.42,3.39,3.42,51595
2018-01-25,3.35,3.41,3.35,3.39,3809
2018-01-24,3.38,3.39,3.35,3.39,2707
2018-01-23,3.4,3.44,3.35,3.39,5171
2018-01-22,3.39,3.4,3.35,3.4,6994
2018-01-19,3.42,3.43,3.4,3.4,60729
2018-01-18,3.42,3.42,3.4,3.41,3622
2018-01-17,3.41,3.41,3.37,3.4,9162
2018-01-16,3.39,3.44,3.35,3.41,147800
2018-01-15,3.35,3.39,3.35,3.38,13831
2018-01-12,3.36,3.39,3.36,3.39,27303
2018-01-11,3.35,3.36,3.35,3.35,60674
2018-01-10,3.3,3.35,3.3,3.35,13687
2018-01-09,3.32,3.33,3.3,3.3,3349
2018-01-08,3.3,3.31,3.3,3.3,1432
2018-01-05,3.28,3.28,3.27,3.28,1032
2018-01-04,3.28,3.28,3.23,3.28,4196
2018-01-03,3.3,3.3,3.21,3.3,892
2017-12-29,3.32,3.32,3.28,3.3,8332
2017-12-28,3.23,3.3,3.23,3.27,16345
2017-12-27,3.23,3.25,3.18,3.23,16310
2017-12-22,3.21,3.23,3.2,3.23,7364
2017-12-21,3.14,3.23,3.14,3.2,22995
2017-12-20,3.14,3.22,3.14,3.2,16568
2017-12-19,3.17,3.18,3.15,3.16,6229
2017-12-18,3.24,3.24,3.14,3.18,3146
2017-12-15,3.19,3.23,3.19,3.23,15485
2017-12-14,3.19,3.2,3.19,3.2,7113
2017-12-13,3.17,3.23,3.02,3.2,89300
2017-12-12,3.14,3.17,3.14,3.17,7064
2017-12-11,3.17,3.17,3.08,3.14,15699
2017-12-08,3.14,3.17,3.14,3.17,8892
2017-12-07,3.14,3.17,3.14,3.17,8244
2017-12-06,3.14,3.14,3.14,3.14,4355
2017-12-05,3.13,3.14,3.13,3.14,3174
2017-12-04,3.13,3.14,3.13,3.14,3449
2017-12-01,3.1,3.15,3.1,3.13,32660
2017-11-30,3.15,3.15,3.09,3.1,10835
2017-11-29,3.16,3.16,3.15,3.15,2173
2017-11-28,3.12,3.15,3.1,3.15,11027
2017-11-27,3.15,3.18,3.11,3.17,3141
2017-11-24,3.09,3.13,3.09,3.13,9123
2017-11-23,3.16,3.16,3.08,3.13,54627
2017-11-22,3.1,3.13,3.05,3.06,139865
2017-11-21,3.05,3.12,3.05,3.09,14228
2017-11-20,3.0,3.07,3.0,3.07,12433
2017-11-17,2.99,3.04,2.99,3.04,5942
2017-11-16,2.96,3.04,2.95,2.99,15873
2017-11-15,3.09,3.1,2.79,3.03,55883
2017-11-14,3.09,3.1,3.07,3.08,8145
2017-11-13,3.1,3.1,3.07,3.1,7258
2017-11-10,3.08,3.12,3.05,3.12,25263
2017-11-09,3.15,3.15,3.12,3.14,8697
2017-11-07,3.19,3.19,3.16,3.17,3460
2017-11-06,3.19,3.19,3.17,3.19,2805
2017-11-03,3.17,3.19,3.16,3.19,826
2017-11-02,3.18,3.19,3.17,3.18,2240
2017-10-31,3.16,3.2,3.16,3.17,4101
2017-10-30,3.12,3.2,3.12,3.2,4200
2017-10-27,3.14,3.18,3.14,3.16,9174
2017-10-26,3.16,3.19,3.16,3.19,15294
2017-10-25,3.17,3.18,3.16,3.16,7803
2017-10-24,3.2,3.2,3.19,3.19,2970
2017-10-23,3.19,3.2,3.17,3.2,9027
2017-10-20,3.2,3.23,3.2,3.22,9242
2017-10-19,3.23,3.23,3.19,3.2,22357
2017-10-18,3.22,3.22,3.22,3.22,1
2017-10-17,3.25,3.25,3.19,3.21,13256
2017-10-16,3.23,3.23,3.2,3.23,4708
2017-10-13,3.17,3.25,3.17,3.25,6886
2017-10-12,3.2,3.24,3.12,3.19,9239
2017-10-11,3.21,3.22,3.2,3.21,9741
2017-10-10,3.25,3.25,3.23,3.23,2848
2017-10-09,3.25,3.25,3.22,3.24,4977
2017-10-06,3.27,3.27,3.23,3.23,14746
2017-10-05,3.26,3.32,3.26,3.29,11254
2017-10-04,3.35,3.35,3.26,3.26,16246
