Date,Open,High,Close,Volume
2000-01-03,45.53,45.532,44.5,6057400
2000-01-04,44.47,44.563,42.063,5722800
2000-01-05,42.22,42.938,42.782,7726400
2000-01-06,43.32,44.563,43.641000000000005,7221400
2000-01-07,44.5,46.625,46.5,5099600
2000-01-10,46.53,47.532,47.5,4453000
2000-01-11,47.13,47.563,45.813,2949200
2000-01-12,46.57,47.25,45.75,4646400
2000-01-13,46.28,48.063,47.468999999999994,5750800
2000-01-14,48.13,50.25,49.063,4570200
2000-01-17,48.13,50.25,49.063,0
2000-01-18,48.75,51.75,51.25,5929100
2000-01-19,51.94,53.125,51.875,4128599
2000-01-20,52.38,53.125,50.0,5551600
2000-01-21,50.0312,51.5,51.4375,3514900
2000-01-24,48.25,51.25,48.4375,4972000
2000-01-25,47.0,49.75,47.5469,3730800
2000-01-26,49.13,52.0,50.438,3782800
2000-01-27,50.56,51.375,48.938,3108700
2000-01-28,48.63,49.75,46.0,2834600
2000-01-31,46.06,49.5,48.938,3270300
2000-02-01,49.31,52.125,51.875,4530500
2000-02-02,52.125,54.0,52.6406,4945700
2000-02-03,54.0,55.0,54.188,4640800
2000-02-04,54.75,55.188,53.0,3273700
2000-02-07,52.0,52.25,51.25,2566700
2000-02-08,51.94,53.75,53.063,2433800
2000-02-09,52.0,53.0,52.875,1466800
2000-02-10,52.81,52.875,52.125,2761800
2000-02-11,52.13,52.313,51.688,2071000
2000-02-14,51.56,51.625,50.75,1853800
2000-02-15,50.06,50.5,49.375,2675400
2000-02-16,49.19,49.313,47.75,4231500
2000-02-17,48.0,48.0,44.0,6947500
2000-02-18,43.75,45.938,44.938,6004200
2000-02-21,43.75,45.938,44.938,0
2000-02-22,44.81,45.25,44.0,3761800
2000-02-23,44.38,45.25,44.563,4267300
2000-02-24,44.69,45.063,44.375,3990500
2000-02-25,44.25,48.343999999999994,47.625,7698400
2000-02-28,47.25,50.625,48.938,6489300
2000-02-29,48.88,50.0,49.625,3681800
2000-03-01,49.44,49.813,46.5,4624400
2000-03-02,47.56,51.875,49.625,7841600
2000-03-03,50.19,51.25,49.938,2430500
2000-03-06,49.88,50.25,50.125,3419200
2000-03-07,50.03,50.063,45.375,7506000
2000-03-08,46.31,46.375,45.625,6526600
2000-03-09,45.5,45.563,44.563,4934800
2000-03-10,44.69,46.25,44.125,4933900
2000-03-13,44.0,45.0,43.0,3747300
2000-03-14,43.5,45.5,43.313,2097100
2000-03-15,43.19,50.5,49.813,5515200
2000-03-16,48.88,56.063,55.938,12820600
2000-03-17,54.75,54.875,53.938,7765900
2000-03-20,53.75,53.938,52.313,3873800
2000-03-21,52.13,53.25,52.188,4335200
2000-03-22,52.31,55.0,52.875,5072800
2000-03-23,52.75,54.0,53.625,2929400
2000-03-24,53.81,55.063,53.875,5252600
2000-03-27,53.25,54.625,53.438,2459100
2000-03-28,53.25,55.688,51.125,6036600
2000-03-29,51.188,51.188,50.5,5350800
2000-03-30,50.28,52.313,50.25,8935600
2000-03-31,51.31,52.75,52.563,9953300
2000-04-03,51.5,53.25,52.5,4199700
2000-04-04,53.94,55.25,54.063,9565100
2000-04-05,53.94,55.0,53.5,2591700
2000-04-06,54.5,54.75,51.875,4240500
2000-04-07,51.25,54.438,52.813,2588400
2000-04-10,52.25,55.125,54.25,5795900
2000-04-11,53.5,57.625,57.438,7303000
2000-04-12,57.06,60.5,55.063,7752400
2000-04-13,56.25,58.75,54.625,6418200
2000-04-14,54.125,54.125,50.875,4131599
2000-04-17,49.5,50.25,49.125,7134400
2000-04-18,49.25,51.625,50.938,5177100
2000-04-19,51.13,53.063,52.25,3504300
2000-04-20,52.13,55.625,54.813,4288000
2000-04-21,52.13,55.625,54.813,0
2000-04-24,53.25,58.125,56.0,5967100
2000-04-25,56.63,57.125,57.0,3733300
2000-04-26,56.59,57.0,54.938,3080100
2000-04-27,54.8438,56.5,56.0625,5615600
2000-04-28,55.75,55.875,54.063,3686200
2000-05-01,54.06,59.0,58.438,3629500
2000-05-02,58.4688,58.5,53.75,3729600
2000-05-03,52.06,52.625,52.188,7462700
2000-05-04,51.56,52.375,48.938,9973300
2000-05-05,48.9375,50.875,48.8125,4189400
2000-05-08,48.63,48.75,47.438,3450900
2000-05-09,48.06,50.375,49.188,2988400
2000-05-10,49.0,50.5,48.938,3644300
2000-05-11,49.5,50.25,49.813,2339900
2000-05-12,49.5,50.125,47.813,2610000
2000-05-15,47.88,49.438,48.938,3392900
2000-05-16,49.69,52.5,51.313,2932400
2000-05-17,50.31,50.313,47.718999999999994,4054800
2000-05-18,47.75,48.375,46.75,3042100
2000-05-19,45.81,46.0,45.0,4727400
2000-05-22,45.25,45.5,43.125,8662300
2000-05-23,42.94,44.25,40.625,8691500
2000-05-24,32.0,33.375,32.0,144859600
2000-05-25,32.0,32.5,30.0,33097400
2000-05-26,30.63,31.375,30.875,15011700
2000-05-29,30.63,31.375,30.875,0
2000-05-30,31.75,32.875,32.5,28790800
2000-05-31,32.5,32.813,31.938000000000002,16909700
2000-06-01,31.9688,32.6875,32.25,15636500
2000-06-02,32.94,34.438,34.25,12979400
2000-06-05,34.25,34.313,33.25,6547400
2000-06-06,33.0,33.063,31.75,12969000
2000-06-07,32.06,33.5,32.75,7450400
2000-06-08,32.81,32.875,32.063,10448000
2000-06-09,32.38,32.688,32.313,7604100
2000-06-12,32.25,32.25,31.438000000000002,8304100
2000-06-13,31.44,34.688,32.125,6943800
2000-06-14,32.5,33.5,32.563,3402600
2000-06-15,32.88,33.563,33.188,3251400
2000-06-16,33.38,33.438,32.5,3502500
2000-06-19,32.25,32.938,32.0,6767900
2000-06-20,32.0312,39.9375,31.6406,6683800
2000-06-21,31.63,33.0,32.375,4951600
2000-06-22,32.44,33.344,32.0,5327900
2000-06-23,32.06,32.5,32.0,7073400
2000-06-26,32.19,32.25,31.875,6451800
2000-06-27,31.88,33.188,33.0,4767800
2000-06-28,33.0,33.125,32.313,5990500
2000-06-29,32.19,32.438,32.063,6542700
2000-06-30,32.13,33.438,33.0,6527100
2000-07-03,33.0,34.25,34.188,2559000
2000-07-04,33.0,34.25,34.188,0
2000-07-05,34.375,34.375,33.25,3176400
2000-07-06,33.188,33.188,32.875,4599900
2000-07-07,32.88,34.875,34.563,6814100
2000-07-10,34.69,37.125,37.063,9257200
2000-07-11,37.0,37.125,35.563,8823600
2000-07-12,35.75,36.813,36.563,4112599
2000-07-13,36.12,36.625,36.5,4144100
2000-07-14,36.0,37.0625,35.9844,2314900
2000-07-17,35.9375,36.25,35.5,2615200
2000-07-18,35.5,35.625,33.875,5841500
2000-07-19,33.9062,34.0625,33.625,5116900
2000-07-20,33.06,33.625,32.938,8632300
2000-07-21,32.9062,33.5,32.25,4244100
2000-07-24,32.31,32.313,31.688000000000002,5246400
2000-07-25,31.88,32.063,31.688000000000002,5154800
2000-07-26,31.81,32.313,31.313000000000002,8903900
2000-07-27,31.44,32.5,31.938000000000002,5946900
2000-07-28,32.31,33.625,32.25,4173600
2000-07-31,32.19,32.813,32.563,4238800
2000-08-01,32.25,33.25,32.5,4361900
2000-08-02,32.5,33.75,33.563,6512800
2000-08-03,33.31,34.875,34.563,8987800
2000-08-04,34.56,35.813,35.5,6877100
2000-08-07,35.25,36.75,36.688,4613700
2000-08-08,36.44,38.063,37.563,8620500
2000-08-09,37.31,37.313,36.188,6953300
2000-08-10,36.25,36.313,34.375,3753800
2000-08-11,34.81,35.313,34.938,3365300
2000-08-14,35.0,36.563,35.75,3540300
2000-08-15,35.88,36.063,34.75,2510100
2000-08-16,33.25,33.875,33.063,6530300
2000-08-17,33.0,33.125,33.0,4365500
2000-08-18,32.94,33.938,33.438,3310800
2000-08-21,33.56,33.625,32.75,4051100
2000-08-22,32.88,33.5,32.938,4071600
2000-08-23,32.69,33.063,32.25,3638300
2000-08-24,32.56,32.594,32.375,3884800
2000-08-25,32.5,33.125,32.938,2080400
2000-08-28,33.0,34.0,33.063,2225700
2000-08-29,32.94,35.938,34.75,6172600
2000-08-30,34.56,35.75,35.625,5564200
2000-08-31,35.19,35.563,34.438,4108200
2000-09-01,34.81,35.625,35.313,3419900
2000-09-04,34.81,35.625,35.313,0
2000-09-05,35.38,36.688,36.188,3681600
2000-09-06,36.25,37.25,36.563,2586400
2000-09-07,36.63,37.063,36.5,1463700
2000-09-08,36.44,39.063,37.688,7152500
2000-09-11,37.88,38.438,37.625,5270300
2000-09-12,37.94,38.0,37.625,2099100
2000-09-13,37.63,39.0,38.375,5605700
2000-09-14,38.44,38.625,37.188,2115400
2000-09-15,37.25,38.1875,35.3125,11525200
2000-09-18,35.31,35.375,34.063,5335000
2000-09-19,34.69,34.75,33.438,4966800
2000-09-20,33.63,34.813,34.25,4278900
2000-09-21,34.25,35.688,35.375,4114800
2000-09-22,34.81,36.125,34.938,3307800
2000-09-25,35.0,35.5,34.875,3696800
2000-09-26,34.69,34.75,33.813,5521900
2000-09-27,34.13,34.813,34.563,3937400
2000-09-28,34.81,36.0,35.875,2930700
2000-09-29,35.94,36.375,34.938,4171999
2000-10-02,34.5,34.5,32.9375,7922100
2000-10-03,33.25,34.25,33.813,4915900
2000-10-04,34.0,35.688,34.469,5941500
2000-10-05,34.47,34.875,33.625,5808300
