Date,Open,High,Close,Volume
2013-06-13,17.5,17.52,17.36,46263348
2013-06-14,17.45,17.55,17.52,9049475
2013-06-17,17.61,17.65,17.39,5489446
2013-06-18,17.39,17.42,17.3,6717150
2013-06-19,17.25,17.35,17.19,7128541
2013-06-20,16.8,16.85,16.75,2785129
2013-06-21,16.75,17.07,16.99,2542810
2013-06-24,16.8,16.82,16.61,1206074
2013-06-25,16.7,16.88,16.75,1074754
2013-06-26,16.8,17.14,17.02,3420816
2013-06-27,17.07,17.24,17.24,1773717
2013-06-28,17.2,17.23,17.18,1904541
2013-07-01,17.18,17.25,17.18,1188797
2013-07-02,17.18,17.35,17.26,665253
2013-07-03,17.2,17.28,17.25,331958
2013-07-04,17.25,17.25,17.25,0
2013-07-05,17.3,17.31,17.26,573335
2013-07-08,17.34,17.34,17.27,855895
2013-07-09,17.25,17.4,17.38,521298
2013-07-10,17.4,17.48,17.39,520664
2013-07-11,17.45,17.49,17.45,990136
2013-07-12,17.4,17.52,17.5,1258583
2013-07-15,17.5,17.55,17.18,243629
2013-07-16,17.29,17.34,17.32,508082
2013-07-17,17.13,17.4,17.3,995956
2013-07-18,17.35,17.43,17.15,682723
2013-07-19,17.15,17.27,17.08,599409
2013-07-22,17.08,17.08,16.95,461964
2013-07-23,17.15,17.22,17.06,1619436
2013-07-24,17.18,17.22,17.13,373549
2013-07-25,17.06,17.4,17.35,743772
2013-07-26,17.32,17.34,17.11,311711
2013-07-29,17.05,17.26,17.22,401237
2013-07-30,17.25,17.2897,17.13,530998
2013-07-31,17.15,17.3,17.19,291337
2013-08-01,17.27,17.39,17.27,579765
2013-08-02,17.34,17.36,17.26,345380
2013-08-05,17.25,17.54,17.48,1976874
2013-08-06,17.46,17.74,17.51,1701997
2013-08-07,17.5,17.5,17.28,801931
2013-08-08,17.28,17.36,16.81,1275551
2013-08-09,16.77,17.11,16.94,381289
2013-08-12,16.85,17.05,16.96,276203
2013-08-13,16.93,17.07,16.59,508162
2013-08-14,16.62,16.76,16.76,742518
2013-08-15,16.71,17.07,16.99,611005
2013-08-16,16.9,17.0,16.89,238795
2013-08-19,16.92,17.0,16.99,109813
2013-08-20,16.98,17.02,16.99,228626
2013-08-21,17.02,17.08,16.84,237689
2013-08-22,16.88,16.96,16.78,253467
2013-08-23,16.8,16.86,16.58,229411
2013-08-26,16.57,16.7,16.53,154773
2013-08-27,16.43,16.51,15.91,521200
2013-08-28,15.96,15.96,15.63,651316
2013-08-29,15.6,16.01,16.01,571110
2013-08-30,15.97,16.35,16.3,421981
2013-09-02,16.3,16.3,16.3,0
2013-09-03,16.3,16.36,16.14,268291
2013-09-04,16.15,16.225,16.21,228359
2013-09-05,16.15,16.2,16.01,1042886
2013-09-06,15.98,16.1299,15.8,285973
2013-09-09,15.75,15.81,15.56,491999
2013-09-10,15.62,15.65,15.44,907334
2013-09-11,15.39,15.5,15.43,669497
2013-09-12,15.45,15.49,15.41,691608
2013-09-13,15.48,15.92,15.87,1190932
2013-09-16,15.94,16.34,16.25,1173226
2013-09-17,16.25,16.4767,15.64,4292946
2013-09-18,15.21,15.59,15.56,2002920
2013-09-19,15.56,15.81,15.74,2296557
2013-09-20,15.68,15.85,15.85,970323
2013-09-23,15.75,15.95,15.73,1582159
2013-09-24,15.64,15.75,15.64,2822554
2013-09-25,15.65,15.77,15.51,267211
2013-09-26,15.44,15.85,15.62,463020
2013-09-27,15.55,15.99,15.98,865266
2013-09-30,15.89,16.45,16.21,4901042
2013-10-01,16.3,16.38,16.03,1016480
2013-10-02,16.51,16.51,16.06,963813
2013-10-03,16.2,16.2,16.02,1609802
2013-10-04,16.1,16.12,16.0,604888
2013-10-07,16.01,16.05,16.0,1069864
2013-10-08,15.91,16.05,15.92,1009368
2013-10-09,15.65,15.83,15.8,479325
2013-10-10,15.89,16.15,15.99,835421
2013-10-11,16.03,16.45,16.36,2727067
2013-10-14,16.31,16.52,16.3,543247
2013-10-15,16.17,16.39,16.0,1126880
2013-10-16,16.0,16.27,16.16,829657
2013-10-17,16.14,16.2,16.15,326421
2013-10-18,16.29,16.41,16.29,593049
2013-10-21,16.32,16.5,16.31,520495
2013-10-22,16.29,16.53,16.09,644412
2013-10-23,16.11,16.26,16.11,320110
2013-10-24,16.07,16.2401,15.96,735737
2013-10-25,15.9,16.0,15.95,892568
2013-10-28,15.9,16.0,15.85,1631092
2013-10-29,15.84,15.96,15.72,646368
2013-10-30,15.8,15.92,15.75,776428
