Date,Open,High,Low,Close,Volume
2018-02-02,1.36,1.39,1.36,1.37,43749
2018-02-01,1.39,1.39,1.36,1.37,32347
2018-01-31,1.38,1.4,1.36,1.39,39350
2018-01-30,1.39,1.41,1.37,1.38,65092
2018-01-29,1.36,1.41,1.35,1.4,112874
2018-01-26,1.35,1.38,1.33,1.37,42734
2018-01-25,1.37,1.37,1.31,1.35,140915
2018-01-24,1.41,1.41,1.37,1.37,87454
2018-01-23,1.4,1.44,1.39,1.39,113277
2018-01-22,1.42,1.47,1.38,1.39,159689
2018-01-19,1.4,1.46,1.39,1.42,262205
2018-01-18,1.32,1.44,1.31,1.4,455759
2018-01-17,1.3,1.34,1.29,1.31,342643
2018-01-16,1.33,1.35,1.28,1.29,563295
2018-01-15,1.35,1.38,1.32,1.32,1133343
2018-01-12,1.55,1.57,1.28,1.35,1101710
2018-01-11,1.56,1.57,1.53,1.54,68211
2018-01-10,1.57,1.59,1.51,1.53,76914
2018-01-09,1.64,1.64,1.58,1.58,105893
2018-01-08,1.62,1.65,1.6,1.61,56151
2018-01-05,1.58,1.68,1.58,1.6,343391
2018-01-04,1.57,1.63,1.57,1.59,188088
2018-01-03,1.52,1.61,1.52,1.56,155155
2017-12-29,1.59,1.59,1.49,1.52,288554
2017-12-28,1.37,1.61,1.37,1.55,585561
2017-12-27,1.37,1.38,1.33,1.35,782161
2017-12-22,1.34,1.39,1.34,1.37,385121
2017-12-21,1.37,1.38,1.32,1.34,763292
2017-12-20,1.39,1.4,1.34,1.37,759863
2017-12-19,1.39,1.41,1.38,1.39,231807
2017-12-18,1.4,1.45,1.38,1.39,295026
2017-12-15,1.4,1.43,1.38,1.41,138161
2017-12-14,1.45,1.47,1.4,1.4,152451
2017-12-13,1.42,1.45,1.4,1.43,166542
2017-12-12,1.46,1.53,1.4,1.43,667418
2017-12-11,1.39,1.46,1.39,1.43,300435
2017-12-08,1.37,1.48,1.35,1.38,316620
2017-12-07,1.4,1.41,1.34,1.37,639691
2017-12-06,1.44,1.44,1.34,1.41,516821
2017-12-05,1.46,1.51,1.44,1.44,317776
2017-12-04,1.45,1.5,1.44,1.47,135711
2017-12-01,1.44,1.44,1.4,1.42,55478
2017-11-30,1.42,1.45,1.41,1.42,100882
2017-11-29,1.5,1.51,1.4,1.41,718713
2017-11-28,1.58,1.6,1.43,1.51,1247288
2017-11-27,1.63,1.67,1.58,1.58,145744
2017-11-24,1.6,1.65,1.53,1.63,464257
2017-11-23,1.66,1.71,1.6,1.6,469048
2017-11-22,1.72,1.72,1.64,1.7,271455
2017-11-21,1.73,1.77,1.71,1.73,122843
2017-11-20,1.72,1.74,1.68,1.73,95289
2017-11-17,1.78,1.83,1.61,1.73,539004
2017-11-16,1.67,1.76,1.53,1.76,326658
2017-11-15,1.67,1.74,1.64,1.66,223777
2017-11-14,1.73,1.73,1.67,1.71,35053
2017-11-13,1.77,1.82,1.66,1.74,251387
2017-11-10,1.71,1.77,1.69,1.77,105871
2017-11-09,1.73,1.77,1.67,1.71,73296
2017-11-08,1.68,1.75,1.6,1.75,387464
2017-11-07,1.74,1.87,1.64,1.69,1408513
2017-11-06,1.66,1.75,1.65,1.71,290509
2017-11-03,1.63,1.68,1.63,1.67,156123
2017-11-02,1.65,1.69,1.6,1.6,338857
