Date,Open,High,Close,Volume
2000-01-03,5.23,5.3229999999999995,5.1563,3039600
2000-01-04,5.125,5.125,5.0,2310600
2000-01-05,5.0317,5.1458,5.1042,3399000
2000-01-06,5.105,5.5729999999999995,5.3333,5304600
2000-01-07,5.3333,5.3438,5.3333,3403200
2000-01-10,5.3133,5.3438,5.3333,2851800
2000-01-11,5.3333,5.4479999999999995,5.3333,3345600
2000-01-12,5.3333,5.4063,5.3542,3196200
2000-01-13,5.3333,5.5105,5.4272,3115200
2000-01-14,5.355,5.4375,5.375,2815200
2000-01-17,5.355,5.4375,5.375,0
2000-01-18,5.3333,5.3855,5.2917,2487600
2000-01-19,5.2917,5.3333,5.2917,11016000
2000-01-20,5.24,5.2708,5.0522,5173200
2000-01-21,5.2708,5.2708,5.1147,3034200
2000-01-24,5.2183,5.2188,5.0938,2826000
2000-01-25,5.0933,5.2188,5.0105,5509200
2000-01-26,5.105,5.125,4.9897,14192400
2000-01-27,4.99,5.1042,5.0625,4808400
2000-01-28,5.0,5.0,4.8542,5104200
2000-01-31,4.8967,4.948,4.875,3268200
2000-02-01,4.875,4.8855,4.823,1580400
2000-02-02,4.823,4.823,4.7083,2608200
2000-02-03,4.73,4.7605,4.6458,2348400
2000-02-04,4.6883,4.7292,4.6147,8008800
2000-02-07,4.615,4.6458,4.3542,3981000
2000-02-08,4.25,4.3333,4.125,11040000
2000-02-09,4.24,4.3022,4.1667,9315000
2000-02-10,3.9583,4.0313,3.8333,10611600
2000-02-11,3.8333,3.8438,3.6042,6285000
2000-02-14,3.5833,3.7188,3.6458,17692800
2000-02-15,3.7083,3.7708,3.6667,5235000
2000-02-16,3.6883,3.7605,3.6563,6755400
2000-02-17,3.6667,3.7917,3.75,6585600
2000-02-18,3.7292,3.7292,3.6355,4262400
2000-02-21,3.7292,3.7292,3.6355,0
2000-02-22,3.5938,3.7917,3.7397,4395600
2000-02-23,3.6667,3.6667,3.5625,5307000
2000-02-24,3.5517,3.6147,3.6147,7553400
2000-02-25,3.5833,3.6147,3.5417,6822600
2000-02-28,3.5417,3.698,3.625,4640400
2000-02-29,3.625,3.7605,3.698,10687800
2000-03-01,3.6983,3.8125,3.75,5541600
2000-03-02,3.75,3.7708,3.6667,4014599
2000-03-03,3.7083,3.9063,3.8125,3727800
