Date,Open,High,Close,Volume
2000-01-03,35.333,35.333,34.833,702750
2000-01-04,34.68,35.125,33.417,875250
2000-01-05,33.6,34.417,33.792,1037700
2000-01-06,33.39,34.667,33.979,1216800
2000-01-07,33.98,36.083,35.687,1029900
2000-01-10,36.02,37.0,36.5,934200
2000-01-11,36.125,36.125,34.375,1237950
2000-01-12,34.18,34.25,33.417,1554300
2000-01-13,33.35,36.25,36.209,953250
2000-01-14,36.35,37.083,36.375,1023600
2000-01-17,36.35,37.083,36.375,0
2000-01-18,35.89,37.083,36.875,931050
2000-01-19,34.667,37.0,34.875,691498
2000-01-20,34.98,35.083,34.167,1232400
2000-01-21,33.85,34.0,32.833,1536300
2000-01-24,32.81,33.167,32.709,1067100
2000-01-25,31.5,32.4583,31.5,2316148
2000-01-26,31.52,32.417,31.791999999999998,995100
2000-01-27,31.85,32.5,31.709,793200
2000-01-28,31.31,32.0,29.916999999999998,2060099
2000-01-31,30.27,31.416999999999998,31.229,1420050
2000-02-01,31.41,31.583000000000002,31.0,757350
2000-02-02,31.22,32.042,32.0,1240950
2000-02-03,31.85,33.042,32.459,1006350
2000-02-04,32.35,33.5,32.917,807600
2000-02-07,32.94,33.083,30.25,1191000
2000-02-08,31.1,31.166999999999998,29.083000000000002,2581350
2000-02-09,29.01,29.041999999999998,28.375,4528800
2000-02-10,28.083000000000002,28.083000000000002,26.833000000000002,3092400
2000-02-11,26.89,26.916999999999998,25.875,2822850
2000-02-14,26.14,27.166999999999998,26.563000000000002,2050350
2000-02-15,26.01,27.5,27.166999999999998,1731900
2000-02-16,26.93,27.0,26.291999999999998,874200
2000-02-17,26.68,27.125,27.041999999999998,898500
2000-02-18,27.35,27.375,24.916999999999998,1857300
2000-02-21,27.35,27.375,24.916999999999998,0
2000-02-22,24.55,24.625,24.291999999999998,3278250
2000-02-23,24.27,25.0,24.25,1589550
2000-02-24,24.6,25.5,25.459,1579050
2000-02-25,25.43,27.25,25.583000000000002,1473450
2000-02-28,25.01,26.541999999999998,25.791999999999998,1348950
2000-02-29,25.81,26.916999999999998,26.625,1001400
2000-03-01,26.77,27.625,27.166999999999998,1091100
2000-03-02,26.93,28.0,27.041999999999998,842400
2000-03-03,27.0833,28.5,27.5,1120648
2000-03-06,27.29,27.416999999999998,27.041999999999998,991050
2000-03-07,27.01,27.208000000000002,26.666999999999998,1314600
2000-03-08,27.0,27.0,26.688000000000002,1237300
2000-03-09,26.6562,28.1094,27.375,1302400
2000-03-10,27.0,28.625,27.688000000000002,1278100
2000-03-13,26.75,27.75,26.875,1090200
