Date,Open,High,Close,Volume
2000-01-03,2.2975,2.3125,2.0,4051199
2000-01-04,1.875,2.0443,1.875,2822352
2000-01-05,1.8675,2.0392,2.0392,2836800
2000-01-06,2.03,2.0418,1.935,1147200
2000-01-07,1.92,1.9585,1.9585,1324800
2000-01-10,2.2269,2.2269,1.9987,2630352
2000-01-11,2.0,2.099,1.9752,1968000
2000-01-12,1.9675,1.9768,1.8908,691200
2000-01-13,1.9025,1.9585,1.9585,907200
2000-01-14,2.0425,2.0718,1.901,1396800
2000-01-17,2.0425,2.0718,1.901,0
2000-01-18,1.885,1.9168,1.6955,2294400
2000-01-19,1.695,1.8908,1.8308,1411200
2000-01-20,1.875,1.9585,1.7695,2294400
2000-01-21,1.7475,1.784,1.7085,2030400
2000-01-24,1.6825,1.875,1.8282,2832000
2000-01-25,1.8319999999999999,1.875,1.8698,743952
2000-01-26,1.875,2.1198,1.896,2577600
2000-01-27,1.935,2.026,1.896,912000
2000-01-28,1.9675,1.9688,1.8672,297600
2000-01-31,1.9375,1.9375,1.5833,5366352
2000-02-01,1.6525,1.875,1.8335,3057600
2000-02-02,1.8333,1.9583,1.9167,1223952
2000-02-03,1.925,1.9792,1.9428,1987200
2000-02-04,2.0365,2.0365,2.0158,1099200
2000-02-07,2.013,2.271,2.263,5011200
2000-02-08,2.4625,2.6798,2.5755,10214400
2000-02-09,2.625,2.625,2.5482,3787200
2000-02-10,2.52,2.5872,2.5782,2452800
2000-02-11,2.58,2.7447,2.7085,9974400
2000-02-14,2.8075,2.81,2.6903,5020800
2000-02-15,2.7292,2.7292,2.659,1272000
2000-02-16,2.64,2.6668,2.5835,1708800
2000-02-17,2.605,2.6562,2.56,5707200
2000-02-18,2.56,2.56,2.4090000000000003,2476800
2000-02-21,2.56,2.56,2.4090000000000003,0
2000-02-22,2.405,2.4403,2.3972,2496000
2000-02-23,2.395,2.4038,2.3737,2913600
2000-02-24,2.375,2.3908,2.271,2630400
2000-02-25,2.2925,2.392,2.3542,2505600
2000-02-28,2.3725,2.4078,2.2487,2054399
2000-02-29,2.31,2.3177,2.2735,1440000
2000-03-01,2.2918,2.2918,2.2552,1761600
2000-03-02,2.3425,2.5418,2.4662,9590400
2000-03-03,2.5417,2.5833,2.5221,5625552
2000-03-06,2.5925,2.6875,2.6276,5174352
2000-03-07,2.6675,2.7162,2.5522,1708800
2000-03-08,2.5925,2.5938,2.5555,1910400
2000-03-09,2.52,2.7918,2.7345,2016000
2000-03-10,2.5208,2.7917,2.5599,2116752
2000-03-13,2.487,2.7162,2.5599,1814352
2000-03-14,2.6458,2.6458,2.3958,2668752
2000-03-15,2.6458,2.6458,2.1016,5476752
2000-03-16,2.0586,2.0586,2.0313,5375952
2000-03-17,2.0425,2.396,2.3438,3758400
