Date,Open,High,Close,Volume
2000-01-03,49.0746,51.9613,51.0157,5682483
2000-01-04,50.1695,50.6673,48.5028,3463838
2000-01-05,46.9842,48.1787,45.715,6364602
2000-01-06,45.8892,46.7353,41.808,5616431
2000-01-07,41.808,44.6947,44.4956,6919389
2000-01-10,45.93899999999999,50.7668,49.423,3664004
2000-01-11,48.33,49.6718,45.7897,4441308
2000-01-12,45.7897,48.3778,46.3807,4731133
2000-01-13,49.3971,50.4188,48.4773,5084750
2000-01-14,50.074,55.6197,53.9776,11578694
2000-01-17,50.074,55.6197,53.9776,0
2000-01-18,54.0079,62.6626,60.7466,8204013
2000-01-19,61.1192,63.9566,61.7165,9063945
2000-01-20,62.3138,65.5987,58.4316,7442280
2000-01-21,58.4316,60.8704,58.9293,5216352
2000-01-24,61.5174,61.5174,55.595,5624217
2000-01-25,55.6071,57.7348,57.7348,4296144
2000-01-26,55.7997,56.9886,55.5703,4275299
2000-01-27,55.9988,57.8845,55.0471,3725786
2000-01-28,54.5016,55.7192,53.7037,3661492
2000-01-31,52.9567,54.6991,54.648999999999994,4845908
2000-02-01,54.8043,56.69,56.69,3391759
2000-02-02,56.7394,59.1284,56.9384,4404640
2000-02-03,57.8144,61.1192,60.1987,6249074
2000-02-04,61.3183,63.6078,61.1447,5264823
2000-02-07,62.3138,63.5083,63.3594,2971336
2000-02-08,64.4081,67.9877,67.5895,5867328
2000-02-09,68.7641,72.4177,69.7675,5549877
2000-02-10,71.17699999999999,72.8653,72.1565,3966135
2000-02-11,72.1725,72.6917,70.016,3891795
2000-02-14,70.97800000000001,71.0735,69.3813,3938258
2000-02-15,69.1862,69.531,68.0872,3094650
2000-02-16,67.4024,71.6708,66.9429,2815624
2000-02-17,67.5935,70.4763,70.1776,4217158
2000-02-18,70.1527,71.5712,69.8292,3151786
2000-02-21,70.1527,71.5712,69.8292,0
2000-02-22,68.8836,71.9694,69.3813,3039397
2000-02-23,68.2863,75.1548,71.1237,3874968
2000-02-24,71.6708,77.9917,76.7972,4222181
2000-02-25,76.9465,84.5989,79.684,5243476
2000-02-28,79.236,83.4044,80.7789,4613972
2000-02-29,83.4646,86.7017,83.9647,3387112
2000-03-01,84.4122,84.91,82.8196,2637811
2000-03-02,82.37200000000001,82.37200000000001,77.4443,3213946
2000-03-03,78.7383,85.6068,84.6113,6151377
2000-03-06,85.8058,95.3619,94.4167,5619822
2000-03-07,94.3914,97.4026,89.7876,5376836
2000-03-08,90.0116,92.525,85.7561,4549678
2000-03-09,86.5066,88.9912,86.4533,3397284
2000-03-10,86.7057,87.9958,85.6068,3762705
2000-03-13,82.0232,84.3629,81.9738,3547973
2000-03-14,81.9486,86.4031,78.4397,3878233
2000-03-15,80.5341,80.5802,70.1776,8271572
2000-03-16,70.3767,78.5392,78.0415,8800742
2000-03-17,77.5478,82.4214,78.3401,4147715
2000-03-20,78.6388,82.8196,75.6525,4645868
2000-03-21,75.4534,77.5438,76.7475,6818302
2000-03-22,76.0507,76.847,73.5621,3963749
2000-03-23,73.363,76.2497,71.6708,4602671
2000-03-24,73.5661,82.0232,78.0415,5140003
2000-03-27,78.9892,84.91,80.5301,3149400
2000-03-28,80.8287,82.0232,75.2543,3063382
2000-03-29,78.1411,78.1411,68.3859,6714578
2000-03-30,68.4107,68.4356,57.3242,25228233
2000-03-31,59.427,61.0695,52.9692,13913621
2000-04-03,52.7328,58.7302,52.8572,13086840
2000-04-04,52.9816,54.9476,51.9489,12730084
2000-04-05,51.7622,56.2914,54.1513,7879278
2000-04-06,57.1375,60.1238,56.4909,6783141
2000-04-07,59.1284,62.1147,61.816,4334946
2000-04-10,63.7074,68.2863,65.3,10240701
2000-04-11,65.6982,67.2909,63.5083,7340691
2000-04-12,63.7074,63.8069,54.7485,5472021
2000-04-13,56.8429,57.038000000000004,47.5814,7897863
2000-04-14,46.9842,46.9842,42.8407,9493535
2000-04-17,41.4098,50.1695,49.7714,8867296
2000-04-18,47.8801,53.2056,52.5586,5172652
2000-04-19,54.1513,55.9928,54.5494,5632505
2000-04-20,42.2061,49.4727,42.2061,20642891
2000-04-21,42.2061,49.4727,42.2061,0
2000-04-24,36.8806,40.5637,36.8806,7330770
2000-04-25,39.8171,46.1878,45.9394,8108577
2000-04-26,46.586000000000006,46.586000000000006,44.2965,7854540
2000-04-27,41.6089,45.7399,44.5951,6904571
2000-04-28,46.4347,48.975,48.626999999999995,6323288
2000-05-01,50.9181,51.6627,44.5951,8932595
2000-05-02,44.3961,44.6453,38.7221,16369475
2000-05-03,38.747,38.7719,36.4326,16327534
2000-05-04,36.7353,37.9258,36.2336,8545449
2000-05-05,36.2336,37.3285,34.5413,7844620
2000-05-08,33.9481,36.134,34.9897,7533196
2000-05-09,35.4372,35.4372,32.7002,9661051
2000-05-10,32.6749,36.0345,34.0436,10495240
2000-05-11,34.6409,39.2198,37.4281,12629374
2000-05-12,39.5702,42.3057,41.9075,14228561
2000-05-15,41.6089,43.2015,43.0025,5483699
2000-05-16,42.0568,43.7988,42.3057,6537769
2000-05-17,42.007,44.8938,43.1393,6858862
2000-05-18,43.1269,44.3961,40.066,3735079
2000-05-19,40.265,40.265,38.2742,3275477
2000-05-22,38.3757,38.6226,36.134,5389895
2000-05-23,36.6317,39.4189,35.9851,5202287
2000-05-24,36.5362,39.5185,39.3696,5796253
2000-05-25,39.4906,39.5933,35.4874,10077831
2000-05-26,35.8354,37.6272,37.1294,4479482
2000-05-29,35.8354,37.6272,37.1294,0
2000-05-30,38.4235,41.5093,41.1613,5098814
2000-05-31,40.7647,42.6043,41.9075,5802783
2000-06-01,42.007,43.748999999999995,42.4052,3774258
2000-06-02,42.8034,47.7805,46.5362,6104287
2000-06-05,44.7445,49.2737,48.328,6263389
2000-06-06,48.4017,50.1695,43.9979,4835108
2000-06-07,44.3483,47.681000000000004,47.5321,3023952
2000-06-08,46.3869,46.4371,41.0618,19976218
2000-06-09,40.8125,41.0116,32.7997,63106560
2000-06-12,17.7684,22.4469,17.7684,118716964
2000-06-13,18.0212,20.4564,19.8592,65358231
