Date,Open,High,Close,Volume
2007-08-03,11.61,13.39,12.9,6608700
2007-08-06,13.0,13.23,12.7,796500
2007-08-07,12.64,12.9,12.6,450100
2007-08-08,12.65,13.0,12.88,225500
2007-08-09,12.45,13.1,12.94,131900
2007-08-10,12.72,13.2,12.81,231800
2007-08-13,12.91,13.206,13.07,240400
2007-08-14,13.45,13.49,13.01,45600
2007-08-15,12.99,13.1,12.88,183200
2007-08-16,12.6,12.732000000000001,12.7,78900
2007-08-17,12.49,13.0,13.0,297300
2007-08-20,12.89,12.89,12.75,88600
2007-08-21,12.7,13.0,12.9,280800
2007-08-22,12.99,12.99,12.63,158900
2007-08-23,12.51,12.99,12.9,351400
2007-08-24,12.83,13.0,12.99,40200
2007-08-27,12.99,13.1,13.1,104900
2007-08-28,13.16,13.2,12.76,17800
2007-08-29,12.76,13.2,12.77,47400
2007-08-30,12.61,12.85,12.54,38100
2007-08-31,12.69,12.82,12.69,22600
2007-09-03,12.69,12.82,12.69,0
2007-09-04,12.68,13.8,13.75,154200
2007-09-05,13.77,15.0,14.55,451200
2007-09-06,14.53,14.78,14.5,73600
2007-09-07,14.5,14.7,14.5,93800
2007-09-10,14.53,15.29,14.83,358900
2007-09-11,14.84,15.95,15.2,126599
2007-09-12,15.29,15.5,15.22,216000
2007-09-13,15.34,15.56,15.55,459700
2007-09-14,15.55,16.0,15.89,210200
2007-09-17,15.84,15.9,15.7,517599
2007-09-18,15.59,15.91,15.4,391600
2007-09-19,15.3,15.7,15.7,72100
2007-09-20,15.74,15.91,15.85,44200
2007-09-21,15.94,16.32,16.13,489600
2007-09-24,16.23,16.44,16.17,214700
2007-09-25,16.14,16.14,15.65,67900
2007-09-26,16.0,16.39,16.1,301100
2007-09-27,16.17,16.38,15.42,203200
2007-09-28,15.3,15.5,14.81,1450900
2007-10-01,14.79,16.21,15.8,298900
2007-10-02,15.71,16.34,16.03,130600
2007-10-03,16.0,16.55,16.42,220100
2007-10-04,16.51,17.24,16.95,210800
2007-10-05,17.15,17.31,17.25,154600
2007-10-08,17.24,17.43,16.7,160600
2007-10-09,16.8,17.18,17.07,156500
2007-10-10,17.0,17.55,17.54,366300
2007-10-11,17.55,18.69,18.6,713200
2007-10-12,18.65,18.83,18.46,216600
2007-10-15,18.46,18.5,18.03,100000
2007-10-16,18.2,18.94,18.82,409000
2007-10-17,19.01,19.37,18.86,1175200
2007-10-18,19.06,19.74,19.73,117000
2007-10-19,19.68,20.07,19.65,242800
2007-10-22,19.58,20.5,19.56,165300
2007-10-23,19.75,20.0,19.95,374600
2007-10-24,20.0,20.18,20.16,103600
2007-10-25,19.51,19.98,19.74,242200
2007-10-26,20.03,21.75,21.37,149100
2007-10-29,21.8,22.3,21.99,196600
2007-10-30,21.65,22.17,20.46,146900
2007-10-31,20.8,20.8,19.49,201500
2007-11-01,19.45,20.08,19.92,196200
2007-11-02,19.98,20.0,19.94,120300
2007-11-05,19.97,20.22,19.78,274410
2007-11-06,19.78,19.78,19.4,91500
2007-11-07,19.25,19.99,19.01,246700
2007-11-08,19.1,19.1,18.89,140800
2007-11-09,18.82,18.82,18.56,155200
2007-11-12,18.43,18.47,18.12,163100
2007-11-13,18.13,18.4,18.4,122000
2007-11-14,18.9,18.95,17.6,239300
2007-11-15,17.56,18.56,18.5,280200
2007-11-16,18.38,18.92,18.54,190600
2007-11-19,18.36,18.78,18.07,61600
2007-11-20,18.01,19.68,19.65,198200
2007-11-21,19.69,21.3,20.57,293200
2007-11-22,19.69,21.3,20.57,0
2007-11-23,20.53,21.8692,21.24,121870
2007-11-26,21.53,21.53,19.93,152500
2007-11-27,20.23,21.45,19.09,258900
2007-11-28,18.52,19.27,18.76,293046
2007-11-29,19.15,19.17,18.79,53700
2007-11-30,19.19,19.19,18.86,99400
2007-12-03,19.1,19.1,18.55,72100
2007-12-04,18.62,18.62,18.13,85753
2007-12-05,18.6,18.6,17.79,277800
2007-12-06,17.61,19.29,19.27,345909
2007-12-07,18.6,18.6,17.41,212000
2007-12-10,17.55,17.63,17.61,247900
2007-12-11,17.6,18.22,17.88,235900
2007-12-12,18.28,18.6,18.54,272800
2007-12-13,18.24,18.42,18.19,348500
2007-12-14,18.05,19.27,19.0,3688100
2007-12-17,18.81,19.4799,18.98,725400
2007-12-18,19.1,20.46,20.34,370500
2007-12-19,20.38,20.57,20.08,264300
2007-12-20,20.25,20.65,20.41,208300
2007-12-21,20.75,20.86,20.58,844800
2007-12-24,20.48,20.86,20.84,243900
2007-12-25,20.48,20.86,20.84,0
2007-12-26,20.7,21.5,21.25,240570
2007-12-27,21.04,21.58,20.75,158100
2007-12-28,21.05,21.28,20.55,132600
2007-12-31,20.38,20.61,20.61,167000
2008-01-01,20.38,20.61,20.61,0
2008-01-02,20.66,21.74,21.57,363946
2008-01-03,21.72,22.25,22.08,434350
2008-01-04,22.0,22.22,21.06,484400
2008-01-07,21.34,21.74,21.19,282500
2008-01-08,21.27,22.11,22.1,419000
