Date,Open,High,Close,Volume
2000-01-03,19.5,19.5,19.0625,2073400
2000-01-04,19.065,19.5625,19.5315,3330800
2000-01-05,19.75,20.344,20.0625,6406600
2000-01-06,20.315,20.5625,20.2815,4833600
2000-01-07,20.25,20.469,20.2815,3335200
2000-01-10,20.5,20.5,20.2815,2612400
2000-01-11,20.25,20.469,20.344,2376600
2000-01-12,20.345,20.8125,20.5,3530000
2000-01-13,20.5,20.8125,20.75,4400000
2000-01-14,20.845,20.875,20.8125,3940800
2000-01-17,20.845,20.875,20.8125,0
2000-01-18,20.815,20.875,20.7815,2310800
2000-01-19,20.97,21.25,21.125,3779800
2000-01-20,21.125,21.25,21.219,3099800
2000-01-21,21.22,21.3125,21.1565,4584200
2000-01-24,21.28,21.5625,21.219,790000
2000-01-25,21.22,21.3125,21.0,1290000
2000-01-26,21.315,21.344,21.344,1105600
2000-01-27,21.344,21.344,21.2815,903000
2000-01-28,20.375,20.75,20.3125,5532800
2000-01-31,20.44,20.875,20.875,3457000
2000-02-01,20.875,20.875,20.5315,2273200
2000-02-02,20.565,20.75,20.6875,1335600
2000-02-03,21.125,21.219,20.969,6594800
2000-02-04,21.03,21.125,20.594,3685800
2000-02-07,20.69,20.75,20.4375,2388200
2000-02-08,20.375,20.6565,20.4065,2985000
2000-02-09,20.44,20.469,20.344,2141000
2000-02-10,20.6875,20.6875,20.4065,1794200
2000-02-11,20.28,20.375,20.219,1465000
2000-02-14,20.125,20.469,20.1565,1567600
2000-02-15,20.28,20.375,20.3125,2450400
2000-02-16,20.375,20.4065,20.344,2011800
2000-02-17,20.345,20.469,20.4065,1638400
2000-02-18,20.375,20.469,20.344,2243000
2000-02-21,20.375,20.469,20.344,0
2000-02-22,20.315,20.344,20.3125,1809600
2000-02-23,20.155,20.2815,19.5,2969600
2000-02-24,19.625,19.625,19.3125,1958400
2000-02-25,19.3125,19.3125,18.5625,1703600
2000-02-28,18.25,18.6875,18.5,4631800
2000-02-29,18.53,18.594,18.344,1404600
2000-03-01,18.344,18.344,18.0315,2080000
2000-03-02,18.03,18.6875,18.3125,2131400
2000-03-03,18.5,18.625,18.375,1428600
2000-03-06,18.375,18.4065,18.1565,1552600
2000-03-07,18.1565,18.5315,18.219,1737200
2000-03-08,18.095,18.4065,18.375,2139200
2000-03-09,18.345,18.5315,18.344,1782400
2000-03-10,18.344,18.344,18.1565,1531000
2000-03-13,18.0,18.0625,17.9375,715800
2000-03-14,17.845,17.875,17.5625,1407400
2000-03-15,17.565,18.625,18.375,1785400
2000-03-16,18.5,19.6565,19.375,1835200
2000-03-17,19.655,19.6565,18.6565,2616600
2000-03-20,18.78,19.0625,18.9065,1670200
2000-03-21,18.97,19.0,18.9065,1289800
2000-03-22,18.815,18.9375,18.9065,1347600
2000-03-23,18.69,19.1875,19.094,1097000
2000-03-24,19.094,19.094,18.7815,1875600
2000-03-27,18.7188,19.1875,18.75,822600
2000-03-28,18.72,18.844,18.4375,1133600
2000-03-29,18.375,18.9065,18.5,1341200
2000-03-30,18.595,19.125,19.0625,1608800
2000-03-31,19.125,19.8125,19.219,1552800
2000-04-03,19.25,19.344,19.2815,1369600
2000-04-04,19.375,20.125,19.844,1507800
2000-04-05,19.875,20.75,20.0,1299000
2000-04-06,19.94,19.969,19.6875,1583400
2000-04-07,19.565,19.719,19.344,810800
2000-04-10,19.47,20.25,20.125,1096600
2000-04-11,20.095,20.8125,20.5,1076200
2000-04-12,20.565,21.7815,21.219,1430000
2000-04-13,21.22,22.5,22.344,2452600
2000-04-14,22.75,22.7815,21.719,2767600
2000-04-17,21.655,22.344,21.7815,2772000
2000-04-18,21.75,22.219,21.4375,1218800
2000-04-19,21.345,21.4065,21.219,1452200
2000-04-20,21.155,21.5625,21.469,2193800
2000-04-21,21.155,21.5625,21.469,0
2000-04-24,21.5,22.375,22.1565,1211600
2000-04-25,22.44,22.969,22.9065,1870200
2000-04-26,22.78,23.469,23.25,2016600
2000-04-27,23.125,23.1875,22.75,1287800
2000-04-28,22.565,22.6565,22.5,1091800
2000-05-01,22.375,22.5315,22.1875,1552000
2000-05-02,22.065,22.375,21.594,1223800
2000-05-03,21.655,21.8125,21.719,1012400
2000-05-04,21.75,22.5,22.25,1393400
2000-05-05,22.219,22.219,21.7815,809600
2000-05-08,21.845,22.969,21.9375,1154800
2000-05-09,21.94,22.0625,21.969,704400
2000-05-10,22.095,23.094,22.969,2292400
2000-05-11,22.97,23.5315,23.344,1470000
2000-05-12,23.28,23.3125,22.75,1204600
2000-05-15,22.75,23.375,23.0,798000
2000-05-16,22.97,23.125,22.9375,1002200
2000-05-17,22.8125,22.8125,22.094,921000
2000-05-18,22.1565,22.969,22.719,1387800
2000-05-19,22.72,23.2815,23.094,990800
2000-05-22,23.155,23.75,23.4375,981000
2000-05-23,23.44,23.469,22.75,1347600
2000-05-24,22.53,23.0625,22.719,2055400
2000-05-25,22.75,22.75,22.5315,1030200
2000-05-26,22.5315,23.1875,23.0315,733600
2000-05-29,22.5315,23.1875,23.0315,0
2000-05-30,23.375,23.375,22.594,1097200
2000-05-31,22.78,23.094,22.875,663800
2000-06-01,22.78,22.969,22.9065,1142800
2000-06-02,22.78,22.7815,22.5,1296600
2000-06-05,22.375,22.4065,21.9375,995600
2000-06-06,21.875,22.4065,22.125,1596000
2000-06-07,22.125,22.1875,21.875,773000
2000-06-08,21.78,21.9375,21.9375,1641000
2000-06-09,22.125,22.5,22.3125,2190200
2000-06-12,22.345,22.7815,22.4375,781600
2000-06-13,22.5,22.6875,22.4375,1047199
2000-06-14,22.25,22.3125,22.125,1026799
2000-06-15,22.1565,22.594,22.3125,1794600
2000-06-16,22.315,22.594,22.2815,1529800
2000-06-19,22.22,22.4065,21.7815,1617200
2000-06-20,22.065,22.469,22.219,2536200
2000-06-21,22.75,22.75,22.219,3044000
2000-06-22,22.125,22.25,22.1565,1696600
2000-06-23,22.065,22.469,22.1565,1023600
2000-06-26,22.0,22.375,22.219,1087200
2000-06-27,22.19,22.219,21.844,1776800
2000-06-28,21.565,22.1565,22.0315,3512800
2000-06-29,22.03,22.125,21.969,1542600
2000-06-30,21.78,22.75,21.4375,2017999
2000-07-03,21.44,22.219,21.8125,517800
2000-07-04,21.44,22.219,21.8125,0
2000-07-05,21.875,22.219,21.5,1454600
2000-07-06,21.565,22.094,22.094,856200
2000-07-07,22.095,22.5625,22.5625,1410400
2000-07-10,22.5,22.9375,22.875,1362600
2000-07-11,22.875,23.094,23.094,1319400
2000-07-12,23.095,23.125,23.0625,1368000
2000-07-13,22.81,23.4375,23.375,1463400
2000-07-14,23.375,23.844,23.5315,1938000
2000-07-17,23.405,23.7815,23.5625,790200
2000-07-18,23.595,23.9065,23.719,1082600
2000-07-19,23.75,24.1565,24.0315,1693000
2000-07-20,23.94,24.094,23.9375,1478600
2000-07-21,23.97,24.0315,23.8125,710800
2000-07-24,23.69,23.844,23.5625,648800
2000-07-25,23.625,23.9375,23.844,1706600
2000-07-26,23.81,23.8125,23.5155,1039199
2000-07-27,23.5,24.0,23.5,1706000
2000-07-28,23.47,23.594,23.094,1360600
2000-07-31,23.19,23.4375,22.719,1159800
2000-08-01,22.78,23.5,23.4065,1123000
2000-08-02,23.4062,24.0312,24.0,1029800
2000-08-03,24.22,24.6875,24.4065,1359600
2000-08-04,24.44,24.875,24.8125,1781200
2000-08-07,24.69,25.375,25.3125,1255000
2000-08-08,25.25,25.4375,25.4375,1922000
2000-08-09,25.125,25.4065,25.2345,1306000
2000-08-10,24.815,25.1875,25.0315,846000
2000-08-11,25.19,25.625,25.4375,1102600
2000-08-14,25.405,26.094,25.9375,1544400
2000-08-15,25.7815,26.469,26.0625,1823200
2000-08-16,25.815,26.25,25.875,775200
2000-08-17,25.75,26.25,26.219,1755000
2000-08-18,26.095,26.219,25.9065,1068600
2000-08-21,25.875,25.9375,25.7815,1107200
2000-08-22,25.78,26.0315,25.969,846400
2000-08-23,25.75,26.219,26.1875,2975200
2000-08-24,26.065,26.2815,25.844,993600
2000-08-25,25.845,25.969,25.25,1131600
2000-08-28,25.25,25.6565,25.4375,1036400
2000-08-29,25.405,25.6565,25.344,553800
2000-08-30,25.875,25.875,25.6875,1077200
2000-08-31,26.969,26.969,26.4375,3107000
2000-09-01,26.5,26.7815,26.5155,918400
2000-09-04,26.5,26.7815,26.5155,0
2000-09-05,26.25,27.094,26.969,749800
2000-09-06,26.97,27.344,27.3125,1525800
2000-09-07,27.345,27.844,27.719,1116000
2000-09-08,27.75,28.625,28.5625,1198400
2000-09-11,28.625,29.6875,29.375,2015600
2000-09-12,29.22,29.594,28.9375,2684400
2000-09-13,29.0,29.5625,29.1875,2316800
2000-09-14,29.0,29.25,29.125,2255200
2000-09-15,29.44,29.875,29.4375,1649000
2000-09-18,29.345,29.625,29.546999999999997,1057200
2000-09-19,29.905,29.9065,27.9065,2108200
2000-09-20,27.9375,27.9375,27.344,1977800
2000-09-21,27.625,28.0,27.2815,1346200
2000-09-22,27.405,28.125,27.5,1314000
2000-09-25,27.19,27.625,27.5,1196600
2000-09-26,27.5,28.5625,28.2815,1451400
2000-09-27,28.25,28.6875,28.5625,1164800
2000-09-28,28.69,29.125,28.7815,1409600
2000-09-29,28.9065,29.5,29.0315,1099400
2000-10-02,28.969,28.969,28.594,1542800
2000-10-03,28.5,28.5625,27.6565,1319000
2000-10-04,27.655,28.125,26.469,2819000
2000-10-05,26.345,26.75,25.5,3696400
2000-10-06,26.315,26.969,26.844,2723600
2000-10-09,26.845,27.625,27.0315,995600
2000-10-10,27.25,28.219,27.8125,1989400
2000-10-11,28.22,28.5625,27.969,1753000
2000-10-12,28.0,28.75,28.0,1458200
2000-10-13,28.19,28.8125,28.594,1121800
2000-10-16,28.625,29.1565,29.125,1253600
2000-10-17,29.125,29.375,29.219,1272800
2000-10-18,29.315,29.5625,28.5315,2115800
2000-10-19,28.53,29.0625,28.9375,1708800
2000-10-20,28.97,29.5625,29.5315,2229000
2000-10-23,29.53,29.9375,29.6875,1133200
2000-10-24,29.75,30.0,29.5315,1520200
2000-10-25,29.44,29.9065,29.1875,1597800
2000-10-26,29.125,29.25,28.5,2080000
2000-10-27,28.5,29.125,29.125,1814200
2000-10-30,29.125,29.969,29.9375,1103400
2000-10-31,29.94,30.0,29.7815,1014999
2000-11-01,29.875,30.594,30.2815,1279200
2000-11-02,30.315,30.344,29.625,726800
2000-11-03,29.375,30.0,29.0,755000
2000-11-06,29.0,29.6565,29.0,793000
2000-11-07,28.875,29.125,29.0315,1064600
2000-11-08,29.03,29.375,28.875,1560200
2000-11-09,28.875,29.094,29.0315,1012600
2000-11-10,29.065,29.6565,29.5,1461600
2000-11-13,29.5,30.375,29.844,1134600
2000-11-14,29.8125,29.8125,29.25,566400
2000-11-15,29.375,29.9375,29.6565,800000
2000-11-16,29.875,30.375,30.375,902600
2000-11-17,30.47,31.344,31.344,1879000
2000-11-20,31.72,31.844,31.4375,4234800
2000-11-21,29.94,30.0625,29.75,5292400
2000-11-22,29.75,30.3125,30.0,2551000
2000-11-23,29.75,30.3125,30.0,0
2000-11-24,30.065,30.219,30.1565,407000
2000-11-27,30.155,30.1875,29.9065,1312000
2000-11-28,30.03,30.094,29.9375,2660000
2000-11-29,29.69,30.375,30.219,1763400
2000-11-30,30.22,30.594,30.0,3550400
2000-12-01,29.875,29.9375,29.625,1454400
2000-12-04,29.75,30.375,30.0625,1781000
2000-12-05,29.9375,29.9375,29.2815,2439200
2000-12-06,29.75,29.969,29.375,1569600
2000-12-07,29.5,30.344,29.969,1564000
2000-12-08,29.625,30.125,30.094,1504200
2000-12-11,30.095,30.125,30.0315,1378000
2000-12-12,30.22,30.4065,30.094,1029400
2000-12-13,30.095,30.9375,30.8125,1795000
2000-12-14,30.875,30.875,30.5,1558000
2000-12-15,30.5,30.9065,30.75,2323800
2000-12-18,30.875,31.25,31.0315,1242200
2000-12-19,31.44,31.5315,31.0315,1466800
2000-12-20,31.155,32.125,31.875,1888600
2000-12-21,32.19,32.5,32.344,1577400
2000-12-22,32.25,32.7815,32.6875,938800
2000-12-25,32.25,32.7815,32.6875,0
2000-12-26,32.875,33.6875,33.625,660600
2000-12-27,33.5,33.969,33.5625,992400
2000-12-28,33.625,33.625,33.469,964400
