Date,Open,High,Close,Volume
2007-04-26,23.25,23.25,22.79,2422400
2007-04-27,21.51,21.51,20.91,3045100
2007-04-30,20.7,20.7,20.45,2933400
2007-05-01,20.35,20.35,19.91,5399700
2007-05-02,20.75,20.75,20.4,4067800
2007-05-03,21.75,21.95,20.72,6336000
2007-05-04,21.25,21.35,20.98,5436500
2007-05-07,21.2,21.29,20.36,2645400
2007-05-08,20.0,20.0,19.63,4166100
2007-05-09,19.75,20.2,19.79,7541100
2007-05-10,19.79,19.99,19.7,3169700
2007-05-11,19.71,19.8,19.3,3539400
2007-05-14,19.15,19.39,18.89,1924800
2007-05-15,18.65,18.85,18.2,3438700
2007-05-16,18.06,18.48,18.34,2552700
2007-05-17,18.8,19.75,19.02,8979000
2007-05-18,19.47,19.49,19.31,6510200
2007-05-21,19.2,19.34,19.0,2077700
2007-05-22,19.1,19.52,19.48,4014700
2007-05-23,19.5,19.7,19.21,2387100
2007-05-24,19.21,19.33,19.02,2362000
2007-05-25,19.02,19.05,18.76,895000
2007-05-28,19.02,19.05,18.76,0
2007-05-29,18.91,19.2,19.09,2878500
2007-05-30,19.05,19.15,18.98,2829200
2007-05-31,19.15,19.28,19.05,3435200
2007-06-01,19.1,19.8,19.55,2299100
2007-06-04,18.7,19.05,18.84,5692100
2007-06-05,18.85,19.04,18.95,4476800
2007-06-06,18.7,18.93,18.93,2594300
2007-06-07,18.77,18.85,18.48,3062500
2007-06-08,18.2,18.83,18.83,1411400
2007-06-11,18.55,18.82,18.38,1840419
2007-06-12,18.15,18.7,18.4,8551200
2007-06-13,18.48,18.7,18.64,3107700
2007-06-14,18.5,19.01,18.9,8069699
2007-06-15,18.89,19.14,18.88,3269700
2007-06-18,18.65,18.9,18.54,1289900
2007-06-19,18.59,19.07,18.87,3111500
2007-06-20,19.0,19.49,19.36,4008499
2007-06-21,19.2,19.6,19.6,3985700
2007-06-22,19.5,19.85,19.75,10607600
2007-06-25,19.69,19.74,19.43,1973900
2007-06-26,19.5,19.66,19.49,2237000
2007-06-27,19.4,19.59,19.42,2216000
2007-06-28,19.75,19.89,19.67,2547200
2007-06-29,19.55,19.83,19.7,2020700
2007-07-02,19.57,19.76,19.58,1831600
2007-07-03,19.71,20.26,20.25,2960900
2007-07-04,19.71,20.26,20.25,0
2007-07-05,20.01,20.73,20.52,2613500
2007-07-06,20.55,20.9,20.83,1966900
2007-07-09,20.94,21.39,21.33,2839400
2007-07-10,21.18,21.25,20.65,2367068
2007-07-11,20.18,20.59,20.12,2383300
2007-07-12,20.43,20.63,20.43,3454400
2007-07-13,20.35,20.54,20.5,1747100
2007-07-16,20.45,21.0,20.94,2885500
2007-07-17,21.0,21.25,21.19,4380400
2007-07-18,21.79,21.8,21.37,9007419
2007-07-19,21.48,21.8,21.51,8636300
2007-07-20,21.41,21.58,21.4,4248400
2007-07-23,21.4,21.5,21.11,4397370
2007-07-24,21.15,21.6,21.33,6099100
2007-07-25,21.3,21.31,20.78,2165800
2007-07-26,20.56,20.56,19.36,9754300
2007-07-27,19.71,19.72,18.59,4562800
2007-07-30,18.5,18.59,18.05,8926900
2007-07-31,18.28,18.54,17.82,3582900
2007-08-01,18.0,18.65,18.35,7081400
2007-08-02,18.67,19.5,18.88,7341100
2007-08-03,18.88,19.17,18.7,3400300
2007-08-06,18.94,19.0,18.02,5609000
2007-08-07,17.85,18.77,18.45,2723649
2007-08-08,18.38,18.85,18.49,2724100
2007-08-09,18.04,18.13,17.87,3313900
2007-08-10,17.5,17.61,17.56,2953700
2007-08-13,17.65,18.05,17.29,2048299
2007-08-14,17.29,17.579,16.97,5720400
2007-08-15,16.85,16.95,15.75,3538800
2007-08-16,15.25,16.2,15.92,6308400
2007-08-17,16.55,16.6,16.0,4152000
2007-08-20,16.1,16.65,16.08,1933600
2007-08-21,16.01,17.83,17.71,5527200
2007-08-22,18.15,18.65,18.1,4717500
2007-08-23,18.0,18.15,18.0,2271800
2007-08-24,17.79,18.28,18.24,983600
2007-08-27,17.61,18.23,17.7,1321100
2007-08-28,17.55,17.68,17.35,1241100
2007-08-29,17.46,17.64,17.36,1092700
2007-08-30,17.05,17.3,16.98,1210500
2007-08-31,17.05,17.27,16.88,1240900
2007-09-03,17.05,17.27,16.88,0
2007-09-04,17.04,17.68,17.53,1993738
2007-09-05,17.5,17.98,17.62,1847900
2007-09-06,17.75,18.3,18.07,2205500
2007-09-07,17.58,17.74,17.62,1533800
2007-09-10,17.73,17.99,17.44,2483600
2007-09-11,17.4,17.9,17.69,2066700
2007-09-12,17.65,17.65,17.15,2217800
2007-09-13,17.31,17.62,17.59,1365600
2007-09-14,17.34,17.7,17.65,873900
2007-09-17,17.57,17.67,17.15,939100
2007-09-18,17.35,17.56,17.45,1800800
2007-09-19,17.5,18.34,18.29,3483975
2007-09-20,18.17,18.18,17.72,1631700
2007-09-21,18.19,18.19,17.56,1767400
2007-09-24,17.52,17.57,16.03,5239100
2007-09-25,16.0,17.08,17.08,3471300
2007-09-26,17.15,17.95,17.87,4915580
2007-09-27,17.93,18.04,17.82,1443000
2007-09-28,17.6,17.96,17.95,1505000
2007-10-01,18.0,18.33,18.22,2277692
2007-10-02,18.4,19.0,18.98,2982300
2007-10-03,19.03,19.29,19.28,3078400
2007-10-04,19.12,19.55,18.61,4998500
2007-10-05,18.63,19.7,19.19,3334700
2007-10-08,19.12,19.66,19.48,1546800
2007-10-09,19.42,19.78,19.59,1839151
2007-10-10,19.25,19.69,19.63,2416600
2007-10-11,19.64,19.6799,19.39,2948600
2007-10-12,19.25,19.98,19.96,2331592
2007-10-15,19.78,20.0,20.0,3955300
2007-10-16,20.25,20.5,20.08,7945800
2007-10-17,20.36,20.56,20.4,5631583
2007-10-18,20.35,20.4,19.96,2480600
2007-10-19,20.04,20.04,19.5,2029599
2007-10-22,19.21,20.25,20.0,3344200
2007-10-23,20.18,21.0,20.82,5704400
2007-10-24,20.73,21.05,20.58,3971300
2007-10-25,20.4,20.75,20.06,2479300
2007-10-26,20.25,20.29,19.74,2171200
2007-10-29,19.59,20.36,19.85,1893500
2007-10-30,19.91,20.94,20.68,3847000
2007-10-31,20.02,20.85,20.8,4577700
2007-11-01,20.45,20.86,20.2,2519131
2007-11-02,20.22,20.29,19.93,1623200
2007-11-05,19.8,20.09,19.51,1634550
2007-11-06,19.5,19.85,18.51,3132080
2007-11-07,18.47,18.49,17.45,6915513
2007-11-08,17.45,17.53,17.0,7390665
2007-11-09,16.5,17.14,16.5,3749912
2007-11-12,16.88,17.96,17.88,4727846
2007-11-13,18.33,19.12,18.75,3435700
2007-11-14,18.7,21.1,19.52,17354700
2007-11-15,19.52,20.46,19.84,8292040
2007-11-16,19.91,20.49,19.97,6111718
2007-11-19,19.5,19.75,19.01,3604775
2007-11-20,18.73,18.85,17.45,5969900
2007-11-21,17.1,18.1,17.91,4742880
2007-11-22,17.1,18.1,17.91,0
2007-11-23,18.25,18.56,18.15,1118562
2007-11-26,18.35,18.48,17.48,2520600
2007-11-27,18.2,18.39,17.56,2609175
2007-11-28,17.67,19.02,18.77,5421806
2007-11-29,18.69,19.17,18.63,3546716
2007-11-30,19.18,19.87,19.76,6946331
2007-12-03,19.75,20.0,19.58,2688810
2007-12-04,18.65,18.98,18.61,6339810
2007-12-05,18.65,18.77,18.3,2176320
2007-12-06,18.32,18.78,18.38,2876968
2007-12-07,18.5,19.45,18.7,4594500
2007-12-10,18.86,18.86,18.24,2739700
2007-12-11,18.34,18.34,17.03,3213661
2007-12-12,17.2,17.21,15.74,7499388
2007-12-13,15.55,16.45,15.35,6570302
2007-12-14,15.56,15.83,15.6,4804902
2007-12-17,15.61,15.63,14.53,4956000
2007-12-18,14.7,14.73,14.17,5104060
2007-12-19,14.28,14.88,14.74,2882199
2007-12-20,14.75,14.92,14.38,3701086
2007-12-21,14.37,15.18,15.08,3426343
2007-12-24,15.1,15.45,15.11,1342695
2007-12-25,15.1,15.45,15.11,0
2007-12-26,15.01,15.01,14.78,1801039
2007-12-27,14.73,14.73,14.42,3084600
2007-12-28,14.46,14.85,14.6,2671357
2007-12-31,14.64,15.25,14.89,2783559
2008-01-01,14.64,15.25,14.89,0
2008-01-02,14.73,14.79,13.79,6351796
2008-01-03,13.69,13.97,13.65,7725899
2008-01-04,13.39,13.62,13.37,7777392
2008-01-07,13.43,13.74,13.39,4133177
