Date,Open,High,Close,Volume
2000-01-03,21.815,21.9065,21.4375,2691200
2000-01-04,21.25,21.5,21.4065,3370600
2000-01-05,21.47,22.219,21.9065,6213800
2000-01-06,22.315,23.4375,23.0315,6081400
2000-01-07,23.03,23.719,23.0,4113000
2000-01-10,23.0,23.719,23.469,3156600
2000-01-11,23.22,23.6875,23.469,3176400
2000-01-12,23.22,23.2815,23.0315,3013800
2000-01-13,23.155,23.5315,23.125,2002800
2000-01-14,23.5,24.1565,24.0625,2989400
2000-01-17,23.5,24.1565,24.0625,0
2000-01-18,23.844,23.844,23.5625,3040400
2000-01-19,23.5,23.9065,23.1875,2004000
2000-01-20,23.315,23.375,22.7815,2164600
2000-01-21,22.78,22.7815,22.094,2659600
2000-01-24,22.125,22.4375,22.4375,1653400
2000-01-25,22.44,22.6565,22.25,3080400
2000-01-26,22.315,23.0315,22.8125,2465200
2000-01-27,22.875,23.0,22.9065,1466800
2000-01-28,22.69,22.719,22.375,2606000
2000-01-31,22.3125,22.3125,21.844,1804600
2000-02-01,21.8125,21.8125,21.375,3139800
2000-02-02,21.875,22.25,21.3125,3168600
2000-02-03,21.345,21.5,20.625,4059999
2000-02-04,20.25,20.5625,20.4375,2953600
2000-02-07,20.44,20.7815,20.6565,2017199
2000-02-08,20.875,20.9065,20.0315,10296000
2000-02-09,20.095,20.5,20.0,4098600
2000-02-10,20.0,20.094,18.75,2401800
2000-02-11,18.9375,18.9375,18.094,3009000
2000-02-14,18.155,19.5625,19.5,3117800
2000-02-15,20.0,20.5625,20.219,2621600
2000-02-16,20.345,20.8125,19.6565,2736800
2000-02-17,20.0,20.3125,19.9065,2028000
2000-02-18,19.78,20.1875,19.25,1174200
2000-02-21,19.78,20.1875,19.25,0
2000-02-22,19.125,20.25,20.0,1886400
2000-02-23,19.75,19.9375,19.25,1308400
2000-02-24,19.125,19.1565,18.5,1469200
2000-02-25,18.375,19.5315,18.469,2246400
2000-02-28,18.345,18.719,18.469,1822600
2000-02-29,18.5,18.5315,17.875,4101400
2000-03-01,17.94,18.625,18.5,3712600
2000-03-02,17.5,17.5315,17.2815,3581200
2000-03-03,17.22,17.75,17.4375,4530800
2000-03-06,17.405,17.9065,17.094,2483400
2000-03-07,17.094,17.094,15.1875,6393000
2000-03-08,15.5,17.5,17.5,5106800
2000-03-09,17.75,17.844,17.844,3835400
2000-03-10,17.97,18.219,17.75,1321000
2000-03-13,17.78,17.844,17.6565,1525800
2000-03-14,17.9688,18.0625,17.375,1443800
2000-03-15,17.28,20.0,18.75,4763200
2000-03-16,19.0,20.75,19.75,3794800
2000-03-17,19.75,19.9375,19.094,2753600
2000-03-20,19.095,19.5625,19.1565,1378800
2000-03-21,18.625,20.0,19.2815,1823200
2000-03-22,19.25,19.375,19.094,1387400
2000-03-23,19.03,19.75,19.4065,1578800
2000-03-24,19.405,19.5,19.1875,1828200
2000-03-27,18.815,19.1875,18.8125,1169400
2000-03-28,18.565,19.0315,18.4375,1722400
2000-03-29,18.19,18.9375,18.625,1566600
2000-03-30,18.655,19.9375,19.5315,2151400
2000-03-31,19.5,19.5,19.0,2154400
2000-04-03,19.0,19.5315,19.4375,3520000
2000-04-04,19.565,21.125,20.094,4191799
2000-04-05,19.75,21.0,20.1565,3817400
2000-04-06,20.155,21.0,20.0,2217000
2000-04-07,20.0625,20.0625,19.5,1130600
2000-04-10,19.625,20.4065,19.625,1557400
2000-04-11,20.315,20.9375,20.1565,1764200
2000-04-12,20.47,21.4375,21.219,2329600
2000-04-13,21.5,22.3125,20.75,3147800
2000-04-14,20.375,20.5,20.125,2050600
2000-04-17,19.875,20.375,19.625,1692800
2000-04-18,19.875,20.0,19.9375,1618800
2000-04-19,19.815,19.969,19.2815,1148200
