Date,Open,High,Close,Volume
2007-06-14,30.5,30.5,28.75,3279100
2007-06-15,29.8,29.8,29.08,790100
2007-06-18,30.2,30.2,29.93,1591000
2007-06-19,30.3,30.3,29.7,1585100
2007-06-20,30.1,30.1,29.81,855900
2007-06-21,31.95,31.95,31.21,842700
2007-06-22,32.17,32.17,31.7,1490700
2007-06-25,32.0,32.0,31.3,490000
2007-06-26,31.65,31.65,30.41,853900
2007-06-27,30.8,30.8,29.58,1127300
2007-06-28,29.9,29.9,29.5,488900
2007-06-29,30.3,30.3,28.5,3085200
2007-07-02,28.55,29.15,27.5,10877300
2007-07-03,27.5,27.5,26.67,8600100
2007-07-04,27.5,27.5,26.67,0
2007-07-05,26.25,26.92,25.93,8121900
2007-07-06,25.64,25.86,25.64,7211900
2007-07-09,25.72,26.54,25.54,11641150
2007-07-10,25.6,25.65,24.9,8582600
2007-07-11,25.02,25.24,25.21,10247300
2007-07-12,25.59,26.59,26.34,10295738
2007-07-13,26.47,27.43,27.16,6750700
2007-07-16,27.21,27.45,26.84,9885800
2007-07-17,26.96,26.99,26.5,5388130
2007-07-18,26.45,26.5,26.36,4550071
2007-07-19,26.25,26.95,26.71,4838757
2007-07-20,26.71,27.12,26.3,5726600
2007-07-23,26.3,26.51,26.12,4705177
2007-07-24,25.54,25.6,25.0,5455700
2007-07-25,24.76,24.84,24.1,8391500
2007-07-26,23.26,24.88,24.62,8803490
2007-07-27,24.26,24.7,23.33,6622600
2007-07-30,23.33,23.93,23.57,5058500
2007-07-31,23.65,24.1,23.05,4050900
2007-08-01,22.68,23.07,22.88,5583533
2007-08-02,22.5,24.05,23.37,3019200
2007-08-03,22.66,23.11,21.99,5256100
2007-08-06,22.24,23.53,22.15,5995200
2007-08-07,22.05,23.53,22.88,3885123
2007-08-08,23.5,24.57,24.29,5645200
2007-08-09,23.55,23.96,22.16,4532512
2007-08-10,21.75,22.16,20.86,10742900
2007-08-13,21.26,22.29,22.1,7041700
2007-08-14,22.29,22.66,21.96,3754600
2007-08-15,21.89,22.4,21.66,3688600
2007-08-16,20.5,23.14,22.85,5455950
2007-08-17,23.89,23.99,23.18,5668600
2007-08-20,23.1,23.5,23.45,3786500
2007-08-21,23.09,23.96,23.67,2471000
2007-08-22,23.66,24.0,23.73,3602900
2007-08-23,23.94,24.03,23.7,2904000
2007-08-24,23.42,24.02,23.99,2001000
2007-08-27,24.02,24.04,23.83,1629512
2007-08-28,23.32,23.55,22.71,4221800
2007-08-29,22.57,23.58,23.33,2932600
2007-08-30,22.82,23.0,22.76,2269400
2007-08-31,23.01,23.88,23.14,3092600
2007-09-03,23.01,23.88,23.14,0
2007-09-04,23.05,23.56,23.43,2459368
2007-09-05,22.68,23.12,22.55,2703300
2007-09-06,22.51,22.52,22.28,3297000
2007-09-07,21.98,21.98,21.11,3985000
2007-09-10,21.17,21.52,20.56,2748100
2007-09-11,20.52,21.15,20.61,2838100
2007-09-12,20.45,21.44,21.0,3053100
2007-09-13,21.0,21.74,21.34,2328500
2007-09-14,21.29,21.56,21.27,1839600
2007-09-17,21.21,21.41,21.32,2233500
2007-09-18,21.4,23.09,23.09,3636997
2007-09-19,23.22,23.82,23.41,4394100
2007-09-20,23.27,24.0,22.66,2685100
2007-09-21,22.75,22.8,22.4,10197100
2007-09-24,22.7,23.48,22.26,4334400
2007-09-25,22.26,22.26,21.72,9227000
2007-09-26,21.65,21.94,21.25,4631412
2007-09-27,21.16,21.33,20.67,5640790
2007-09-28,20.7,20.87,20.8,3736300
2007-10-01,21.0,21.59,21.57,3324900
2007-10-02,21.57,22.14,21.37,2774300
2007-10-03,21.3,22.1,21.35,2493400
2007-10-04,21.5,22.07,22.02,3491400
2007-10-05,22.23,22.9,22.73,3201100
2007-10-08,22.6,22.76,22.65,2088800
2007-10-09,22.67,23.33,23.03,3488500
2007-10-10,23.0,23.01,22.65,4030500
2007-10-11,22.85,23.13,22.03,3776600
2007-10-12,22.09,22.29,22.13,1775110
2007-10-15,22.1,22.2,21.38,2822500
2007-10-16,21.34,21.37,20.93,3155427
2007-10-17,21.63,21.73,20.78,3501800
2007-10-18,20.61,20.74,20.53,4580600
2007-10-19,20.49,20.54,19.8,7103200
2007-10-22,19.08,19.76,19.68,4088400
2007-10-23,20.0,20.1694,19.41,4110100
2007-10-24,19.39,19.5,18.39,8320900
2007-10-25,18.38,18.64,17.56,10096800
2007-10-26,18.68,19.01,18.93,9463707
2007-10-29,19.16,19.87,19.49,6023800
2007-10-30,19.4,20.41,20.14,5484400
2007-10-31,20.8,20.91,19.3,8872838
2007-11-01,18.95,18.98,18.52,7765900
2007-11-02,18.67,18.67,18.18,10119800
2007-11-05,18.14,18.23,18.15,4613579
2007-11-06,18.14,18.47,18.24,3727400
2007-11-07,17.5,18.02,17.26,7694338
2007-11-08,17.16,17.79,17.7,5583163
2007-11-09,17.0,17.99,17.82,4576785
2007-11-12,17.95,18.7,18.01,5020901
2007-11-13,18.2,19.5,19.0,6170325
2007-11-14,18.88,19.3,18.29,3774500
2007-11-15,18.18,18.3,17.68,4739041
2007-11-16,17.76,18.05,17.76,3061741
2007-11-19,17.2,17.2,16.74,6858144
2007-11-20,16.89,17.09,16.44,6536900
2007-11-21,15.72,16.55,16.25,6162123
2007-11-22,15.72,16.55,16.25,0
2007-11-23,16.39,16.85,16.68,1605161
2007-11-26,17.0,17.0,16.3,5691583
2007-11-27,16.25,16.79,16.75,3894051
2007-11-28,16.91,17.68,17.65,4580439
2007-11-29,17.76,17.76,17.28,3924063
2007-11-30,17.77,18.58,17.37,7056747
2007-12-03,17.37,17.85,16.39,7066372
2007-12-04,16.32,16.68,16.21,5385498
2007-12-05,16.33,16.83,16.45,2925591
2007-12-06,16.63,17.32,17.32,2490100
2007-12-07,16.83,17.13,16.76,4842923
2007-12-10,16.77,17.75,17.27,3548998
2007-12-11,17.26,17.26,16.32,3756348
2007-12-12,16.72,17.1,16.51,7542347
2007-12-13,16.4,16.47,16.42,6276526
2007-12-14,16.16,16.19,15.64,6832108
2007-12-17,15.54,15.97,15.61,4135167
2007-12-18,15.69,16.05,15.89,4465990
2007-12-19,16.14,16.14,15.89,3626833
2007-12-20,16.35,16.99,15.46,7280158
2007-12-21,15.66,15.75,15.5,6682097
2007-12-24,15.32,15.73,15.63,1653217
2007-12-25,15.32,15.73,15.63,0
2007-12-26,15.31,15.78,15.71,2503398
2007-12-27,15.72,15.78,15.2,3394238
2007-12-28,15.14,15.38,14.94,3752894
2007-12-31,14.88,15.27,15.08,3255454
2008-01-01,14.88,15.27,15.08,0
2008-01-02,15.1,15.49,14.9,4215204
2008-01-03,14.98,15.26,14.83,4608872
2008-01-04,14.61,14.69,13.94,4190963
2008-01-07,14.1,14.77,14.38,4056554
2008-01-08,14.43,14.68,13.6,4379041
2008-01-09,13.57,14.21,14.18,5481461
2008-01-10,13.97,14.63,14.26,8706694
2008-01-11,13.87,14.0,13.73,9056895
2008-01-14,13.81,13.97,13.56,6970524
2008-01-15,13.4,13.5,13.2,10260425
2008-01-16,13.11,13.33,13.07,7914019
2008-01-17,13.09,13.25,12.55,6612752
2008-01-18,12.65,13.06,12.63,6151391
2008-01-21,12.65,13.06,12.63,0
2008-01-22,10.94,13.81,12.71,9300607
2008-01-23,12.31,14.65,14.6,8571553
2008-01-24,14.62,17.09,15.7,7367125
2008-01-25,15.88,16.9,15.56,5747461
2008-01-28,15.45,16.01,16.0,2237695
2008-01-29,16.08,16.5,16.35,6207100
2008-01-30,16.31,17.02,16.3,5698635
2008-01-31,16.08,17.99,17.49,10767151
2008-02-01,17.21,17.98,17.96,8151759
2008-02-04,17.06,17.39,16.34,7886657
2008-02-05,16.16,16.6,15.8,6127847
2008-02-06,15.94,16.02,15.77,6759350
2008-02-07,16.0,16.46,16.21,8792057
2008-02-08,16.16,16.19,15.63,6633865
2008-02-11,15.63,15.76,15.17,9397650
2008-02-12,15.28,15.62,14.98,5277992
2008-02-13,15.28,15.42,15.28,5088963
2008-02-14,15.25,15.41,14.81,5855215
2008-02-15,14.57,14.78,14.23,6839688
2008-02-18,14.57,14.78,14.23,0
2008-02-19,14.35,14.55,13.97,6468195
2008-02-20,13.83,14.67,14.57,7059191
2008-02-21,14.69,14.9,14.16,2838639
2008-02-22,15.37,15.4,15.1,7797537
2008-02-25,15.15,15.83,15.5,5092019
2008-02-26,15.39,16.4,16.19,5422965
2008-02-27,16.07,16.72,16.1,3978108
2008-02-28,16.02,16.02,15.76,3495677
2008-02-29,15.57,15.9385,15.09,3802895
2008-03-03,14.69,15.45,14.98,4393409
2008-03-04,14.82,14.96,14.73,7092135
2008-03-05,14.68,15.25,14.72,4120107
2008-03-06,14.49,14.63,13.8,1210464
2008-03-07,13.575,14.42,14.15,6104670
2008-03-10,14.13,14.31,13.3,5781800
2008-03-11,14.2,15.39,15.03,8255699
2008-03-12,14.84,16.01,15.28,7212820
2008-03-13,15.04,16.0,15.75,7547636
2008-03-14,15.9,16.0,15.47,6402856
2008-03-17,14.9,15.38,15.18,6271147
2008-03-18,15.44,17.4,17.4,6701073
2008-03-19,17.04,17.47,15.2,9266875
2008-03-20,15.27,17.0,16.76,8414912
2008-03-21,15.27,17.0,16.76,0
2008-03-24,16.8,17.56,16.68,7231558
2008-03-25,16.77,17.48,17.22,4770700
2008-03-26,16.9,16.94,15.99,5033400
2008-03-27,16.2,16.64,16.22,3665376
2008-03-28,16.27,16.45,15.98,3673700
2008-03-31,16.0,16.57,16.37,2742500
2008-04-01,16.55,17.79,17.73,8233093
2008-04-02,17.63,18.09,17.47,4580973
2008-04-03,17.49,17.86,17.68,4696055
2008-04-04,17.72,17.78,17.14,3957944
2008-04-07,17.46,18.84,18.09,8180083
2008-04-08,18.44,18.84,18.37,6708890
2008-04-09,18.54,18.54,17.7,5248546
2008-04-10,17.73,17.91,17.8,4031308
2008-04-11,17.49,18.36,17.55,4127182
2008-04-14,17.51,17.73,17.04,4119548
2008-04-15,17.13,17.42,17.02,3513039
2008-04-16,17.13,17.95,17.95,3590521
2008-04-17,17.85,18.5,18.21,2756910
2008-04-18,18.52,18.98,18.48,4016681
2008-04-21,18.25,18.69,18.48,2633627
2008-04-22,18.31,18.49,18.06,2552641
2008-04-23,18.09,18.31,17.96,3588549
2008-04-24,18.1,18.38,18.31,5624274
2008-04-25,18.51,19.02,18.85,3899240
2008-04-28,18.91,19.46,18.92,5968712
2008-04-29,18.93,19.02,18.66,2772533
2008-04-30,18.74,18.74,18.21,5517498
2008-05-01,18.12,19.64,19.25,5618369
2008-05-02,19.7,19.87,18.7,7320475
2008-05-05,18.64,19.29,18.84,3976959
2008-05-06,18.57,19.32,19.23,3920395
2008-05-07,19.27,19.46,18.24,3535657
2008-05-08,18.48,18.48,17.99,3012331
2008-05-09,17.66,18.01,17.52,3187758
2008-05-12,17.57,18.22,17.99,2877357
2008-05-13,18.21,18.25,18.17,3319187
2008-05-14,18.25,18.63,18.44,2772836
2008-05-15,18.37,18.9,18.68,3588284
2008-05-16,18.56,18.68,18.41,3355824
2008-05-19,18.38,18.95,18.67,2780854
2008-05-20,18.32,18.45,17.9,5609797
2008-05-21,17.81,18.0,17.08,3967606
2008-05-22,17.07,17.37,17.16,2710541
2008-05-23,17.04,17.1,16.84,2920020
2008-05-26,17.04,17.1,16.84,0
2008-05-27,17.01,17.47,17.15,2795457
2008-05-28,17.23,17.52,17.16,2755066
2008-05-29,17.04,17.46,17.25,3191723
2008-05-30,17.28,17.45,17.15,4049593
2008-06-02,17.05,17.05,16.3,5653912
2008-06-03,16.46,16.5,15.8,4943769
2008-06-04,15.79,16.26,15.94,4932290
2008-06-05,16.48,17.02,16.87,4996845
2008-06-06,16.69,16.69,15.7,4768769
2008-06-09,16.0,16.49,15.33,5154598
2008-06-10,15.24,15.71,15.2,4256593
2008-06-11,15.27,15.65,14.52,4378818
2008-06-12,14.63,15.61,15.3,6150646
2008-06-13,15.38,15.68,15.65,4021493
2008-06-16,15.57,16.21,16.13,4984958
2008-06-17,16.27,16.45,15.48,3192983
2008-06-18,15.36,15.37,15.25,5620861
2008-06-19,14.76,15.27,14.82,8063148
2008-06-20,14.655,14.83,14.41,5164650
2008-06-23,14.5,14.74,14.56,5104850
