Date,Open,High,Close,Volume
2000-01-03,3.8059,3.8059,3.6499,840293
2000-01-04,3.6849,3.6849,3.5119,568788
2000-01-05,3.5291,3.5809,3.5649,502361
2000-01-06,3.5469,3.5469,3.3749,2483869
2000-01-07,3.4134,3.5469,3.4959,684938
2000-01-10,3.4961,3.5649,3.5649,581855
2000-01-11,3.5649,3.5649,3.3409,2933596
2000-01-12,3.3473,3.3749,3.3059,1210534
2000-01-13,3.3804,3.3919,3.3409,1182585
2000-01-14,3.3638,3.4959,3.4959,972059
2000-01-17,3.3638,3.4959,3.4959,0
2000-01-18,3.3473,3.3579,3.3229,883490
2000-01-19,3.3749,3.3749,3.2379,783307
2000-01-20,3.2719,3.2719,3.2379,1254090
2000-01-21,3.2379,3.2379,3.2029,1132128
2000-01-24,3.3225,3.3409,3.2029,1783315
2000-01-25,3.2379,3.2379,3.0309,1065709
2000-01-26,3.0663,3.1689,3.0829,1168066
2000-01-27,3.0999,3.2029,3.1159,1121239
2000-01-28,3.0994,3.1339,3.0649,1064979
2000-01-31,3.3059,3.3059,3.2029,1476598
2000-02-01,3.2199,3.2199,3.1519,1028682
2000-02-02,3.2719,3.2719,3.2029,1502006
2000-02-03,3.2233,3.4269,3.3579,2116895
2000-02-04,3.4789,3.4789,3.3409,895831
2000-02-07,3.4099,3.4099,3.3919,1001459
2000-02-08,3.3969,3.5119,3.4099,1262075
2000-02-09,3.5705,3.5809,3.4269,768062
2000-02-10,3.6679,3.6679,3.4099,1729955
2000-02-11,3.4099,3.4099,3.3229,681309
2000-02-14,3.3229,3.4789,3.4269,874416
2000-02-15,3.4465,3.4789,3.4269,1096194
2000-02-16,3.4439,3.4439,3.2199,1042112
2000-02-17,3.3638,3.4269,3.2719,1071149
2000-02-18,3.2233,3.2889,3.2719,1752825
2000-02-21,3.2233,3.2889,3.2719,0
2000-02-22,3.2719,3.2719,3.2379,818878
2000-02-23,3.1903,3.2379,3.1519,690024
2000-02-24,3.1407,3.1849,3.0829,626863
2000-02-25,3.1519,3.1519,3.0999,1208356
2000-02-28,3.0994,3.1689,3.1159,581492
2000-02-29,3.1159,3.1339,3.0999,821056
2000-03-01,3.1407,3.3229,3.3229,1351736
2000-03-02,3.306,3.3409,3.3229,978225
2000-03-03,3.3225,3.4439,3.3409,670786
2000-03-06,3.3473,3.3579,3.2719,303087
2000-03-07,3.2399,3.2539,3.1159,831223
2000-03-08,3.0999,3.1849,3.1519,743743
2000-03-09,3.1903,3.2889,3.2889,467153
2000-03-10,3.2399,3.2539,3.1849,473323
2000-03-13,3.1407,3.3059,3.1849,618878
2000-03-14,3.2539,3.2539,3.0999,1324510
2000-03-15,3.1159,3.4439,3.3229,817063
2000-03-16,3.4795,3.8919,3.7879,3455195
2000-03-17,3.7027,3.7719,3.6849,958988
2000-03-20,3.7027,3.7879,3.7189,554995
2000-03-21,3.6531,3.7019,3.6849,888935
2000-03-22,3.7027,3.7189,3.6159,964796
2000-03-23,3.6366,3.8569,3.7539,1295469
2000-03-24,3.7936,3.8569,3.7019,672597
2000-03-27,3.7027,3.7189,3.6499,899824
2000-03-28,3.5539,3.6339,3.5809,596737
2000-03-29,3.5869999999999997,3.6499,3.5119,1022874
2000-03-30,3.4961,3.8569,3.6849,2905647
2000-03-31,3.5869999999999997,3.6339,3.5989,827589
2000-04-03,3.5705,3.7019,3.6499,839934
2000-04-04,3.62,3.7019,3.5809,1194200
2000-04-05,3.4961,3.8059,3.5809,1653005
2000-04-06,3.6531,3.7189,3.6849,523780
2000-04-07,3.7027,3.8399,3.7369,944110
2000-04-10,3.7192,3.8399,3.6339,628315
2000-04-11,3.6035,3.7019,3.6159,409078
2000-04-12,3.62,3.7719,3.7019,875505
2000-04-13,3.6696,3.7719,3.7719,1713625
2000-04-14,3.6366,3.6679,3.4789,1470790
2000-04-17,3.4439,3.4439,3.3749,1304909
2000-04-18,3.3969,3.5649,3.5119,1028682
2000-04-19,3.5126,3.5299,3.5119,405085
2000-04-20,3.5119,3.5119,3.3579,611981
2000-04-21,3.5119,3.5119,3.3579,0
2000-04-24,3.4134,3.5809,3.5299,1029045
2000-04-25,3.5539,3.7019,3.5989,1022874
2000-04-26,3.6035,3.6849,3.6339,757173
2000-04-27,3.6366,3.6849,3.6499,671149
2000-04-28,3.6679,3.6679,3.5649,565518
2000-05-01,3.6339,3.6339,3.5809,1172785
2000-05-02,3.5869999999999997,3.7539,3.6159,1049008
2000-05-03,3.6366,3.6849,3.5299,687842
2000-05-04,3.5705,3.6339,3.6339,532850
2000-05-05,3.7027,3.8569,3.8569,2368437
2000-05-08,3.9258,3.9259,3.7879,829404
2000-05-09,3.7605,4.0289,3.9089,999641
2000-05-10,3.9258,3.9609,3.6849,427952
2000-05-11,3.7027,3.8059,3.8059,457353
2000-05-12,3.7771,3.9949,3.9439,815615
2000-05-15,3.9258,3.9609,3.9089,303813
2000-05-16,3.9837,4.0129,3.9609,500183
2000-05-17,3.9424,4.0289,3.8229,634126
2000-05-18,3.7936,3.8229,3.6849,476590
2000-05-19,3.6862,3.7189,3.5649,779318
2000-05-22,3.4795,3.5809,3.5299,845015
2000-05-23,3.4961,3.6159,3.4959,689661
2000-05-24,3.4961,3.5809,3.5809,545195
2000-05-25,3.5705,3.6499,3.6159,468968
2000-05-26,3.6159,3.6159,3.6159,740476
2000-05-29,3.6159,3.6159,3.6159,0
2000-05-30,3.5869999999999997,3.6679,3.6499,353540
2000-05-31,3.62,3.6499,3.5989,403996
2000-06-01,3.5869999999999997,3.6679,3.6159,554995
2000-06-02,3.7771,3.8749,3.8749,857719
2000-06-05,3.8597,3.8749,3.7719,386207
2000-06-06,3.7771,3.8399,3.8059,284212
2000-06-07,3.7605,3.7719,3.7719,382214
2000-06-08,3.7605,3.7719,3.7539,333943
2000-06-09,3.7936,3.8229,3.7879,124139
2000-06-12,3.7936,3.8399,3.6499,774959
2000-06-13,3.62,3.7189,3.7189,445738
2000-06-14,3.7605,3.7719,3.7369,282397
2000-06-15,3.6696,3.7189,3.6679,741928
2000-06-16,3.7027,3.8059,3.7879,830493
2000-06-19,3.7936,3.8059,3.7879,271145
2000-06-20,3.7879,3.7879,3.6849,445375
2000-06-21,3.7719,3.7719,3.7189,786574
2000-06-22,3.7358,3.7369,3.6499,393466
2000-06-23,3.6366,3.6499,3.6159,747736
2000-06-26,3.6531,3.7189,3.6849,321961
2000-06-27,3.6862,3.8399,3.8059,471871
2000-06-28,3.8101,3.8229,3.7719,399277
2000-06-29,3.7605,3.9609,3.8569,682761
2000-06-30,3.9093,3.9949,3.7369,1821067
2000-07-03,3.7936,3.9439,3.9259,236660
2000-07-04,3.7936,3.9439,3.9259,0
2000-07-05,3.9424,4.0809,4.0639,1027230
2000-07-06,4.0829,4.1499,4.1329,870423
2000-07-07,4.149,4.2019,4.0989,645738
2000-07-10,4.0168,4.1329,4.1149,1103820
2000-07-11,3.9837,4.0289,3.9609,522691
2000-07-12,3.9837,4.0989,4.0639,752092
2000-07-13,4.0639,4.0639,3.9259,889298
2000-07-14,3.9672,4.0289,3.8919,394555
2000-07-17,4.0002,4.0289,3.9609,415974
2000-07-18,3.9439,4.0989,3.9949,542291
2000-07-19,4.0168,4.1149,4.0989,311068
2000-07-20,4.0829,4.2189,4.1839,672960
2000-07-21,4.2529,4.2529,4.2189,699824
2000-07-24,4.2399,4.2529,4.1149,731402
2000-07-25,4.149,4.1839,4.0989,822508
2000-07-26,4.0829,4.3039,4.2879,839208
2000-07-27,4.3729,4.3729,4.3399,628682
2000-07-28,4.3556,4.3569,4.2189,878409
2000-07-31,4.1903,4.2709,4.2709,584396
2000-08-01,4.273,4.3729,4.3729,328495
2000-08-02,4.3399,4.3909,4.3729,377499
2000-08-03,4.3804,4.4769,4.4599,601818
2000-08-04,4.4631,4.5289,4.5289,466427
2000-08-07,4.6036,5.0109,5.0109,1957544
2000-08-08,4.959,5.3899,5.2869,3181145
2000-08-09,5.3061,5.3899,5.0629,1517250
