Date,Open,High,Close,Volume
2000-01-03,9.095,9.1662,8.8108,1475097
2000-01-04,8.86,8.8703,8.4913,2425597
2000-01-05,8.5758,8.7634,8.5861,2855724
2000-01-06,8.4925,8.882,8.6808,1281408
2000-01-07,8.716000000000001,8.8108,8.7517,1752172
2000-01-10,8.7994,8.9294,8.9294,2593426
2000-01-11,8.9055,8.9529,8.7043,1868280
2000-01-12,8.6706,8.6808,8.4674,1282463
2000-01-13,8.5387,8.6687,8.5978,3045719
2000-01-14,8.5758,8.6213,8.5978,1747950
2000-01-17,8.5758,8.6213,8.5978,0
2000-01-18,8.5031,8.5031,8.361,1972777
2000-01-19,8.3143,8.3844,8.2662,2895834
2000-01-20,8.2537,8.2662,8.0885,1182716
2000-01-21,8.0885,8.0885,7.8043,4431096
2000-01-24,7.7686,7.7686,7.2002,4490205
2000-01-25,7.2495,7.6739,7.6387,3805697
2000-01-26,7.6398,7.9346,7.8634,2310017
2000-01-27,7.6512,8.065,7.8755,4237935
2000-01-28,7.8747,8.0411,8.0055,3924444
2000-01-31,7.996,8.4674,8.1715,4538760
2000-02-01,8.158999999999999,8.2188,8.195,3270018
2000-02-02,8.1741,8.3371,8.1832,2159605
2000-02-03,8.2082,8.3253,8.2545,927807
2000-02-04,8.3143,8.3253,8.195,1120968
2000-02-07,8.1969,8.3018,8.1715,2507928
2000-02-08,8.1741,8.3844,8.3018,2541705
2000-02-09,8.3257,8.3492,8.2662,3224102
2000-02-10,8.2423,8.277999999999999,7.899,1377988
2000-02-11,7.9581,8.0176,7.7808,2379154
2000-02-14,7.7573,7.7925,7.7569,1699923
2000-02-15,7.7232,7.8634,7.8043,2669424
2000-02-16,7.7345,7.8281,7.7451,2292073
2000-02-17,7.7573,7.8755,7.7569,1535789
2000-02-18,7.7573,7.7925,7.5557,2647785
2000-02-21,7.7573,7.7925,7.5557,0
2000-02-22,7.5564,7.6739,7.5318,2454624
2000-02-23,7.5109,7.5674,7.4492,2995053
2000-02-24,7.4503,7.4844,7.3071,2941749
2000-02-25,7.2608,7.4253,7.2832,1538956
2000-02-28,7.3442,7.5083,7.4371,1355294
2000-02-29,7.4389,7.8043,7.7334,3826280
2000-03-01,7.7686,7.9702,7.8516,3343377
2000-03-02,7.8406,7.8516,7.6504,2038747
2000-03-03,7.6512,7.7451,7.5792,2355933
2000-03-06,7.5792,7.6265,7.603,2739088
2000-03-07,7.5557,7.5557,7.165,2554899
2000-03-08,7.1661,7.1767,7.0346,2386015
2000-03-09,7.0107,7.2002,7.2002,2325322
2000-03-10,7.1547,7.3779,7.2832,1293546
2000-03-13,7.2832,7.2832,7.1176,2336933
2000-03-14,7.1055,7.2714,7.1176,3007192
2000-03-15,7.0448,7.4253,7.4018,4956748
2000-03-16,7.3556,8.2662,8.2306,4578870
2000-03-17,8.231,8.4439,8.2306,3302739
2000-03-20,8.1855,8.2662,8.1597,2467291
2000-03-21,8.158999999999999,8.277999999999999,8.277999999999999,1885168
2000-03-22,8.2306,8.2306,8.0529,1597537
2000-03-23,8.0529,8.0885,8.0767,2627730
2000-03-24,8.0529,8.2897,7.8281,1664563
2000-03-27,7.7808,8.3136,8.2071,3089523
2000-03-28,8.2082,8.5861,8.3966,2501595
2000-03-29,8.3844,8.8818,8.8818,2422431
2000-03-30,8.9055,9.5569,9.4861,4258518
2000-03-31,9.5346,9.7108,9.6634,3119078
2000-04-03,9.6634,9.8529,9.782,3125411
2000-04-04,9.8302,10.161,9.9477,4157187
2000-04-05,9.9022,10.161,10.1254,1798615
2000-04-06,10.1258,10.3387,10.078,1621815
2000-04-07,10.0306,10.0306,9.8055,1391182
2000-04-10,9.782,9.782,9.7229,1147884
2000-04-11,9.7695,9.9477,9.8294,1025443
2000-04-12,9.8302,9.9477,9.6043,1511512
2000-04-13,9.5573,9.9242,9.7938,1464014
2000-04-14,9.7464,9.7464,9.1071,1106718
2000-04-17,9.1064,9.6161,9.4387,2274657
2000-04-18,9.4171,9.4387,9.344,1467708
2000-04-19,9.3906,9.8885,9.7229,2345905
2000-04-20,9.7468,10.0663,10.0306,1643453
2000-04-21,9.7468,10.0663,10.0306,0
2000-04-24,10.031,10.1493,10.1254,1456097
2000-04-25,10.0803,10.4452,10.4096,2074635
2000-04-26,10.41,10.978,10.5991,2548566
2000-04-27,10.4934,10.8477,10.8003,1590677
2000-04-28,10.8003,10.8716,10.8242,1297240
2000-05-01,10.7321,11.1675,11.1558,2067774
2000-05-02,11.1558,11.1558,10.9424,1349489
2000-05-03,10.895,10.895,10.6703,2101023
2000-05-04,10.6222,10.6464,10.5161,1526290
2000-05-05,10.3266,10.9189,10.9072,2287323
2000-05-08,11.0012,11.1558,10.7886,2500012
2000-05-09,10.7435,10.8003,10.6464,2091523
2000-05-10,10.6938,10.6938,10.5161,1764838
2000-05-11,10.5161,10.6582,10.5161,2131106
2000-05-12,10.5047,10.5991,10.4808,1512568
2000-05-15,10.4213,10.457,10.4213,2114745
2000-05-16,10.5161,10.6938,10.5161,2636175
2000-05-17,10.4687,10.4687,10.4213,1091413
2000-05-18,10.3759,10.3861,10.2084,749423
2000-05-19,10.0424,10.0663,9.782,1640286
2000-05-22,9.7847,9.8055,9.7582,2393932
2000-05-23,9.6634,9.7108,9.3675,2240353
2000-05-24,9.4398,9.6043,9.4505,2228214
2000-05-25,9.4512,9.5926,9.474,3459485
2000-05-26,9.4285,9.474,9.1306,1103552
2000-05-29,9.4285,9.474,9.1306,0
2000-05-30,9.1556,9.2727,9.1897,1730534
2000-05-31,9.1897,9.2254,9.1306,1050775
2000-06-01,9.0382,9.095,9.0832,3056274
2000-06-02,9.1329,9.5569,9.5334,1780143
2000-06-05,9.474,9.4978,9.4861,1646619
2000-06-06,9.6282,9.6282,9.4861,1835559
2000-06-07,9.5118,9.5334,9.2845,1450819
2000-06-08,9.2958,9.4505,9.2966,1176911
2000-06-09,9.3451,9.474,9.4622,916196
2000-06-12,9.4398,9.5452,9.344,1218076
2000-06-13,9.474,9.474,9.3557,918835
2000-06-14,9.311,9.3792,9.1424,1699396
2000-06-15,9.095,9.2845,9.177999999999999,1503596
2000-06-16,9.3337,9.4031,9.2966,2183354
2000-06-19,9.2845,9.2845,9.0476,1582232
2000-06-20,9.0003,9.0715,9.0124,2097857
2000-06-21,9.0003,9.0241,9.0003,1927917
2000-06-22,9.0268,9.177999999999999,9.1306,1931084
2000-06-23,9.177999999999999,9.177999999999999,9.0359,1155800
2000-06-26,9.0124,9.2727,9.095,1518373
2000-06-27,9.095,9.3557,9.2966,2410292
2000-06-28,9.167,9.3083,9.2492,3406181
2000-06-29,9.2276,9.261000000000001,9.1662,2246158
2000-06-30,9.1897,9.3792,9.3675,2748060
2000-07-03,9.3565,9.4031,9.4031,648620
2000-07-04,9.3565,9.4031,9.4031,0
2000-07-05,9.4031,9.4031,9.0832,1648730
2000-07-06,8.9775,9.0832,8.8938,3438374
2000-07-07,8.9055,9.0598,9.0124,1862474
2000-07-10,8.9775,9.0715,8.965,1925278
2000-07-11,8.9889,9.0124,8.7873,2216075
2000-07-12,8.7994,9.0003,8.9055,2778143
2000-07-13,8.788,8.9055,8.799,1295657
2000-07-14,8.7994,8.8703,8.6687,1244992
2000-07-17,8.6933,8.7517,8.6334,3075273
2000-07-18,8.6592,8.8347,8.8347,3012997
2000-07-19,8.9055,8.9055,8.799,1601760
2000-07-20,8.9055,9.0476,9.0476,1544761
2000-07-21,9.0358,9.166,9.166,2902167
2000-07-24,9.1177,9.2966,9.2492,1759033
2000-07-25,9.238999999999999,9.6161,9.4978,2780782
2000-07-26,9.4512,9.4978,9.4505,1873557
2000-07-27,9.4853,9.5452,9.2019,1246047
2000-07-28,9.2731,9.3201,9.2492,1272436
2000-07-31,9.2504,9.6517,9.6517,1861947
2000-08-01,9.6516,9.6516,9.4503,1472985
2000-08-02,9.4512,9.5808,9.474,1247103
2000-08-03,9.5232,9.6282,9.6282,1580649
2000-08-04,9.7241,10.2792,10.2201,4072745
2000-08-07,10.2584,10.3149,10.0898,1477208
2000-08-08,10.0917,10.2201,10.1728,1478263
2000-08-09,10.3872,10.5161,10.3861,2371766
2000-08-10,10.41,10.457,10.4335,1726312
2000-08-11,10.4327,10.5161,10.5043,1339989
2000-08-14,10.4479,10.4926,10.4808,1525234
2000-08-15,10.4592,10.4687,10.1254,2383904
2000-08-16,10.1371,10.1493,9.995,2451458
2000-08-17,9.9969,10.1019,10.078,2586565
2000-08-18,10.0538,10.4452,10.4096,2761254
2000-08-21,10.3759,10.4808,10.374,953667
2000-08-22,10.3759,10.4452,10.3622,670786
2000-08-23,10.3645,10.4335,10.4213,1479319
2000-08-24,10.4213,10.54,10.54,1696757
2000-08-25,10.54,10.54,10.4926,1347906
2000-08-28,10.5426,10.7056,10.5161,945750
2000-08-29,10.5161,10.7529,10.6938,2014470
2000-08-30,10.7056,10.7056,10.5161,956833
2000-08-31,10.4706,10.6703,10.6464,1789115
2000-09-01,10.6942,10.7294,10.6703,801143
2000-09-04,10.6942,10.7294,10.6703,0
2000-09-05,10.6222,10.6821,10.5991,1208049
2000-09-06,10.2319,10.3149,10.1845,3577176
2000-09-07,10.374,10.374,10.2792,3026191
2000-09-08,10.3266,10.3266,10.0189,2781309
2000-09-11,10.0689,10.161,9.9477,1438681
2000-09-12,9.9855,10.078,10.0189,2323211
2000-09-13,10.0197,10.1845,10.0189,1080858
2000-09-14,9.9969,10.0663,9.8885,806949
2000-09-15,10.0898,10.0898,9.9359,3304322
2000-09-18,9.9359,9.9359,9.5213,4141354
2000-09-19,9.5334,9.5334,9.095,4335571
2000-09-20,9.238999999999999,9.3201,9.1897,2445125
2000-09-21,9.1784,9.2019,9.1424,1511512
2000-09-22,9.1443,9.1545,9.1071,1565344
2000-09-25,9.2276,9.3557,9.2492,1465069
2000-09-26,9.2504,9.4861,9.095,2616120
2000-09-27,9.0609,9.1545,9.1071,2243519
2000-09-28,9.1064,9.5569,9.4978,2677340
2000-09-29,9.5096,9.5096,9.4266,2083607
2000-10-02,9.3792,9.6161,9.3792,1505179
2000-10-03,9.3792,9.5569,9.4505,1839781
2000-10-04,9.4512,9.8177,9.7582,2118967
2000-10-05,9.8074,9.9003,9.8294,3692228
2000-10-06,9.8794,10.161,9.7347,1486180
2000-10-09,9.69,9.8055,9.782,1385377
2000-10-10,9.7847,10.1845,9.865,2399209
2000-10-11,9.865,10.1845,10.0663,5795363
2000-10-12,10.0689,10.1493,9.7464,2268852
2000-10-13,9.7468,10.0071,9.995,1668258
2000-10-16,9.9969,10.2084,10.1493,1289852
2000-10-17,10.2205,10.3861,9.9477,2525872
2000-10-18,9.9477,10.1254,10.0545,1848753
2000-10-19,10.3039,10.7056,10.457,4130799
2000-10-20,10.3645,10.7651,10.7529,2130578
2000-10-23,10.7548,10.8477,10.6938,2215020
2000-10-24,10.7321,10.7651,10.5635,2482068
2000-10-25,10.5991,10.5991,10.3149,1895196
2000-10-26,10.3645,10.7412,10.5517,3019330
2000-10-27,10.6108,11.0493,10.9307,1892029
2000-10-30,11.0019,11.3452,11.2979,2327433
2000-10-31,11.2626,11.9611,11.9611,4205213
2000-11-01,11.9372,12.1623,11.7833,5862916
2000-11-02,11.7856,11.9493,11.8189,2515317
2000-11-03,11.7742,11.8781,11.652999999999999,1864058
2000-11-06,11.6909,11.8424,11.8424,2079913
2000-11-07,11.8424,11.8424,11.735999999999999,2123717
2000-11-08,11.7477,11.9967,11.8307,1497790
2000-11-09,11.8803,11.9019,11.735999999999999,1707312
2000-11-10,11.735999999999999,11.735999999999999,11.5703,1376405
2000-11-13,11.5821,11.5821,11.5821,1968555
2000-11-14,11.6795,12.2926,11.7951,4217352
2000-11-15,11.8424,12.1862,12.0675,2598176
2000-11-16,12.1759,12.2809,12.0319,1145773
2000-11-17,12.1267,12.3044,12.1032,1957472
2000-11-20,12.1039,12.257,12.044,2059858
2000-11-21,11.9751,12.1979,12.1388,1441320
2000-11-22,12.1267,12.2214,11.8781,933612
2000-11-23,12.1267,12.2214,11.8781,0
2000-11-24,11.9258,12.3161,12.257,694535
2000-11-27,12.3048,12.4704,12.2335,3953471
2000-11-28,12.2441,12.2926,12.044,1891501
2000-11-29,11.9978,12.3635,12.3161,1362683
2000-11-30,12.3275,12.3756,12.3518,1626037
2000-12-01,12.3995,12.7546,12.3635,3158660
2000-12-04,12.3654,12.4821,12.4704,1931611
2000-12-05,12.7557,12.9793,12.9441,2901639
2000-12-06,12.8959,12.9319,12.6242,1762199
2000-12-07,12.661,12.8611,12.8372,1281935
2000-12-08,12.8732,13.0506,12.8728,1628676
2000-12-11,12.8391,13.2162,12.9914,1244992
2000-12-12,12.8505,13.0979,12.8728,1404904
2000-12-13,12.7898,12.8493,12.3283,2683146
2000-12-14,12.282,12.423,11.9019,4279100
2000-12-15,11.869000000000002,12.423,12.34,4625313
2000-12-18,12.2934,12.5412,12.3044,2510567
2000-12-19,12.3048,12.3161,12.1505,3273184
2000-12-20,12.1494,12.1505,11.8307,5481344
2000-12-21,11.8898,11.8898,11.8072,3300100
2000-12-22,11.8311,11.9846,11.9846,2887390
2000-12-25,11.8311,11.9846,11.9846,0
2000-12-26,12.0206,12.5295,12.4465,1799143
2000-12-27,12.5549,12.9202,12.8846,2135856
2000-12-28,13.0513,13.0741,13.0149,3171854
2000-12-29,13.0286,13.2044,12.9558,1518373
2001-01-01,13.0286,13.2044,12.9558,0
2001-01-02,12.9566,12.9914,12.6004,4350348
2001-01-03,12.6122,12.9201,12.8254,3475845
2001-01-04,12.8727,13.0148,12.5885,2675757
2001-01-05,12.5648,12.5648,12.2451,1759561
2001-01-08,11.5582,11.8306,11.0845,14679194
2001-01-09,11.3687,11.6411,11.4753,7438816
2001-01-10,11.3924,11.735999999999999,11.735999999999999,7229822
2001-01-11,11.8424,12.0793,12.0319,3471095
2001-01-12,12.0793,12.1149,12.1149,2277296
2001-01-15,12.0793,12.1149,12.1149,0
2001-01-16,12.0319,12.0439,12.0439,2125300
2001-01-17,11.7003,11.8424,11.7477,5779002
2001-01-18,11.7951,11.9253,11.8069,3090578
