Date,Open,High,Close,Volume
2008-09-18,6.5,9.25,8.0,11602512
2008-09-19,7.625,10.0,8.35,1527756
2008-09-22,8.44,8.52,8.435,3424232
2008-09-23,8.255,8.705,8.31,1825676
2008-09-24,8.11,8.5,7.925,1491638
2008-09-25,7.905,8.475,8.035,2777892
2008-09-26,7.75,8.0,7.75,1331890
2008-09-29,7.515,7.675,7.31,3593100
2008-09-30,6.85,7.245,7.08,3073392
2008-10-01,6.58,7.16,7.155,2559322
2008-10-02,7.065,7.15,6.7,2455986
2008-10-03,6.665,6.82,6.495,3083762
2008-10-06,6.185,6.47,6.2325,2274722
2008-10-07,6.375,6.605,5.9,2858366
2008-10-08,4.39,5.875,5.605,2802224
2008-10-09,5.745,6.0,5.44,1761258
2008-10-10,4.505,5.565,5.22,2022727
2008-10-13,5.025,6.21,6.12,1230974
2008-10-14,5.17,6.58,6.55,2461080
2008-10-15,6.395,6.81,6.135,1320074
2008-10-16,6.25,6.755,5.945,2501826
2008-10-17,5.88,6.7989999999999995,6.2,1275830
2008-10-20,6.175,6.41,6.37,1134136
2008-10-21,6.17,6.545,6.28,1563620
2008-10-22,6.025,6.255,5.9,1925450
2008-10-23,5.96,6.065,5.69,1867992
2008-10-24,5.015,5.18,4.895,1790558
2008-10-27,4.88,5.275,5.0,1893948
2008-10-28,5.19,5.31,5.275,839054
2008-10-29,5.195,5.985,5.81,1747078
2008-10-30,5.98,6.3,6.295,1119558
2008-10-31,6.225,6.775,6.66,1434032
2008-11-03,6.535,6.66,6.525,2848016
2008-11-04,6.77,6.94,6.79,1738474
2008-11-05,6.94,6.94,6.63,1215764
2008-11-06,6.44,6.85,5.675,896962
2008-11-07,5.595,6.79,6.755,3255568
2008-11-10,6.75,7.12,6.675,666088
2008-11-11,6.54,6.82,6.57,711232
2008-11-12,6.495,6.535,5.93,801806
2008-11-13,6.015,6.495,6.495,1102936
2008-11-14,6.41,6.96,6.73,690828
2008-11-17,6.7,6.88,6.29,545948
2008-11-18,6.13,6.405,5.93,888946
2008-11-19,5.855,6.25,5.875,1273326
2008-11-20,5.84,6.325,5.98,2632062
2008-11-21,6.06,6.2,6.165,1883046
2008-11-24,6.235,6.635,6.585,873834
2008-11-25,6.715,6.715,6.36,1553556
2008-11-26,6.22,6.82,6.67,726804
2008-11-27,6.22,6.82,6.67,0
2008-11-28,6.7,7.625,7.565,783718
2008-12-01,7.255,7.37,6.585,1380254
2008-12-02,6.64,6.825,6.55,1073376
2008-12-03,6.33,6.75,6.75,868834
2008-12-04,6.575,6.715,6.195,1489118
2008-12-05,6.27,6.645,6.645,1322598
2008-12-08,6.76,7.18,7.11,2113976
2008-12-09,6.99,7.23,6.56,3537606
2008-12-10,6.56,6.82,6.465,3992208
2008-12-11,6.34,6.74,6.005,5460678
2008-12-12,5.895,6.325,6.255,2119926
2008-12-15,6.245,6.47,6.09,1023200
2008-12-16,6.09,6.28,6.22,1723440
2008-12-17,6.07,6.34,6.255,3884058
2008-12-18,6.645,6.73,6.69,1354920
2008-12-19,6.66,6.9562,6.92,2002192
2008-12-22,6.995,6.995,6.61,617800
2008-12-23,6.855,6.855,6.58,562116
2008-12-24,6.535,6.61,6.545,138364
2008-12-25,6.535,6.61,6.545,0
2008-12-26,6.52,6.69,6.565,403508
2008-12-29,6.64,6.67,6.57,684932
2008-12-30,6.545,6.675,6.645,544228
2008-12-31,6.7,6.73,6.695,582294
2009-01-01,6.7,6.73,6.695,0
2009-01-02,6.635,6.895,6.89,989092
2009-01-05,6.845,7.09,7.04,598360
2009-01-06,7.175,7.26,7.225,688374
2009-01-07,7.03,7.07,6.9,432982
2009-01-08,6.945,7.12,7.12,1464666
