Date,Open,High,Low,Close,Volume
2018-02-02,0.89,0.89,0.89,0.89,100.0
2018-02-01,0.91,0.91,0.91,0.91,500.0
2018-01-30,0.92,0.92,0.87,0.88,20522.0
2018-01-29,0.92,0.94,0.91,0.91,4486.0
2018-01-26,0.99,0.99,0.9,0.99,4642.0
2018-01-25,0.99,0.99,0.99,0.99,15.0
2018-01-24,0.97,0.99,0.97,0.99,10695.0
2018-01-23,0.96,0.97,0.95,0.97,14306.0
2018-01-22,0.9,0.96,0.9,0.96,620.0
2018-01-19,0.89,0.9,0.89,0.9,3245.0
2018-01-18,0.94,0.94,0.92,0.93,1200.0
2018-01-17,0.94,0.95,0.89,0.95,1180.0
2018-01-16,0.93,0.94,0.92,0.94,1126.0
2018-01-15,0.92,0.92,0.92,0.92,80.0
2018-01-12,0.92,0.92,0.92,0.92,52.0
2018-01-11,0.92,0.92,0.92,0.92,286.0
2018-01-10,0.92,0.92,0.9,0.9,3999.0
2018-01-09,0.91,0.91,0.91,0.91,402.0
2018-01-08,0.92,0.92,0.9,0.9,245.0
2018-01-05,0.92,0.92,0.92,0.92,500.0
2018-01-04,0.92,0.92,0.88,0.88,2503.0
2018-01-03,0.92,0.92,0.92,0.92,110.0
2017-12-29,0.88,0.93,0.84,0.92,5552.0
2017-12-28,0.83,0.96,0.82,0.96,13017.0
2017-12-27,0.84,0.84,0.82,0.84,9373.0
2017-12-22,0.92,0.93,0.85,0.85,8841.0
2017-12-21,0.88,0.94,0.88,0.92,11819.0
2017-12-20,0.96,0.96,0.91,0.92,2357.0
2017-12-19,0.97,0.97,0.96,0.96,2409.0
2017-12-18,0.97,0.97,0.97,0.97,580.0
2017-12-15,0.98,0.98,0.97,0.97,1043.0
2017-12-14,0.97,0.98,0.97,0.98,1993.0
2017-12-12,0.9,0.96,0.9,0.96,900.0
2017-12-11,0.9,0.9,0.9,0.9,100.0
2017-12-08,0.9,0.9,0.9,0.9,210.0
2017-12-06,0.91,0.91,0.9,0.9,280.0
2017-12-05,0.96,0.96,0.92,0.92,6095.0
2017-12-04,1.05,1.05,0.98,1.0,1255.0
2017-12-01,1.07,1.07,1.06,1.06,35.0
2017-11-30,1.07,1.07,1.07,1.07,10.0
2017-11-29,1.02,1.07,1.01,1.07,969.0
2017-11-28,0.9,1.06,0.9,1.01,4555.0
2017-11-27,0.91,0.91,0.89,0.89,3665.0
2017-11-24,0.92,0.92,0.89,0.89,16024.0
2017-11-23,0.95,0.95,0.92,0.92,8220.0
2017-11-22,0.96,0.96,0.96,0.96,4.0
2017-11-21,0.97,0.97,0.97,0.97,150.0
2017-11-20,0.95,0.97,0.95,0.97,1478.0
2017-11-17,0.94,0.94,0.94,0.94,210.0
2017-11-16,0.94,0.94,0.94,0.94,190.0
2017-11-15,0.94,0.94,0.94,0.94,1770.0
2017-11-14,0.94,0.94,0.94,0.94,540.0
2017-11-13,1.0,1.0,0.94,0.94,4750.0
2017-11-10,1.01,1.01,0.95,0.96,20113.0
2017-11-09,1.03,1.08,1.02,1.02,1609.0
2017-11-08,1.0,1.14,0.98,1.14,14058.0
2017-11-07,1.12,1.15,1.01,1.01,3368.0
2017-11-06,1.04,1.04,1.03,1.04,3598.0
2017-11-03,1.04,1.14,1.04,1.14,7401.0
2017-11-02,1.15,1.15,0.92,1.03,18545.0
2017-10-02,1.28,1.28,1.2,1.2,6130.0
2017-09-29,1.24,1.27,1.24,1.27,400.0
2017-09-28,1.29,1.29,1.21,1.21,3524.0
2017-09-27,1.18,1.3,1.18,1.3,12850.0
2017-09-26,1.21,1.21,1.21,1.21,50.0
