Date,Open,High,Close,Volume
2000-01-03,2.25,2.3125,2.2915,1027500
2000-01-04,2.25,2.271,2.25,518400
2000-01-05,2.2085,2.2085,2.0625,1800000
2000-01-06,2.045,2.0625,2.0,2559600
2000-01-07,2.0,2.2085,2.2085,2153100
2000-01-10,2.335,2.3545,2.25,1212900
2000-01-11,2.23,2.3335,2.2295,783000
2000-01-12,2.27,2.3335,2.2085,772200
2000-01-13,2.23,2.3125,2.3125,1608300
2000-01-14,2.355,2.5415,2.396,2369700
2000-01-17,2.355,2.5415,2.396,0
2000-01-18,2.335,2.5,2.396,963300
2000-01-19,2.2085,2.2085,1.625,10565700
2000-01-20,1.645,1.7915,1.771,5778600
2000-01-21,1.795,1.9585,1.9165,6084600
2000-01-24,1.895,1.9165,1.6665,3576300
2000-01-25,1.71,1.7915,1.646,1853400
2000-01-26,1.665,1.75,1.646,1546200
2000-01-27,1.665,1.6665,1.5835,1993800
2000-01-28,1.5835,1.5835,1.521,1328400
2000-01-31,1.545,1.5835,1.5415,1049100
2000-02-01,1.5835,1.5835,1.521,2383800
2000-02-02,1.545,1.6045,1.5625,1445700
2000-02-03,1.5625,1.5625,1.521,4986600
2000-02-04,1.5,1.521,1.4585,2919300
2000-02-07,1.46,1.5,1.4585,1455600
2000-02-08,1.48,1.5,1.4585,873000
2000-02-09,1.46,1.4795,1.4165,1524900
2000-02-10,1.415,1.4375,1.3335,1789800
2000-02-11,1.335,1.396,1.3545,2527200
2000-02-14,1.355,1.396,1.25,2811000
2000-02-15,1.25,1.3335,1.2915,2350800
2000-02-16,1.315,1.3335,1.2915,1055400
2000-02-17,1.315,1.3335,1.3125,2709000
2000-02-18,1.271,1.3125,1.271,1063500
2000-02-21,1.271,1.3125,1.271,0
2000-02-22,1.27,1.3125,1.271,988200
2000-02-23,1.315,1.3335,1.2915,888600
2000-02-24,1.3125,1.3125,1.2915,910500
2000-02-25,1.3125,1.3125,1.1665,2386800
2000-02-28,1.165,1.1665,1.0415,4963800
2000-02-29,1.085,1.125,1.0,2095200
2000-03-01,1.0,1.0415,0.9585,2486400
2000-03-02,0.835,1.0415,1.0415,12602400
2000-03-03,1.065,1.0835,1.0,2180700
2000-03-06,1.085,1.25,1.1665,2396700
2000-03-07,1.165,1.2085,1.1665,1963500
2000-03-08,1.165,1.1875,1.146,1114500
2000-03-09,1.125,1.25,1.1045,2439000
2000-03-10,1.1045,1.1045,1.0415,759300
2000-03-13,1.02,1.0625,0.9585,1875300
2000-03-14,0.98,1.0,1.0,1673400
2000-03-15,1.0,1.0,0.8959999999999999,5955900
2000-03-16,0.895,0.9585,0.9585,1356600
2000-03-17,0.9165,0.9585,0.9585,974100
2000-03-20,0.935,0.9585,0.8959999999999999,2575800
2000-03-21,0.875,0.9165,0.8545,3794100
2000-03-22,0.855,0.875,0.8545,2763300
2000-03-23,0.855,0.8959999999999999,0.8545,3479100
2000-03-24,0.875,1.0835,1.0,4530300
2000-03-27,0.9795,0.9795,0.875,2176200
2000-03-28,0.875,0.9165,0.875,3159000
2000-03-29,0.875,0.8959999999999999,0.8959999999999999,1092300
2000-03-30,0.9165,1.021,0.9795,1827900
2000-03-31,1.0,1.0835,1.0415,1781100
2000-04-03,1.0625,1.0625,1.0,899400
2000-04-04,1.0415,1.0415,1.021,1104000
2000-04-05,1.02,1.0415,1.021,950400
2000-04-06,1.045,1.0625,1.0415,1057500
2000-04-07,1.045,1.0835,1.0625,488100
2000-04-10,1.125,1.1665,1.1665,1349700
2000-04-11,1.23,1.4795,1.4795,2359500
2000-04-12,1.395,1.396,1.1665,3267300
2000-04-13,1.165,1.1665,1.1045,2264100
2000-04-14,1.065,1.125,0.8959999999999999,11777400
2000-04-17,0.915,0.9795,0.9165,2560500
2000-04-18,0.96,1.021,1.0,2129100
2000-04-19,1.0,1.0415,1.0415,2095800
2000-04-20,1.045,1.0835,0.9795,1423800
2000-04-21,1.045,1.0835,0.9795,0
2000-04-24,1.0,1.0,0.9585,984300
2000-04-25,1.0,1.0,0.9165,1021500
2000-04-26,0.915,1.0,0.9375,822300
2000-04-27,0.8959999999999999,0.9585,0.8959999999999999,956100
2000-04-28,0.915,0.9795,0.9585,772500
2000-05-01,0.98,1.0,1.0,1220400
2000-05-02,1.0,1.021,0.9795,492000
2000-05-03,1.0,1.0,0.9585,608100
2000-05-04,0.9375,0.9585,0.9375,965100
2000-05-05,0.935,0.9795,0.9795,421200
2000-05-08,0.935,0.9585,0.9165,987000
2000-05-09,0.935,0.9375,0.875,1095600
2000-05-10,0.875,0.9165,0.9165,1032300
2000-05-11,1.085,1.375,1.375,6360900
2000-05-12,1.415,1.4795,1.375,3804300
2000-05-15,1.355,1.5415,1.4375,1885200
2000-05-16,1.415,1.4795,1.4585,2350800
2000-05-17,1.4585,1.4585,1.4165,780900
2000-05-18,1.415,1.4375,1.4375,486300
2000-05-19,1.435,1.4375,1.4375,400500
2000-05-22,1.435,1.4375,1.3335,912900
2000-05-23,1.3335,1.3335,1.2085,715500
2000-05-24,1.185,1.2295,1.2295,624600
2000-05-25,1.23,1.25,1.2085,748800
2000-05-26,1.1875,1.3125,1.2915,697800
2000-05-29,1.1875,1.3125,1.2915,0
2000-05-30,1.295,1.375,1.375,813900
2000-05-31,1.335,1.396,1.3125,594600
2000-06-01,1.3335,1.3335,1.3125,655800
2000-06-02,1.315,1.3335,1.3335,381900
2000-06-05,1.335,1.3545,1.3335,332700
2000-06-06,1.355,1.4375,1.396,1450800
2000-06-07,1.396,1.4795,1.4585,866400
2000-06-08,1.4795,1.4795,1.3335,676800
2000-06-09,1.3335,1.3335,1.3125,757200
2000-06-12,1.335,1.3545,1.2915,1473000
2000-06-13,1.335,1.4165,1.4165,1453200
2000-06-14,1.46,1.7295,1.6875,3901200
2000-06-15,1.71,1.8125,1.8125,2116200
2000-06-16,1.815,1.8335,1.771,852300
2000-06-19,1.771,1.9795,1.9585,994500
2000-06-20,2.0,2.0,1.8545,1745700
2000-06-21,1.855,1.896,1.7915,563700
2000-06-22,1.815,1.9795,1.8545,930600
