Date,Open,High,Low,Close,Volume
2018-02-02,1.44,1.51,1.42,1.42,1401
2018-01-23,1.45,1.45,1.44,1.44,450
2018-01-22,1.55,1.55,1.45,1.45,150
2018-01-19,1.5,1.5,1.45,1.45,1918
2018-01-17,1.6,1.64,1.5,1.5,999
2018-01-15,1.53,1.53,1.53,1.53,1
2018-01-12,1.55,1.55,1.55,1.55,99
2018-01-10,1.57,1.7,1.52,1.55,1050
2018-01-08,1.72,1.72,1.52,1.52,474
2018-01-05,1.51,1.72,1.41,1.52,1301
2018-01-04,1.68,1.68,1.5,1.5,500
2018-01-03,1.8,2.0,1.7,1.7,514
2017-12-29,1.8,2.0,1.8,2.0,351
2017-12-28,1.65,1.65,1.65,1.65,1
2017-12-27,1.8,1.8,1.7,1.79,464
2017-12-22,1.7,1.7,1.61,1.65,4342
2017-12-21,1.7,1.7,1.61,1.61,101
2017-12-19,1.7,1.8,1.61,1.61,1950
2017-12-18,1.61,1.9,1.61,1.7,303
2017-12-14,1.91,1.91,1.6,1.6,373
2017-12-08,2.1,2.3,1.92,1.92,201
2017-12-06,2.3,2.3,1.92,2.1,234
2017-12-05,2.1,2.3,2.0,2.3,310
2017-11-30,1.9,2.0,1.82,1.91,201
2017-11-29,1.9,2.0,1.75,1.9,291
2017-11-28,2.4,2.4,2.0,2.0,210
2017-11-27,2.5,2.55,2.5,2.55,105
2017-11-22,2.58,2.58,2.58,2.58,5
2017-11-21,2.14,2.55,1.9,2.54,2348
2017-11-20,1.9,2.0,1.7,1.8,921
2017-11-17,2.0,2.25,1.8,1.9,1818
2017-11-16,2.0,2.25,2.0,2.0,110
2017-11-15,2.55,2.55,2.25,2.25,800
2017-11-14,2.2,2.6,2.1,2.6,803
2017-11-13,2.2,2.2,2.2,2.2,872
2017-10-27,2.2,2.2,2.0,2.2,410
2017-10-26,2.4,2.4,2.4,2.4,140
2017-10-20,2.4,2.7,2.4,2.7,300
2017-10-17,2.4,2.6,2.2,2.6,885
2017-10-11,2.5,2.5,2.5,2.5,100
2017-10-03,2.7,2.7,2.7,2.7,6
2017-10-02,2.65,2.7,2.65,2.7,534
2017-09-26,2.5,2.5,2.4,2.4,131
2017-09-15,2.6,2.6,2.6,2.6,100
