Date,Open,High,Low,Close,Volume
2018-02-05,3.0,3.0,2.88,2.88,690
2018-02-02,2.96,3.0,2.96,3.0,685
2018-01-31,3.02,3.42,3.02,3.42,2754
2018-01-29,3.02,3.02,3.02,3.02,4
2018-01-26,3.02,3.02,3.02,3.02,4
2018-01-25,3.02,3.02,3.02,3.02,5
2018-01-24,3.02,3.02,3.02,3.02,4
2018-01-23,3.02,3.02,3.02,3.02,4
2018-01-18,3.3,3.3,2.82,3.02,1654
2018-01-17,2.9,3.46,2.9,3.46,420
2018-01-16,2.6,3.1,2.6,3.1,2090
2018-01-15,2.76,2.76,2.62,2.62,90
2018-01-12,2.94,2.94,2.76,2.76,647
2018-01-11,3.1,3.7,3.1,3.7,82
2018-01-10,2.64,3.1,2.64,3.1,555
2018-01-09,2.62,2.62,2.5,2.5,475
2018-01-04,2.76,2.76,2.62,2.62,525
2018-01-03,2.88,2.88,2.88,2.88,90
2017-12-29,2.89,2.89,2.89,2.89,7
2017-12-28,2.89,2.89,2.89,2.89,7
2017-12-27,2.89,2.89,2.89,2.89,10
2017-12-20,2.89,2.89,2.88,2.88,250
2017-12-13,2.98,3.0,2.98,3.0,360
2017-12-07,2.68,2.84,2.68,2.84,835
2017-12-06,2.5,2.68,2.5,2.68,120
2017-12-05,2.8,2.8,2.4,2.4,2255
2017-12-04,2.75,2.81,2.75,2.81,799
2017-12-01,2.8,2.8,2.8,2.8,20
2017-11-28,3.0,3.0,3.0,3.0,120
2017-11-27,2.9,2.9,2.9,2.9,455
2017-11-24,3.75,3.75,3.0,3.5,2318
2017-11-23,4.0,4.0,4.0,4.0,30
2017-11-22,5.01,5.01,4.02,4.02,894
2017-11-21,5.5,5.5,5.5,5.5,323
2017-11-17,5.7,5.91,5.3,5.91,469
2017-11-16,7.1,7.1,7.1,7.1,1
2017-11-15,6.0,6.0,6.0,6.0,170
2017-11-14,6.88,6.88,6.4,6.4,176
2017-11-13,8.0,8.0,6.41,6.41,1193
2017-11-10,6.66,7.99,6.66,7.99,445
2017-11-09,5.45,6.49,5.45,6.49,354
2017-11-08,5.75,5.75,5.45,5.45,588
2017-11-07,4.55,5.46,4.55,5.46,297
2017-11-06,4.3,4.8,3.8,4.2,125
2017-11-03,4.46,5.35,4.46,5.35,290
2017-11-02,4.0,4.46,4.0,4.46,5282
2017-10-30,3.8,4.0,3.8,4.0,90
2017-10-24,3.2,3.2,3.2,3.2,10
2017-10-23,4.0,4.0,3.2,3.2,250
2017-10-20,4.95,5.26,4.0,4.0,880
2017-10-19,5.0,5.35,4.5,4.5,498
2017-10-18,5.21,5.21,5.0,5.0,350
2017-10-17,5.03,5.03,5.03,5.03,3
2017-10-16,5.03,5.03,5.03,5.03,3
2017-10-10,5.03,5.03,5.03,5.03,3
2017-10-09,5.03,5.03,5.03,5.03,3
2017-10-06,5.03,5.03,5.03,5.03,3
2017-10-05,5.03,5.03,5.03,5.03,5
2017-10-04,5.15,5.15,5.05,5.05,210
2017-10-03,5.15,5.15,5.15,5.15,1
2017-09-20,5.2,5.2,5.2,5.2,100
2017-09-19,5.2,5.2,5.2,5.2,4
2017-09-14,5.2,5.2,5.2,5.2,1
2017-09-13,5.59,5.59,5.59,5.59,1
2017-09-06,5.59,5.59,5.59,5.59,3
2017-09-05,5.85,5.85,5.45,5.45,191
2017-09-04,5.4,5.45,5.4,5.45,272
2017-09-01,6.0,6.0,6.0,6.0,2
2017-08-31,6.0,6.0,6.0,6.0,170
2017-08-28,6.45,6.45,6.45,6.45,1
2017-08-25,6.35,6.35,5.4,5.4,248
2017-08-22,6.5,6.5,6.5,6.5,10
2017-08-21,6.53,6.53,6.53,6.53,2
2017-08-18,6.8,6.8,6.6,6.6,160
2017-08-17,6.8,6.8,6.8,6.8,180
2017-08-14,7.05,7.05,6.95,6.95,50
2017-08-11,7.2,7.2,7.2,7.2,2
2017-08-10,7.2,7.2,7.2,7.2,4
2017-08-09,7.7,7.7,7.3,7.3,157
2017-08-08,7.7,7.7,7.7,7.7,2
2017-08-07,7.7,7.7,7.7,7.7,2
2017-08-04,7.7,7.7,7.7,7.7,2
2017-08-03,7.7,7.7,7.7,7.7,2
2017-08-02,7.7,7.7,7.7,7.7,2
2017-08-01,7.7,7.7,7.7,7.7,2
2017-07-28,7.7,7.7,7.6,7.6,132
2017-07-14,7.6,7.9,7.6,7.9,128
2017-06-09,7.52,7.52,7.52,7.52,86
2017-06-08,7.25,7.25,7.25,7.25,96
2017-05-25,7.35,7.35,7.35,7.35,25
2017-05-23,7.6,7.6,7.55,7.55,1527
2017-05-22,7.6,7.6,7.6,7.6,530
2017-05-17,7.6,7.6,7.6,7.6,78
2017-05-16,7.62,7.62,7.6,7.6,352
2017-05-09,7.6,7.6,7.6,7.6,188
2017-05-08,7.6,7.62,7.6,7.6,292
2017-05-05,7.6,7.6,7.6,7.6,600
2017-05-04,7.75,7.75,7.6,7.6,455
2017-04-26,7.6,7.95,7.6,7.8,470
2017-04-25,7.6,7.6,7.6,7.6,10
2017-04-24,7.85,7.85,7.6,7.6,320
2017-04-21,7.6,7.6,7.55,7.55,402
2017-04-18,7.85,7.85,7.6,7.6,495
2017-04-12,8.2,8.2,8.2,8.2,30
2017-04-05,7.8,7.8,7.8,7.8,5
2017-04-04,7.8,7.8,7.8,7.8,232
2017-04-03,7.8,7.8,7.8,7.8,2
2017-03-31,7.8,7.8,7.8,7.8,1503
2017-03-30,7.85,7.85,7.8,7.8,1000
2017-03-29,8.1,8.1,8.1,8.1,30
2017-03-27,7.95,7.95,7.95,7.95,130
2017-03-24,7.5,7.5,7.5,7.5,3
2017-03-23,7.9,7.9,7.5,7.5,525
2017-03-22,7.75,7.75,7.5,7.5,1377
2017-03-20,7.95,7.95,7.95,7.95,130
2017-03-17,7.8,7.95,7.8,7.95,533
2017-03-16,8.05,8.05,7.4,7.4,302
2017-03-15,8.05,8.05,8.05,8.05,3
2017-03-14,8.05,8.05,8.05,8.05,2
2017-03-13,8.05,8.05,8.05,8.05,2
2017-03-10,8.05,8.05,8.05,8.05,200
2017-03-07,8.1,8.1,7.71,7.71,590
2017-03-06,8.1,8.1,8.1,8.1,130
