Date,Open,High,Low,Close,Volume
2018-02-02,2.62,2.62,2.62,2.62,189
2018-02-01,2.62,2.62,2.62,2.62,1
2018-01-31,2.5,2.72,2.5,2.62,2094
2018-01-30,2.72,2.72,2.5,2.5,895
2018-01-29,2.66,2.66,2.66,2.66,2850
2018-01-25,2.6,2.66,2.56,2.66,1953
2018-01-24,2.64,2.64,2.64,2.64,11
2018-01-23,2.52,2.66,2.52,2.66,1769
2018-01-19,2.66,2.66,2.56,2.66,2151
2018-01-18,2.66,2.66,2.66,2.66,1
2018-01-17,2.66,2.66,2.66,2.66,1
2018-01-16,2.66,2.66,2.66,2.66,1
2018-01-15,2.66,2.66,2.5,2.66,951
2018-01-12,2.66,2.66,2.5,2.66,13869
2018-01-11,2.54,2.66,2.54,2.66,172
2018-01-10,2.5,2.56,2.5,2.56,465
2018-01-09,2.66,2.66,2.5,2.66,1258
2018-01-08,2.66,2.66,2.66,2.66,1
2018-01-05,2.66,2.66,2.66,2.66,1
2018-01-04,2.66,2.66,2.66,2.66,1
2018-01-03,2.6,2.6,2.6,2.6,2
2017-12-29,2.65,2.65,2.6,2.6,771
2017-12-28,2.65,2.65,2.65,2.65,1
2017-12-27,2.65,2.65,2.5,2.65,727
2017-12-22,2.55,2.64,2.51,2.64,7415
2017-12-20,2.63,2.64,2.63,2.64,4
2017-12-19,2.65,2.65,2.55,2.64,607
2017-12-18,2.65,2.65,2.65,2.65,1
2017-12-15,2.65,2.65,2.65,2.65,1
2017-12-14,2.65,2.65,2.64,2.64,5
2017-12-13,2.58,2.64,2.4,2.64,4585
2017-12-12,2.41,2.64,2.41,2.64,1784
2017-12-08,2.64,2.64,2.64,2.64,1
2017-12-07,2.58,2.65,2.58,2.64,102
2017-12-06,2.54,2.54,2.54,2.54,994
2017-12-05,2.35,2.55,2.33,2.33,360
2017-12-04,2.58,2.58,2.58,2.58,1
2017-12-01,2.58,2.58,2.57,2.58,43
2017-11-30,2.55,2.58,2.55,2.58,2
2017-11-29,2.35,2.5,2.35,2.5,801
2017-11-27,2.5,2.59,2.5,2.59,1503
2017-11-24,2.54,2.54,2.54,2.54,101
2017-11-23,2.55,2.55,2.55,2.55,2
2017-11-22,2.65,2.65,2.39,2.55,3602
2017-11-21,2.54,2.54,2.53,2.54,700
2017-11-20,2.6,2.6,2.59,2.59,751
2017-11-17,2.61,2.62,2.54,2.54,500
2017-11-16,2.4,2.4,2.2,2.38,18662
2017-11-15,2.6,2.6,2.4,2.4,114046
2017-11-14,2.5,2.5,2.4,2.47,2006
2017-11-13,2.7,2.7,2.4,2.47,15932
2017-11-10,2.5,2.69,2.5,2.52,3079
2017-11-09,2.52,2.7,2.52,2.55,12406
2017-11-08,2.7,2.7,2.55,2.55,6057
2017-11-07,2.65,2.7,2.65,2.7,101
2017-11-06,2.88,2.88,2.7,2.7,414
2017-11-03,2.75,2.75,2.75,2.75,1
2017-11-02,2.75,2.75,2.56,2.74,21133
2017-10-31,2.75,2.75,2.75,2.75,150
2017-10-30,2.77,2.77,2.65,2.75,6766
2017-10-27,2.89,2.89,2.7,2.78,12770
2017-10-26,2.79,2.8,2.72,2.78,6403
2017-10-25,2.72,2.93,2.71,2.93,705
