Date,Open,High,Low,Close,Volume
2017-03-31,0.65,0.7,0.65,0.7,176.0
2017-03-30,0.69,0.7,0.69,0.7,26.0
2017-03-28,0.65,0.68,0.62,0.62,152.0
2017-03-27,0.61,0.61,0.61,0.61,100.0
2017-03-24,0.78,0.84,0.61,0.61,8642.0
2017-03-23,0.72,0.72,0.71,0.71,1530.0
2017-03-22,0.77,0.79,0.74,0.79,1601.0
2017-03-21,0.83,0.84,0.83,0.84,51.0
2017-03-20,0.73,0.78,0.73,0.78,1100.0
2017-03-17,0.73,0.85,0.72,0.85,2491.0
2017-03-16,0.82,0.82,0.82,0.82,51.0
2017-03-13,0.76,0.76,0.76,0.76,470.0
2017-03-10,0.85,0.85,0.75,0.75,4810.0
2017-03-09,0.9,0.91,0.78,0.9,4272.0
2017-03-08,0.91,0.93,0.85,0.85,3195.0
2017-03-07,0.98,1.05,0.9,0.9,1706.0
2017-03-06,1.03,1.13,0.98,0.98,1727.0
2017-03-03,1.0,1.15,1.0,1.15,1241.0
2017-03-02,0.88,1.03,0.85,1.03,1031.0
2017-03-01,0.93,0.93,0.93,0.93,500.0
2017-02-28,0.8,0.93,0.8,0.93,865.0
2017-02-27,0.86,0.86,0.8,0.8,4100.0
2017-02-24,1.0,1.1,0.86,0.86,4326.0
2017-02-23,1.01,1.01,0.95,1.0,1876.0
2017-02-22,1.07,1.08,1.0,1.0,1875.0
2017-02-21,1.1,1.11,1.07,1.07,1515.0
2017-02-20,1.18,1.28,1.1,1.1,3180.0
2017-02-17,1.34,1.35,1.16,1.18,2221.0
2017-02-16,1.35,1.35,1.34,1.34,30.0
2017-02-15,1.35,1.35,1.35,1.35,1210.0
2017-02-14,1.64,1.65,1.35,1.35,1316.0
2017-02-08,1.47,1.7,1.47,1.7,746.0
2017-02-07,1.48,1.5,1.48,1.5,20.0
2017-02-06,1.45,1.48,1.45,1.48,76.0
2017-02-03,1.45,1.45,1.45,1.45,56.0
2017-02-02,1.35,1.35,1.35,1.35,245.0
2017-02-01,1.35,1.35,1.25,1.35,1535.0
2017-01-31,1.48,1.49,1.35,1.35,77.0
2017-01-27,1.48,1.48,1.48,1.48,11.0
2017-01-03,1.4,1.49,1.4,1.49,113.0
