Date,Open,High,Low,Close,Volume
2018-01-26,1.25,1.25,1.2,1.2,74
2018-01-11,1.15,1.2,1.15,1.2,980
2018-01-10,1.09,1.1,1.09,1.1,310
2018-01-09,1.05,1.05,1.05,1.05,500
2018-01-08,1.1,1.1,1.0,1.0,5020
2018-01-05,1.25,1.25,1.0,1.0,6180
2018-01-04,1.25,1.35,1.25,1.35,70
2018-01-03,1.1,1.1,1.0,1.1,1420
2017-12-21,1.1,1.1,1.05,1.05,70
2017-12-20,1.1,1.32,1.1,1.32,2010
2017-12-19,1.3,1.3,1.1,1.1,1435
2017-12-18,1.39,1.39,1.39,1.39,60
2017-12-15,1.39,1.39,1.39,1.39,10
2017-12-14,1.39,1.39,1.39,1.39,15
2017-12-13,1.3,1.38,1.18,1.38,1259
2017-12-11,1.25,1.38,1.02,1.3,187862
2017-12-08,1.39,1.39,1.39,1.39,10
2017-12-07,1.3,1.39,1.3,1.39,800
2017-12-05,1.27,1.3,1.25,1.25,2080
2017-12-04,1.27,1.27,1.27,1.27,20
2017-11-30,1.3,1.3,1.27,1.27,1000
2017-11-29,1.28,1.5,1.28,1.4,7435
2017-11-28,1.5,1.5,1.5,1.5,10
2017-11-27,1.5,1.5,1.5,1.5,20
2017-11-24,1.5,1.5,1.5,1.5,10
2017-11-23,1.5,1.5,1.5,1.5,80
2017-11-22,1.5,1.5,1.5,1.5,20
2017-11-21,1.5,1.5,1.5,1.5,10
2017-11-17,1.49,1.49,1.49,1.49,10
2017-11-14,1.45,1.45,1.45,1.45,1100
2017-11-13,1.5,1.5,1.44,1.44,70
2017-11-10,1.47,1.48,1.47,1.48,33290
2017-11-09,1.48,1.48,1.48,1.48,10
2017-11-08,1.48,1.48,1.48,1.48,10
2017-11-06,1.45,1.5,1.45,1.5,5137
2017-11-03,1.61,1.61,1.5,1.5,3250
2017-11-02,1.52,1.7,1.4,1.5,15854
2017-10-31,1.79,1.79,1.44,1.52,5877
2017-10-30,1.42,1.8,1.4,1.8,42520
2017-10-27,1.6,1.6,1.28,1.45,56732
2017-10-26,1.71,1.71,1.55,1.59,4720
2017-10-25,2.0,2.0,1.73,1.75,4827
2017-10-24,1.45,1.71,1.45,1.7,31579
2017-10-23,1.37,1.4,1.37,1.4,940
2017-10-20,1.38,1.38,1.27,1.37,1700
2017-10-17,1.55,1.55,1.45,1.5,810
2017-10-16,1.4,1.53,1.4,1.53,510
2017-10-13,1.55,1.55,1.4,1.4,660
2017-10-12,1.4,1.6,1.27,1.56,5785
2017-10-11,1.35,1.4,1.3,1.4,490
2017-10-10,1.43,1.43,1.43,1.43,10
2017-10-09,1.43,1.43,1.43,1.43,710
2017-10-06,1.49,1.55,1.48,1.49,10371
2017-10-05,1.5,1.58,1.48,1.48,5210
2017-10-04,1.41,1.58,1.39,1.58,10049
2017-10-03,1.35,1.36,1.35,1.35,3139
2017-10-02,1.35,1.35,1.29,1.35,1022
2017-09-29,1.28,1.31,1.21,1.28,11876
2017-09-28,1.28,1.28,1.28,1.28,291
2017-09-27,1.24,1.28,1.24,1.28,3010
2017-09-26,1.21,1.23,1.21,1.23,790
2017-09-25,1.17,1.21,1.17,1.21,1470
2017-09-22,1.1,1.17,1.1,1.17,800
2017-09-21,1.09,1.1,1.09,1.1,1000
2017-09-13,1.09,1.09,1.09,1.09,500
