Date,Open,High,Close,Volume
2000-01-03,43.0,43.313,40.604,4650300
2000-01-04,39.73,39.833,36.667,6012000
2000-01-05,36.63,36.875,35.833,9397200
2000-01-06,35.55,36.083,35.0,7239000
2000-01-07,35.3,38.958,38.958,11063400
2000-01-10,40.21,40.313,39.333,5444400
2000-01-11,37.96,38.208,35.813,5808300
2000-01-12,36.13,36.208,34.583,5897100
2000-01-13,34.97,39.167,38.917,8186100
2000-01-14,39.29,39.417,37.333,5630100
2000-01-17,39.29,39.417,37.333,0
2000-01-18,37.36,43.042,41.833,10886700
2000-01-19,41.85,46.667,44.563,13847700
2000-01-20,46.29,52.625,51.917,18881700
2000-01-21,52.26,54.417,54.0,13561200
2000-01-24,53.95,58.5,51.667,13180200
2000-01-25,50.87,51.667,50.417,12115500
2000-01-26,50.95,53.25,52.0,19959900
2000-01-27,52.86,58.833,54.0,14714100
2000-01-28,53.78,55.5,49.0,11951700
2000-01-31,48.97,52.833,51.417,9003600
2000-02-01,49.95,50.583,49.083,9310800
2000-02-02,49.08,49.979,49.417,7194900
2000-02-03,49.95,51.417,51.417,9299700
2000-02-04,52.61,55.958,54.958,9867000
2000-02-07,54.82,55.208,55.208,5970600
2000-02-08,55.94,56.75,56.604,6993900
2000-02-09,56.49,56.563,55.0,4882500
2000-02-10,54.61,59.917,57.167,8509800
2000-02-11,57.24,57.625,55.25,4732500
2000-02-14,55.28,60.167,60.0,12053100
2000-02-15,59.57,60.292,58.583,10077300
2000-02-16,58.52,59.75,59.333,6396000
2000-02-17,59.69,64.167,63.688,10393800
2000-02-18,63.62,64.979,64.438,8012700
2000-02-21,63.62,64.979,64.438,0
2000-02-22,65.27,66.021,63.333,7690800
2000-02-23,63.6,63.75,62.75,7913700
2000-02-24,63.15,64.75,64.083,5965500
2000-02-25,64.35,64.5,62.604,4480800
2000-02-28,62.31,62.542,58.958,10694700
2000-02-29,60.44,62.833,62.667,8166600
2000-03-01,63.3333,67.667,67.667,9394500
2000-03-02,66.6,69.083,68.625,8546400
2000-03-03,68.89,69.313,68.417,8631000
2000-03-06,69.01,70.813,69.875,7219800
2000-03-07,71.26,72.292,65.667,9945900
2000-03-08,66.89,68.042,62.958,11710500
2000-03-09,63.81,66.292,64.958,8103899
2000-03-10,65.18,67.0,63.833,6098400
2000-03-13,60.94,62.521,61.521,7131600
2000-03-14,61.94,62.625,59.5,7701000
2000-03-15,58.69,58.771,56.75,11393400
2000-03-16,60.27,60.333,58.125,14793000
2000-03-17,59.86,65.333,63.125,14572500
2000-03-20,63.94,66.625,65.667,8072100
2000-03-21,65.02,65.313,64.0,7923300
2000-03-22,66.18,68.167,68.0,10652700
2000-03-23,68.1,75.333,73.313,12723900
2000-03-24,73.26,75.479,71.458,6896100
2000-03-27,71.37,71.479,69.667,5853900
2000-03-28,69.53,69.604,68.271,6826500
2000-03-29,68.2,68.625,65.833,8520000
2000-03-30,64.44,66.042,62.667,9981000
2000-03-31,62.6,65.729,64.667,9521700
2000-04-03,65.27,65.333,60.313,8222099
2000-04-04,61.11,61.667,56.0,20235300
2000-04-05,54.61,58.167,55.333,14531400
2000-04-06,55.69,58.625,58.542,8310300
2000-04-07,59.3333,66.0,65.333,8077199
2000-04-10,65.12,65.417,63.063,7559400
2000-04-11,59.27,60.083,56.75,11293200
2000-04-12,56.19,56.75,51.333,14435400
2000-04-13,51.03,56.25,51.01,14305500
2000-04-14,49.45,52.333,48.0,16483500
2000-04-17,47.04,50.667,49.5,17205000
2000-04-18,49.28,53.667,52.417,12952800
2000-04-19,53.45,54.625,53.333,9607500
2000-04-20,53.28,53.5,50.708,6183300
2000-04-21,53.28,53.5,50.708,0
2000-04-24,49.28,51.542,50.333,6937800
2000-04-25,55.94,60.0,59.667,14082300
2000-04-26,59.94,61.75,60.25,8816700
2000-04-27,59.61,65.0,63.313,9408000
2000-04-28,64.85,67.0,65.833,7642200
2000-05-01,65.3333,66.917,66.5,5603400
2000-05-02,65.93,66.583,63.938,6157500
2000-05-03,63.92,64.25,60.333,10076100
2000-05-04,59.94,61.313,60.542,5294700
2000-05-05,60.77,63.604,63.021,5195100
2000-05-08,62.1,62.271,61.125,4237800
2000-05-09,61.73,62.0,59.417,4848300
2000-05-10,58.28,58.5,57.583,8834100
2000-05-11,57.78,61.75,60.5,7548600
2000-05-12,60.8333,64.979,62.563,7761300
2000-05-15,61.94,62.25,59.75,4958100
2000-05-16,65.083,65.083,64.583,11115000
2000-05-17,63.27,66.646,65.167,7578300
2000-05-18,65.77,66.5,63.417,5774700
2000-05-19,62.85,63.708,60.813,5823600
2000-05-22,60.79,61.167,58.333,8139900
2000-05-23,57.94,58.667,54.667,6895800
2000-05-24,54.78,57.292,56.667,9766800
2000-05-25,57.94,59.125,57.667,6900600
2000-05-26,57.61,58.792,56.0,3710100
2000-05-29,57.61,58.792,56.0,0
2000-05-30,58.94,62.396,61.583,6134100
2000-05-31,64.479,64.479,64.479,9127200
2000-06-01,64.44,65.5,64.833,6087300
2000-06-02,66.56,70.146,69.625,11026800
2000-06-05,68.43,71.792,70.333,7671000
2000-06-06,70.7,73.979,72.417,9321900
2000-06-07,71.76,72.75,70.417,8639700
2000-06-08,70.85,72.646,71.0,5715900
2000-06-09,71.43,72.333,70.667,3668400
2000-06-12,76.55,78.313,76.667,13647900
2000-06-13,76.47,82.667,82.667,13082100
2000-06-14,80.5,81.875,79.0,9681000
2000-06-15,79.21,83.31299999999999,83.0,9310800
2000-06-16,81.96,82.75,82.167,6673200
2000-06-19,81.6,85.729,84.104,6794100
2000-06-20,82.75,83.333,81.104,9042600
2000-06-21,80.55,82.833,80.646,6379800
2000-06-22,80.71,82.125,80.0,5355000
2000-06-23,80.55,82.833,80.0,5578500
2000-06-26,81.59,87.979,86.729,7864800
2000-06-27,85.25,86.542,84.417,6786600
2000-06-28,84.25,89.792,88.333,8028600
2000-06-29,88.1,90.333,88.833,8420700
2000-06-30,88.74,89.958,89.958,6388500
2000-07-03,89.41,91.667,91.167,2525400
2000-07-04,89.41,91.667,91.167,0
2000-07-05,91.08,92.625,85.417,8580900
2000-07-06,85.16,85.583,83.0,11835300
2000-07-07,83.08,86.646,85.56299999999999,7910700
2000-07-10,85.56,87.479,81.667,11260800
2000-07-11,81.25,84.5,83.5,7401300
2000-07-12,83.92,85.625,84.917,6035700
2000-07-13,85.41,89.0,87.0,5260500
2000-07-14,87.16,89.542,89.0,5167800
2000-07-17,92.57,94.31299999999999,92.93799999999999,11424600
2000-07-18,92.82,94.333,91.875,6509700
2000-07-19,91.78,92.667,89.771,4918500
2000-07-20,90.68,92.5,91.875,5462400
2000-07-21,93.24,95.333,94.583,5740500
2000-07-24,89.58,91.167,83.25,20515200
2000-07-25,84.58,86.917,86.0,10554300
2000-07-26,86.25,90.167,86.0,9837900
2000-07-27,89.24,91.667,82.917,11623800
2000-07-28,83.33,84.25,77.667,18633300
2000-07-31,77.59,78.583,78.083,11388900
2000-08-01,78.59,79.833,77.896,7380900
2000-08-02,77.92,81.333,79.938,8251200
2000-08-03,79.59,82.833,82.75,11495700
2000-08-04,84.92,88.646,88.125,9312000
2000-08-07,88.12,94.75,91.5,11077800
2000-08-08,91.24,95.5,95.0,9813600
2000-08-09,95.32,96.646,91.958,10502700
2000-08-10,91.24,93.25,90.875,5617500
2000-08-11,90.79,93.25,91.667,5311800
2000-08-14,91.59,95.208,93.708,6047400
2000-08-15,93.57,94.875,92.667,5702700
2000-08-16,92.91,98.333,96.271,4316400
2000-08-17,94.62,97.833,97.0,9295500
2000-08-18,97.57,100.0,99.979,7982100
2000-08-21,99.57,101.0,99.604,6242100
2000-08-22,99.57,101.5,100.167,5641200
2000-08-23,99.23,100.31299999999999,99.0,4724400
2000-08-24,99.32,100.583,100.06299999999999,4778100
2000-08-25,99.96,101.042,100.5,3453900
2000-08-28,101.23,105.5,103.75,6175200
2000-08-29,103.81,104.792,103.208,5264100
2000-08-30,105.8332,109.0,108.333,12864600
2000-08-31,108.89,110.0,109.333,7785900
