Date,Open,High,Low,Close,Volume
2018-02-02,3.54,3.54,3.44,3.54,37699
2018-02-01,3.58,3.58,3.52,3.54,19822
2018-01-31,3.6,3.67,3.49,3.5,33605
2018-01-30,3.68,3.68,3.51,3.55,38427
2018-01-29,3.68,3.68,3.52,3.59,45164
2018-01-26,3.64,3.64,3.49,3.62,15219
2018-01-25,3.68,3.68,3.63,3.64,38690
2018-01-24,3.68,3.68,3.63,3.67,1282
2018-01-23,3.68,3.69,3.64,3.69,55741
2018-01-22,3.65,3.69,3.65,3.68,62599
2018-01-19,3.6,3.66,3.53,3.6,20189
2018-01-18,3.6,3.6,3.49,3.57,4142
2018-01-17,3.47,3.66,3.47,3.6,132166
2018-01-16,3.5,3.52,3.4,3.5,140164
2018-01-15,3.53,3.53,3.41,3.5,3581
2018-01-12,3.48,3.54,3.43,3.46,76185
2018-01-11,3.4,3.47,3.35,3.41,10916
2018-01-10,3.37,3.4,3.33,3.36,45453
2018-01-09,3.34,3.38,3.34,3.36,39782
2018-01-08,3.34,3.36,3.33,3.34,15760
2018-01-05,3.28,3.35,3.27,3.32,66648
2018-01-04,3.26,3.29,3.21,3.24,36124
2018-01-03,3.17,3.26,3.17,3.25,22626
2017-12-29,3.32,3.32,3.2,3.2,13302
2017-12-28,3.21,3.3,3.18,3.26,7510
2017-12-27,3.22,3.3,3.21,3.21,26634
2017-12-22,3.22,3.33,3.2,3.33,42468
2017-12-21,3.22,3.29,3.2,3.29,9230
2017-12-20,3.2,3.3,3.2,3.29,19900
2017-12-19,3.32,3.32,3.2,3.25,7592
2017-12-18,3.2,3.36,3.15,3.32,25921
2017-12-15,3.35,3.35,3.18,3.18,66245
2017-12-14,3.3,3.35,3.29,3.33,17724
2017-12-13,3.3,3.39,3.23,3.3,26551
2017-12-12,3.27,3.33,3.2,3.3,15693
2017-12-11,3.31,3.39,3.2,3.23,47184
2017-12-08,3.38,3.38,3.28,3.35,23515
2017-12-07,3.25,3.5,3.2,3.39,82147
2017-12-06,3.24,3.24,3.09,3.15,17003
2017-12-05,3.17,3.3,3.08,3.2,28736
2017-12-04,3.38,3.38,3.18,3.24,11106
2017-12-01,3.43,3.47,3.27,3.34,31031
2017-11-30,3.3,3.4,3.11,3.4,157675
2017-11-29,3.15,3.29,3.12,3.15,50273
