Date,Open,High,Low,Close,Volume
2001-02-06,7.75,8.08,7.72,8.02,586400
2001-02-07,8.09,8.19,7.89,8.09,3269200
2001-02-08,8.12,8.14,8.03,8.03,340400
2001-02-09,8.0,8.16,7.75,7.8,975600
2001-02-12,7.75,8.06,7.66,8.0,788400
2001-02-13,8.01,8.17,8.0,8.12,1478000
2001-02-14,8.11,8.5,8.09,8.36,2252000
2001-02-15,8.4,8.44,8.14,8.31,1002400
2001-02-16,8.39,8.48,8.25,8.45,895600
2001-02-20,8.47,8.52,8.41,8.5,1258800
2001-02-21,8.48,8.48,8.12,8.38,654000
2001-02-22,8.42,8.42,8.03,8.12,705200
2001-02-23,8.15,8.21,7.44,7.84,928000
2001-02-26,7.75,8.09,7.75,8.03,1106800
2001-02-27,7.97,8.06,7.44,7.44,873600
2001-02-28,7.44,7.53,6.97,7.14,1148800
2001-03-01,7.22,7.25,6.8,7.16,652800
2001-03-02,7.0,7.53,7.0,7.47,776000
2001-03-05,7.53,7.62,7.31,7.31,1900000
2001-03-06,7.62,7.69,7.5,7.64,4867200
2001-03-07,7.88,8.39,7.84,8.23,2782800
2001-03-08,8.27,8.28,7.97,8.17,1707200
2001-03-09,7.81,8.19,7.81,8.11,3086800
2001-03-12,8.2,8.66,8.14,8.5,2294800
2001-03-13,8.39,8.56,8.38,8.5,2870800
2001-03-14,8.39,8.55,8.33,8.38,2769600
2001-03-15,8.38,8.52,8.12,8.34,1120400
2001-03-16,8.33,8.47,8.16,8.19,776800
2001-03-19,8.31,8.48,8.12,8.48,1970800
2001-03-20,8.47,8.48,7.97,8.16,632800
2001-03-21,8.11,8.48,8.0,8.36,2186800
2001-03-22,8.36,8.5,8.09,8.47,2404800
2001-03-23,8.47,8.47,8.23,8.34,2780800
2001-03-26,8.39,8.81,8.39,8.5,3107600
2001-03-27,8.49,8.5,8.25,8.47,1628800
2001-03-28,8.42,8.83,8.41,8.78,2000400
2001-03-29,8.78,9.34,8.69,9.28,3185200
2001-03-30,9.34,9.36,9.06,9.19,1406800
2001-04-02,9.2,9.2,8.02,8.09,1985200
2001-04-03,7.83,8.44,7.75,8.2,1895600
2001-04-04,8.14,8.22,7.61,8.06,4102400
2001-04-05,8.28,8.66,8.17,8.48,1891600
2001-04-06,8.41,8.66,8.16,8.58,1098800
2001-04-09,8.53,8.96,8.5,8.93,1232000
2001-04-10,8.89,9.29,8.88,9.25,3067200
2001-04-11,9.26,9.28,8.45,9.09,3017600
2001-04-12,9.05,9.05,8.64,8.8,3442400
2001-04-16,8.77,9.02,8.69,9.0,1843200
2001-04-17,9.06,9.31,9.04,9.26,2999200
2001-04-18,9.33,9.55,8.76,9.04,4512800
2001-04-19,9.08,9.51,9.0,9.46,2007600
2001-04-20,9.38,9.6,9.29,9.5,1059200
2001-04-23,9.42,9.63,9.35,9.59,1212000
2001-04-24,9.6,9.82,9.59,9.69,2089200
2001-04-25,9.72,9.76,9.22,9.6,2040800
2001-04-26,9.64,9.68,9.37,9.37,892000
2001-04-27,9.38,9.54,9.31,9.51,2124000
2001-04-30,9.58,9.64,9.5,9.6,1512000
2001-05-01,9.62,9.63,8.6,8.91,3020400
2001-05-02,8.95,9.59,8.94,9.28,1617200
2001-05-03,9.22,9.4,8.91,9.07,1013600
2001-05-04,8.97,9.5,8.97,9.41,1003200
2001-05-07,9.44,9.5,9.23,9.31,1862400
2001-05-08,9.38,9.62,9.38,9.56,2022400
2001-05-09,9.49,9.98,9.46,9.78,989200
2001-05-10,9.7,9.71,9.2,9.62,748000
2001-05-11,9.61,9.71,9.55,9.69,865200
2001-05-14,9.71,10.0,9.71,9.89,1389600
2001-05-15,9.98,9.99,9.74,9.82,650800
2001-05-16,9.84,9.89,9.73,9.87,1373600
2001-05-17,9.86,10.12,9.85,10.05,1818800
2001-05-18,10.02,10.05,9.94,10.0,598400
2001-05-21,9.98,10.14,9.98,10.0,1181600
2001-05-22,10.01,10.01,9.9,9.95,806400
2001-05-23,9.9,9.96,9.42,9.5,579600
2001-05-24,9.63,10.0,9.51,9.97,685200
2001-05-25,9.9,10.0,9.55,9.64,514000
2001-05-29,9.67,9.68,9.34,9.44,1001200
2001-05-30,9.48,9.5,9.4,9.45,782800
