Date,Open,High,Low,Close,Volume
2001-02-06,5.74,5.83,5.33,5.75,171000
2001-02-07,5.63,5.83,5.5,5.63,106800
2001-02-08,5.58,6.08,5.58,6.04,353700
2001-02-09,5.79,6.0,4.92,4.92,1167000
2001-02-12,5.15,5.25,4.75,4.92,463500
2001-02-13,4.9,5.0,4.58,4.74,452700
2001-02-14,4.68,5.33,4.67,5.33,391500
2001-02-15,5.26,5.67,5.17,5.42,44100
2001-02-16,5.17,5.33,5.08,5.33,54600
2001-02-20,5.33,5.75,5.25,5.67,716700
2001-02-21,5.54,5.92,5.5,5.79,410100
2001-02-22,5.71,5.79,5.67,5.75,253800
2001-02-23,5.67,5.75,5.29,5.33,91800
2001-02-26,5.33,5.54,5.33,5.33,18900
2001-02-27,5.42,5.46,4.83,5.0,68400
2001-02-28,5.08,5.08,4.75,4.83,97500
2001-03-01,4.77,5.33,4.5,4.83,226500
2001-03-02,4.75,4.92,4.75,4.92,185100
2001-03-05,5.0,5.58,5.0,5.33,416100
2001-03-06,5.57,5.63,4.83,5.17,124800
2001-03-07,5.25,5.33,5.13,5.25,28500
2001-03-08,5.25,5.33,5.0,5.17,26100
2001-03-09,5.15,5.29,5.0,5.19,52500
2001-03-12,5.29,5.29,4.6,4.63,60600
2001-03-13,4.58,4.71,4.5,4.5,125700
2001-03-14,4.53,4.67,4.42,4.67,66900
2001-03-15,4.75,5.08,4.58,5.0,106500
2001-03-16,4.92,5.17,4.88,5.0,86700
2001-03-19,5.05,5.05,4.33,4.92,44700
2001-03-20,4.69,4.92,4.67,4.67,54000
2001-03-21,4.67,4.67,4.25,4.29,81600
2001-03-22,3.98,4.08,3.67,3.79,204600
2001-03-23,3.88,4.08,3.88,3.94,78300
2001-03-26,4.05,4.29,3.94,4.0,60600
2001-03-27,4.17,4.17,3.96,3.96,50700
2001-03-28,3.98,3.98,3.58,3.58,65700
2001-03-29,3.75,3.75,3.25,3.33,69000
2001-03-30,3.25,3.42,3.25,3.25,44400
2001-04-02,3.02,3.13,2.69,2.71,147600
2001-04-03,2.83,2.88,2.0,2.83,179400
2001-04-04,2.92,3.0,2.79,2.98,33000
2001-04-05,2.97,3.21,2.83,3.0,84900
2001-04-06,3.0,3.1,2.88,2.92,33300
2001-04-09,2.87,3.0,2.5,2.6,129000
2001-04-10,2.66,2.67,2.33,2.4,238800
2001-04-11,2.43,2.44,2.15,2.23,331200
2001-04-12,2.4,2.47,2.27,2.47,109500
2001-04-16,2.47,2.7,2.47,2.7,39000
2001-04-17,2.77,3.0,2.75,2.97,308700
2001-04-18,3.37,3.41,3.2,3.3,188700
2001-04-19,3.28,3.4,3.22,3.39,45300
2001-04-20,3.4,3.5,3.36,3.5,33600
2001-04-23,3.45,4.0,3.37,3.93,112500
2001-04-24,3.9,4.63,3.9,4.62,97500
2001-04-25,4.53,4.53,4.0,4.13,99900
2001-04-26,4.21,4.69,4.17,4.41,168600
2001-04-27,4.67,4.67,4.33,4.33,118200
2001-04-30,4.59,4.59,4.11,4.4,96600
2001-05-01,4.49,4.49,3.76,4.0,225600
2001-05-02,4.03,4.17,3.57,3.67,340500
2001-05-03,4.02,4.02,3.67,3.97,368100
2001-05-04,3.99,4.0,3.9,3.95,58500
2001-05-07,4.07,4.5,4.0,4.3,88800
2001-05-08,4.5,4.5,4.0,4.13,137700
2001-05-09,4.17,4.17,3.19,3.43,1758000
2001-05-10,3.86,3.93,3.63,3.78,1668600
2001-05-11,4.27,4.33,3.97,4.03,276000
2001-05-14,4.1,4.13,4.0,4.03,303900
2001-05-15,4.17,4.17,4.02,4.07,219300
2001-05-16,4.07,4.21,4.0,4.16,437400
2001-05-17,4.18,4.25,4.15,4.2,201300
2001-05-18,4.13,4.2,4.0,4.16,131700
2001-05-21,4.2,4.21,4.08,4.18,156300
2001-05-22,4.14,4.21,4.0,4.18,196500
2001-05-23,4.21,4.25,4.17,4.23,210900
2001-05-24,4.22,4.25,4.17,4.19,173700
2001-05-25,4.18,4.25,4.15,4.19,111300
2001-05-29,4.19,4.25,4.1,4.2,157500
2001-05-30,4.06,4.27,4.0,4.11,221400
2001-05-31,4.18,4.33,4.14,4.3,286800
2001-06-01,4.3,4.67,4.1,4.67,265800
2001-06-04,4.68,5.63,4.63,5.47,2419200
2001-06-05,4.93,5.41,4.93,5.33,538200
2001-06-06,5.31,5.37,5.07,5.31,183000
2001-06-07,5.31,5.57,5.29,5.35,393900
2001-06-08,5.33,6.03,5.3,5.87,1691100
2001-06-11,6.1,7.33,6.03,7.2,3772500
2001-06-12,7.04,7.8,6.83,7.45,2061600
2001-06-13,7.84,7.87,7.27,7.53,1971600
2001-06-14,7.67,7.67,7.2,7.4,800400
2001-06-15,7.33,7.47,7.2,7.37,594300
2001-06-18,7.35,7.37,7.17,7.28,459900
2001-06-19,7.43,7.43,7.28,7.37,636900
2001-06-20,7.34,8.32,7.33,8.03,1771500
