Date,Open,High,Close,Volume
2000-01-03,28.6562,28.8125,28.125,8830600
2000-01-04,27.875,28.4065,27.9375,7307200
2000-01-05,28.22,28.719,28.469,9457400
2000-01-06,28.53,28.844,28.5,7129200
2000-01-07,29.25,30.375,30.375,11474000
2000-01-10,30.25,30.469,29.4065,8723800
2000-01-11,30.47,30.625,30.4065,9398200
2000-01-12,30.405,30.9065,30.75,8389800
2000-01-13,30.719,30.719,30.2815,6106000
2000-01-14,30.969,30.969,30.5315,7513200
2000-01-17,30.969,30.969,30.5315,0
2000-01-18,30.655,32.5,32.5,18350800
2000-01-19,32.5,32.625,32.625,12813400
2000-01-20,32.655,33.719,32.9375,11539800
2000-01-21,33.375,33.4375,33.4375,11385800
2000-01-24,33.0,33.375,32.4375,11306000
2000-01-25,32.0,33.0315,32.9375,9728600
2000-01-26,32.125,32.75,31.5315,23723800
2000-01-27,31.315,31.344,29.75,17550800
2000-01-28,29.72,29.7815,28.469,10875200
2000-01-31,28.53,29.375,28.719,10635400
2000-02-01,28.875,29.1875,29.0625,8114599
2000-02-02,28.78,28.9375,28.1875,7164000
2000-02-03,28.25,28.375,27.625,9464400
2000-02-04,27.625,28.875,28.125,11501800
2000-02-07,28.03,28.8125,28.4375,7742800
2000-02-08,28.72,28.9375,28.594,8261200
2000-02-09,28.5,28.875,28.5,7949200
2000-02-10,28.625,28.6875,28.344,8031000
2000-02-11,27.875,27.969,27.7815,7688600
2000-02-14,27.53,27.625,27.125,7134000
2000-02-15,26.69,27.875,27.844,7850800
2000-02-16,27.53,27.719,26.7815,6869200
2000-02-17,26.75,26.7815,26.1565,11661000
2000-02-18,25.75,26.1565,25.6875,11443200
2000-02-21,25.75,26.1565,25.6875,0
2000-02-22,25.405,26.3125,25.875,10542000
2000-02-23,25.6875,25.6875,25.4375,9162800
2000-02-24,25.19,25.25,24.9065,15451600
2000-02-25,24.875,25.344,24.344,10905200
2000-02-28,24.03,24.844,24.6565,10790800
2000-02-29,24.065,24.4065,24.3125,10345400
2000-03-01,24.5938,25.6875,25.6562,12750600
2000-03-02,25.5938,25.875,24.9375,9626400
2000-03-03,25.065,25.1875,25.0625,9010600
2000-03-06,24.595,24.75,24.5,7866000
2000-03-07,24.1875,24.1875,23.3438,17914400
2000-03-08,23.315,24.0315,23.75,14441600
2000-03-09,23.78,23.7815,23.375,12389400
2000-03-10,23.0312,23.125,22.3438,10161400
2000-03-13,21.625,22.1565,21.875,15646400
2000-03-14,22.155,22.1565,21.6875,11160800
2000-03-15,21.845,23.9065,23.7815,22138200
2000-03-16,24.655,24.9375,24.875,17610200
2000-03-17,24.69,24.969,24.5625,14530800
2000-03-20,24.5,24.5,24.2815,6755200
2000-03-21,23.69,24.844,24.719,8575800
2000-03-22,24.5,24.5,23.5315,11884200
2000-03-23,23.5,24.1875,23.8125,8156000
2000-03-24,23.375,23.594,23.5,8769200
2000-03-27,23.4062,23.5625,22.9062,7153000
2000-03-28,22.875,23.25,22.4375,13672600
