Date,Open,High,Low,Close,Volume
2018-02-02,4.75,4.75,4.69,4.74,5142
2018-02-01,4.69,4.7,4.69,4.69,2840
2018-01-31,4.76,4.76,4.69,4.69,3324
2018-01-30,4.78,4.78,4.74,4.76,2691
2018-01-29,4.78,4.78,4.73,4.73,2398
2018-01-26,4.75,4.76,4.75,4.75,1404
2018-01-25,4.75,4.75,4.71,4.75,2563
2018-01-24,4.71,4.75,4.64,4.75,16435
2018-01-23,4.84,4.85,4.71,4.71,13350
2018-01-22,4.9,4.91,4.72,4.82,16826
2018-01-19,4.9,4.9,4.85,4.88,3541
2018-01-18,4.9,4.93,4.9,4.9,4012
2018-01-17,4.92,4.92,4.87,4.89,1652
2018-01-16,4.9,4.95,4.9,4.9,4991
2018-01-15,4.9,4.95,4.9,4.9,5657
2018-01-12,4.86,4.89,4.85,4.88,17858
2018-01-11,4.83,4.85,4.8,4.85,14851
2018-01-10,4.72,4.83,4.72,4.83,7144
2018-01-09,4.8,4.82,4.76,4.78,4487
2018-01-08,4.75,4.8,4.71,4.8,29275
2018-01-05,4.65,4.75,4.64,4.74,22423
2018-01-04,4.65,4.65,4.61,4.62,8490
2018-01-03,4.65,4.65,4.6,4.64,8166
2017-12-29,4.65,4.65,4.63,4.64,16426
2017-12-28,4.59,4.65,4.58,4.65,10747
2017-12-27,4.59,4.6,4.56,4.56,11889
2017-12-22,4.59,4.61,4.56,4.6,15043
2017-12-21,4.58,4.59,4.5,4.58,23605
2017-12-20,4.5,4.58,4.5,4.58,24233
2017-12-19,4.45,4.49,4.44,4.49,9815
2017-12-18,4.44,4.45,4.4,4.43,45795
2017-12-15,4.45,4.45,4.4,4.4,4632
2017-12-14,4.4,4.47,4.38,4.45,2682
2017-12-13,4.41,4.41,4.4,4.4,1650
2017-12-12,4.45,4.45,4.4,4.4,29183
2017-12-11,4.41,4.44,4.4,4.4,4759
2017-12-08,4.35,4.41,4.28,4.4,17365
2017-12-07,4.35,4.35,4.34,4.35,1230
2017-12-06,4.36,4.36,4.27,4.36,3867
2017-12-05,4.27,4.27,4.25,4.27,6060
2017-12-04,4.32,4.39,4.25,4.25,13337
2017-12-01,4.34,4.34,4.31,4.32,12350
2017-11-30,4.34,4.35,4.3,4.32,3283
2017-11-29,4.35,4.35,4.34,4.35,6404
2017-11-28,4.42,4.42,4.3,4.35,5895
2017-11-27,4.38,4.44,4.38,4.42,20295
2017-11-24,4.27,4.39,4.27,4.37,10729
2017-11-23,4.26,4.29,4.26,4.29,4223
2017-11-22,4.26,4.26,4.25,4.26,9047
2017-11-21,4.24,4.28,4.19,4.26,9734
2017-11-20,4.18,4.23,4.18,4.23,9279
2017-11-17,4.16,4.19,4.15,4.18,7902
2017-11-16,4.24,4.24,4.12,4.12,1889
2017-11-15,4.21,4.21,4.12,4.12,20710
2017-11-14,4.21,4.21,4.17,4.21,14394
2017-11-13,4.28,4.28,4.2,4.21,8070
