Date,Open,High,Low,Close,Volume
2018-02-05,1.04,1.11,1.01,1.11,7720
2018-02-01,1.15,1.15,1.15,1.15,23
2018-01-31,1.14,1.14,1.12,1.12,324
2018-01-30,1.05,1.14,1.05,1.14,746
2018-01-29,1.04,1.14,1.04,1.14,100
2018-01-26,1.14,1.15,1.0,1.15,5018
2018-01-24,1.26,1.26,1.26,1.26,400
2018-01-22,1.28,1.28,1.28,1.28,50
2018-01-19,1.17,1.28,1.17,1.28,1200
2018-01-18,1.29,1.29,1.19,1.28,1855
2018-01-17,1.25,1.29,1.25,1.29,1500
2018-01-16,1.24,1.29,1.15,1.27,7164
2018-01-15,1.25,1.39,1.22,1.35,5276
2018-01-12,1.16,1.39,1.16,1.32,26878
2018-01-11,1.23,1.26,1.13,1.22,7039
2018-01-10,1.17,1.35,1.17,1.23,41959
2018-01-09,1.01,1.21,1.01,1.14,14111
2018-01-08,1.12,1.22,0.9,1.01,14031
2018-01-05,0.7,0.94,0.7,0.94,11443
2018-01-04,0.68,0.8,0.65,0.8,3977
2017-12-29,0.7,0.7,0.7,0.7,356
2017-12-28,0.7,0.7,0.65,0.7,1140
2017-12-27,0.7,0.72,0.65,0.68,27261
2017-12-22,0.72,0.72,0.69,0.72,7732
2017-12-21,0.73,0.75,0.73,0.75,200
2017-12-20,0.75,0.75,0.75,0.75,550
2017-12-19,0.77,0.79,0.73,0.79,753
2017-12-18,0.78,0.78,0.78,0.78,500
2017-12-15,0.82,0.82,0.71,0.79,2500
2017-12-14,0.82,0.82,0.82,0.82,30
2017-12-13,0.78,0.78,0.78,0.78,300
2017-12-07,0.81,0.83,0.8,0.83,1850
2017-12-06,0.83,0.83,0.83,0.83,100
2017-12-04,0.83,0.83,0.83,0.83,180
2017-12-01,0.78,0.78,0.78,0.78,260
2017-11-30,0.78,0.83,0.78,0.83,2621
2017-11-29,0.79,0.84,0.79,0.84,290
2017-11-27,0.8,0.84,0.8,0.84,284
2017-11-24,0.85,0.85,0.85,0.85,170
2017-11-23,0.84,0.84,0.84,0.84,100
2017-11-21,0.75,0.85,0.74,0.85,3230
2017-11-20,0.78,0.8,0.74,0.8,3087
2017-11-17,0.84,0.84,0.84,0.84,20
2017-11-16,0.8,0.84,0.8,0.8,3412
2017-11-15,0.8,0.85,0.8,0.85,940
2017-11-14,0.78,0.85,0.78,0.85,360
2017-11-13,0.84,0.85,0.84,0.85,240
2017-11-10,0.79,0.84,0.75,0.84,2722
2017-11-09,0.84,0.84,0.79,0.79,1620
2017-11-08,0.81,0.81,0.8,0.8,508
2017-11-07,0.84,0.84,0.84,0.84,549
2017-11-03,0.78,0.85,0.78,0.85,4808
2017-10-31,0.8,0.86,0.8,0.86,978
2017-10-30,0.82,0.85,0.82,0.85,2200
2017-10-27,0.8,0.85,0.8,0.85,1337
2017-10-23,0.86,0.86,0.81,0.86,1111
2017-10-20,0.81,0.86,0.81,0.86,315
