Date,Open,High,Low,Close,Volume
2018-01-23,0.15,0.15,0.15,0.15,200
2018-01-22,0.15,0.15,0.15,0.15,200
2018-01-19,0.15,0.15,0.15,0.15,10000
2018-01-18,0.16,0.16,0.15,0.15,2200
2018-01-17,0.16,0.16,0.16,0.16,2200
2018-01-16,0.17,0.17,0.17,0.17,350
2018-01-15,0.16,0.16,0.16,0.16,4786
2018-01-08,0.16,0.16,0.16,0.16,200
2018-01-05,0.16,0.16,0.16,0.16,200
2018-01-04,0.17,0.17,0.16,0.16,1100
2018-01-03,0.18,0.18,0.18,0.18,4045
2017-12-29,0.16,0.16,0.16,0.16,200
2017-12-28,0.16,0.16,0.16,0.16,200
2017-12-27,0.16,0.16,0.16,0.16,1200
2017-12-21,0.16,0.16,0.16,0.16,550
2017-12-18,0.17,0.17,0.17,0.17,3143
2017-12-15,0.17,0.17,0.17,0.17,200
2017-12-14,0.17,0.17,0.17,0.17,200
2017-12-13,0.17,0.17,0.17,0.17,200
2017-12-12,0.17,0.17,0.17,0.17,200
2017-12-11,0.17,0.17,0.17,0.17,200
2017-12-08,0.17,0.17,0.17,0.17,200
2017-12-07,0.17,0.17,0.17,0.17,200
2017-12-06,0.17,0.17,0.17,0.17,200
2017-12-05,0.17,0.17,0.17,0.17,200
2017-12-04,0.17,0.17,0.17,0.17,200
2017-12-01,0.17,0.17,0.17,0.17,200
2017-11-30,0.17,0.17,0.17,0.17,200
2017-11-29,0.17,0.17,0.17,0.17,200
2017-11-28,0.17,0.17,0.17,0.17,200
2017-11-27,0.17,0.17,0.17,0.17,2078
2017-11-24,0.17,0.17,0.17,0.17,1500
2017-11-21,0.18,0.18,0.18,0.18,267
2017-11-20,0.18,0.18,0.18,0.18,200
2017-11-17,0.18,0.18,0.18,0.18,200
2017-11-16,0.21,0.21,0.17,0.18,31439
2017-11-15,0.21,0.21,0.21,0.21,200
2017-11-14,0.22,0.22,0.21,0.21,2200
2017-11-13,0.22,0.22,0.22,0.22,200
2017-11-10,0.22,0.22,0.22,0.22,100
2017-11-09,0.22,0.22,0.22,0.22,200
2017-11-08,0.22,0.22,0.22,0.22,200
2017-11-07,0.22,0.22,0.22,0.22,200
2017-11-06,0.2,0.22,0.2,0.22,7338
2017-11-03,0.22,0.22,0.2,0.2,16440
2017-11-02,0.22,0.22,0.22,0.22,200
2017-10-31,0.22,0.22,0.22,0.22,1400
2017-10-30,0.22,0.22,0.22,0.22,200
2017-10-27,0.22,0.22,0.22,0.22,4700
2017-10-26,0.22,0.22,0.22,0.22,200
2017-10-25,0.22,0.22,0.22,0.22,200
2017-10-24,0.21,0.21,0.21,0.21,200
2017-10-23,0.21,0.21,0.21,0.21,200
2017-10-20,0.23,0.23,0.21,0.21,15000
2017-10-03,0.24,0.24,0.24,0.24,1000
2017-09-26,0.23,0.25,0.23,0.25,2213
2017-09-25,0.23,0.23,0.23,0.23,100
2017-09-22,0.23,0.23,0.23,0.23,100
2017-09-21,0.23,0.23,0.23,0.23,100
2017-09-20,0.23,0.23,0.23,0.23,650
2017-09-19,0.23,0.23,0.23,0.23,100
2017-09-18,0.23,0.23,0.23,0.23,100
2017-09-15,0.23,0.23,0.23,0.23,100
2017-09-14,0.24,0.24,0.23,0.23,1200
2017-09-13,0.24,0.24,0.24,0.24,1200
2017-09-12,0.24,0.24,0.24,0.24,1400
2017-09-11,0.24,0.24,0.24,0.24,700
2017-09-08,0.24,0.24,0.24,0.24,200
2017-09-07,0.25,0.25,0.24,0.24,437
2017-09-06,0.25,0.25,0.25,0.25,200
2017-09-05,0.28,0.28,0.25,0.25,5150
2017-09-04,0.28,0.28,0.28,0.28,200
2017-09-01,0.28,0.28,0.28,0.28,50
2017-08-31,0.28,0.28,0.28,0.28,50
2017-08-30,0.28,0.28,0.28,0.28,50
2017-08-29,0.28,0.28,0.28,0.28,60
2017-08-28,0.28,0.28,0.28,0.28,50
2017-08-25,0.28,0.28,0.28,0.28,100
2017-08-24,0.28,0.28,0.28,0.28,100
2017-08-23,0.28,0.28,0.28,0.28,100
2017-08-22,0.28,0.28,0.27,0.27,211
2017-08-21,0.3,0.3,0.25,0.28,10583
2017-08-18,0.24,0.3,0.24,0.3,38056
2017-08-17,0.23,0.24,0.23,0.24,8585
2017-08-16,0.27,0.27,0.22,0.22,17850
2017-08-14,0.27,0.27,0.27,0.27,200
2017-08-11,0.27,0.27,0.27,0.27,4000
2017-08-10,0.24,0.27,0.24,0.27,28165
2017-08-03,0.24,0.24,0.24,0.24,500
2017-07-26,0.24,0.24,0.24,0.24,5320
2017-07-20,0.23,0.23,0.23,0.23,421
2017-07-18,0.22,0.23,0.22,0.23,16644
2017-07-17,0.21,0.21,0.21,0.21,6200
2017-07-14,0.22,0.22,0.21,0.21,6960
2017-07-13,0.23,0.23,0.22,0.22,12820
2017-07-12,0.24,0.24,0.24,0.24,200
2017-07-11,0.24,0.24,0.24,0.24,100
2017-07-10,0.24,0.24,0.24,0.24,100
2017-07-07,0.22,0.24,0.22,0.24,8600
2017-07-06,0.23,0.23,0.22,0.22,10000
2017-07-05,0.27,0.27,0.24,0.24,15716
2017-07-04,0.26,0.33,0.25,0.27,113679
2017-07-03,0.26,0.26,0.24,0.26,15611
2017-06-30,0.31,0.31,0.26,0.26,25986
2017-06-29,0.21,0.31,0.21,0.31,133591
2017-06-28,0.22,0.22,0.22,0.22,20310
2017-06-23,0.23,0.23,0.23,0.23,1421
2017-06-22,0.23,0.23,0.23,0.23,200
2017-06-21,0.23,0.23,0.23,0.23,400
2017-06-20,0.23,0.23,0.23,0.23,2479
2017-06-16,0.25,0.25,0.25,0.25,5128
2017-06-14,0.25,0.25,0.25,0.25,200
2017-06-13,0.25,0.25,0.25,0.25,200
2017-06-12,0.25,0.25,0.25,0.25,200
2017-06-09,0.22,0.25,0.22,0.25,310
2017-06-08,0.23,0.23,0.22,0.22,13200
2017-06-07,0.23,0.23,0.23,0.23,200
2017-06-06,0.23,0.23,0.23,0.23,100
2017-06-05,0.23,0.23,0.23,0.23,100
2017-06-02,0.23,0.23,0.23,0.23,200
2017-06-01,0.23,0.23,0.23,0.23,200
2017-05-31,0.23,0.23,0.23,0.23,605
2017-05-30,0.23,0.23,0.23,0.23,200
2017-05-29,0.23,0.23,0.23,0.23,200
2017-05-26,0.27,0.27,0.23,0.23,6100
2017-05-25,0.27,0.27,0.27,0.27,200
2017-05-24,0.27,0.27,0.27,0.27,200
2017-05-23,0.27,0.27,0.27,0.27,200
2017-05-22,0.27,0.27,0.27,0.27,100
2017-05-19,0.27,0.27,0.27,0.27,200
2017-05-18,0.26,0.27,0.26,0.27,5600
2017-05-17,0.26,0.26,0.26,0.26,200
2017-05-16,0.26,0.26,0.26,0.26,200
2017-05-15,0.26,0.26,0.26,0.26,200
2017-05-12,0.26,0.26,0.26,0.26,100
2017-05-11,0.26,0.26,0.26,0.26,200
2017-05-10,0.25,0.26,0.25,0.26,6200
2017-05-09,0.25,0.25,0.25,0.25,200
2017-05-08,0.25,0.25,0.25,0.25,200
2017-05-05,0.25,0.25,0.25,0.25,200
2017-05-04,0.22,0.25,0.22,0.25,30770
2017-05-02,0.22,0.22,0.22,0.22,100
2017-04-28,0.25,0.25,0.22,0.22,1661
2017-04-27,0.25,0.25,0.23,0.25,7900
2017-04-26,0.25,0.25,0.25,0.25,2734
2017-04-25,0.24,0.25,0.23,0.25,3760
2017-04-24,0.25,0.25,0.25,0.25,499
2017-04-20,0.23,0.25,0.23,0.25,101
2017-04-18,0.25,0.25,0.25,0.25,6545
2017-04-13,0.25,0.25,0.25,0.25,100
2017-04-12,0.25,0.25,0.25,0.25,100
2017-04-11,0.25,0.25,0.25,0.25,60
2017-04-10,0.25,0.25,0.25,0.25,100
2017-04-07,0.25,0.25,0.25,0.25,1000
2017-04-06,0.21,0.25,0.21,0.25,23030
2017-04-05,0.23,0.23,0.21,0.21,2000
2017-04-04,0.23,0.23,0.23,0.23,200
2017-04-03,0.24,0.24,0.2,0.23,77792
2017-03-31,0.24,0.24,0.22,0.24,40371
2017-03-30,0.26,0.26,0.26,0.26,1000
2017-03-29,0.27,0.27,0.24,0.25,14214
2017-03-28,0.28,0.28,0.28,0.28,200
