Date,Open,High,Low,Close,Volume
2017-06-14,1.59,1.59,1.59,1.59,10
2017-06-13,1.6,1.6,1.6,1.6,10
2017-06-12,1.6,1.6,1.6,1.6,10
2017-06-09,1.6,1.6,1.6,1.6,10
2017-06-07,1.78,1.78,1.67,1.67,805
2017-06-05,1.69,1.69,1.69,1.69,340
2017-06-01,1.6,1.6,1.6,1.6,490
2017-05-31,1.8,1.8,1.74,1.74,15
2017-05-30,1.8,1.8,1.8,1.8,5
2017-05-29,1.95,1.95,1.95,1.95,5
2017-05-26,2.0,2.0,2.0,2.0,5
2017-05-25,2.05,2.05,2.05,2.05,5
2017-05-24,2.0,2.0,2.0,2.0,515
2017-05-23,2.22,2.22,2.11,2.11,10
2017-05-22,2.22,2.22,2.22,2.22,10
2017-05-19,2.23,2.23,2.23,2.23,50
2017-05-18,2.24,2.24,2.24,2.24,5
2017-05-17,2.24,2.24,2.24,2.24,5
2017-05-16,2.24,2.24,2.24,2.24,5
2017-05-15,2.24,2.24,2.24,2.24,10
2017-05-12,2.24,2.24,2.24,2.24,15
2017-05-11,2.0,2.24,2.0,2.24,565
2017-04-28,1.88,1.88,1.88,1.88,10
2017-04-27,1.88,1.88,1.88,1.88,5
2017-04-21,1.83,1.83,1.83,1.83,10
2017-04-20,1.83,1.83,1.83,1.83,10
2017-04-19,1.83,1.83,1.83,1.83,10
2017-04-18,1.83,1.83,1.83,1.83,10
2017-04-11,1.83,1.83,1.83,1.83,10
2017-04-10,1.8,1.8,1.8,1.8,15
2017-04-07,1.85,1.85,1.85,1.85,955
2017-03-24,2.0,2.0,1.99,1.99,545
2017-03-23,2.25,2.25,2.06,2.06,1030
2017-03-21,2.34,2.34,2.34,2.34,10
2017-03-10,2.33,2.4,2.33,2.4,670
2017-03-08,2.25,2.35,2.25,2.35,500
2017-03-06,2.21,2.21,2.2,2.2,465
2017-02-27,2.22,2.22,2.2,2.2,250
2017-02-24,2.27,2.4,2.27,2.4,500
2017-02-23,2.2,2.27,2.2,2.27,250
2017-02-21,2.13,2.14,2.13,2.14,510
2017-02-16,2.16,2.16,2.1,2.1,540
2017-02-07,2.25,2.25,2.2,2.2,500
2017-02-03,2.4,2.4,2.28,2.28,140
2017-02-02,2.4,2.4,2.39,2.4,510
2017-02-01,2.4,2.4,2.4,2.4,10
2017-01-31,2.4,2.4,2.39,2.4,220
2017-01-30,2.4,2.4,2.4,2.4,10
2017-01-27,2.39,2.4,2.39,2.4,1200
2017-01-23,2.3,2.4,2.3,2.4,690
2017-01-20,2.2,2.4,2.2,2.4,540
2017-01-19,2.21,2.21,2.2,2.2,495
2016-12-29,2.4,2.4,2.34,2.34,413
2016-12-28,2.4,2.4,2.4,2.4,6
2016-12-27,2.4,2.4,2.4,2.4,5
2016-12-23,2.4,2.4,2.4,2.4,6
2016-12-22,2.29,2.5,2.28,2.42,1481
2016-12-21,2.19,2.28,2.19,2.28,500
2016-12-07,2.25,2.25,2.22,2.22,455
2016-12-02,2.37,2.37,2.33,2.33,470
2016-11-30,2.5,2.5,2.36,2.36,460
2016-11-29,2.5,2.5,2.5,2.5,10
2016-11-28,2.5,2.5,2.5,2.5,10
2016-11-23,2.29,2.69,2.29,2.69,575
2016-11-21,2.08,2.48,2.08,2.48,650
2016-11-18,2.12,2.12,2.0,2.0,700
2016-11-16,2.21,2.4,2.2,2.4,764
2016-11-15,2.14,2.21,2.14,2.21,311
2016-10-26,2.1,2.15,2.1,2.15,200
2016-10-25,2.09,2.11,2.09,2.11,120
2016-10-21,2.0,2.08,2.0,2.08,90
2016-10-17,1.94,1.95,1.93,1.95,650
2016-10-14,1.94,1.94,1.94,1.94,10
2016-10-13,1.94,1.94,1.94,1.94,10
2016-10-12,1.94,1.94,1.94,1.94,10
2016-10-11,1.94,1.94,1.94,1.94,10
2016-10-10,1.94,1.94,1.94,1.94,15
2016-10-07,1.94,1.94,1.94,1.94,10
2016-10-06,1.94,1.94,1.94,1.94,10
2016-10-05,1.94,1.94,1.94,1.94,15
2016-10-04,1.94,1.94,1.94,1.94,10
2016-10-03,1.94,1.94,1.94,1.94,10
2016-09-30,1.94,1.94,1.94,1.94,10
2016-09-29,1.94,1.94,1.94,1.94,13
2016-09-28,1.94,1.94,1.94,1.94,15
2016-09-27,1.84,1.94,1.84,1.94,870
2016-09-26,1.85,1.9,1.85,1.9,330
2016-09-20,1.94,1.94,1.85,1.85,321
2016-09-19,1.94,1.94,1.94,1.94,5
2016-09-16,1.94,1.94,1.94,1.94,10
2016-09-15,1.94,1.94,1.94,1.94,7
2016-09-14,1.94,1.94,1.94,1.94,7
2016-09-13,1.94,1.94,1.94,1.94,10
2016-09-12,1.94,1.94,1.94,1.94,10
2016-09-09,1.94,1.94,1.94,1.94,10
2016-09-08,1.94,1.94,1.94,1.94,10
2016-09-07,1.94,1.94,1.94,1.94,10
2016-09-06,1.94,1.94,1.94,1.94,10
2016-09-05,1.95,1.95,1.95,1.95,10
2016-09-02,1.95,1.95,1.95,1.95,10
2016-09-01,1.95,1.95,1.95,1.95,15
2016-08-31,2.0,2.0,2.0,2.0,15
2016-08-24,2.1,2.1,2.1,2.1,25
2016-08-23,2.22,2.22,2.0,2.12,368
2016-08-22,2.22,2.22,2.22,2.22,10
2016-08-19,2.22,2.22,2.22,2.22,15
2016-08-18,2.3,2.3,2.22,2.22,25
2016-07-22,2.25,2.25,2.25,2.25,5
2016-07-21,2.25,2.25,2.25,2.25,7
2016-07-20,2.25,2.25,2.25,2.25,5
2016-07-19,2.25,2.25,2.25,2.25,5
2016-07-18,2.25,2.25,2.25,2.25,5
2016-07-15,1.9,2.25,1.88,2.25,385
2016-07-13,1.9,2.02,1.9,2.02,335
2016-07-05,1.66,1.85,1.66,1.85,670
2016-07-01,1.72,1.72,1.66,1.66,840
2016-06-27,1.8,1.8,1.8,1.8,10
2016-06-24,1.8,1.8,1.8,1.8,5
2016-06-14,1.85,1.85,1.8,1.8,318
2016-06-01,1.9,1.9,1.9,1.9,13
2016-05-30,1.98,1.98,1.9,1.9,410
2016-05-27,2.15,2.15,2.02,2.02,300
2016-05-25,2.21,2.21,2.21,2.21,29
2016-05-24,2.2,2.2,2.2,2.2,25
2016-05-16,2.2,2.2,2.1,2.15,315
2016-05-11,2.29,2.29,2.29,2.29,10
2016-05-10,2.2,2.25,2.2,2.25,162
2016-04-29,2.2,2.2,2.2,2.2,10
2016-04-28,2.2,2.2,2.2,2.2,10
2016-04-27,2.2,2.2,2.2,2.2,10
2016-04-26,2.2,2.2,2.2,2.2,10
2016-04-25,2.22,2.22,2.2,2.2,275
2016-04-22,2.3,2.3,2.3,2.3,10
2016-04-21,2.3,2.3,2.3,2.3,10
2016-04-20,2.3,2.3,2.3,2.3,10
2016-04-19,2.3,2.3,2.3,2.3,15
2016-04-18,2.3,2.3,2.3,2.3,10
2016-04-15,2.3,2.3,2.3,2.3,20
2016-04-14,2.3,2.5,2.3,2.5,300
2016-04-13,2.2,2.3,2.2,2.3,30
2016-03-04,2.33,2.33,2.2,2.2,600
2016-03-01,2.41,2.41,2.33,2.33,267
2016-02-16,2.8,2.8,2.49,2.5,1360
2016-02-15,3.0,3.0,3.0,3.0,10
2016-02-12,3.0,3.0,3.0,3.0,20
2016-02-11,2.67,3.1,2.67,3.1,2783
2016-02-05,2.6,2.6,2.59,2.6,742
2016-02-04,2.6,2.6,2.6,2.6,15
2016-02-03,2.6,2.6,2.6,2.6,15
2016-02-02,2.7,2.7,2.7,2.7,10
2016-02-01,2.7,2.7,2.7,2.7,10
2016-01-29,2.7,2.7,2.7,2.7,15
2016-01-28,2.7,2.7,2.7,2.7,5
2016-01-27,2.7,2.7,2.7,2.7,10
2016-01-26,2.7,2.7,2.7,2.7,4
2016-01-25,2.7,2.7,2.7,2.7,4
2016-01-22,2.7,2.7,2.7,2.7,5
2016-01-21,2.93,2.93,2.75,2.75,335
2016-01-18,2.96,2.96,2.93,2.93,500
2016-01-14,3.11,3.11,3.11,3.11,500
2016-01-13,3.06,3.11,3.06,3.11,150
2016-01-12,3.03,3.03,3.03,3.03,45
2016-01-11,2.99,2.99,2.94,2.94,205
2016-01-05,3.12,3.12,3.12,3.12,15
2016-01-04,3.04,3.11,2.99,2.99,1251
2015-12-30,2.5,3.14,2.5,3.14,886
2015-12-29,2.62,2.85,2.2,2.85,1489
2015-12-28,2.06,2.37,2.06,2.37,1430
2015-12-11,1.95,1.95,1.95,1.95,5
2015-12-10,1.95,1.95,1.95,1.95,10
2015-11-26,2.16,2.16,2.0,2.0,910
2015-11-20,2.16,2.39,2.16,2.39,320
2015-11-19,2.02,2.31,1.9,2.15,2125
2015-11-13,2.16,2.16,1.95,1.95,635
2015-10-29,2.39,2.39,2.22,2.22,119
2015-10-28,2.25,2.44,2.25,2.41,1700
2015-10-27,2.08,2.25,2.08,2.25,40
