Date,Open,High,Low,Close,Volume
2018-02-05,4.98,4.98,4.2,4.98,10
2018-02-02,4.2,4.98,4.2,4.98,1703
2018-02-01,4.2,4.2,4.2,4.2,5
2018-01-31,3.94,4.44,3.94,4.2,554
2018-01-30,3.94,3.94,3.94,3.94,58
2018-01-29,3.2,3.2,3.2,3.2,313
2018-01-26,3.6,3.92,3.0,3.92,28
2018-01-25,4.0,4.1,3.7,4.1,87
2018-01-24,4.0,4.1,3.8,4.1,31
2018-01-22,4.1,4.1,4.1,4.1,3
2018-01-19,3.6,3.78,3.6,3.78,71
2018-01-17,3.84,3.84,3.84,3.84,271
2018-01-10,4.4,4.44,4.4,4.44,1013
2018-01-08,3.1,4.44,2.5,4.44,2621
2018-01-05,3.04,3.44,3.04,3.44,984
2018-01-03,3.4,3.4,3.26,3.26,347
2017-12-29,3.41,3.41,3.41,3.41,19
2017-12-28,3.42,3.42,3.42,3.42,30
2017-12-27,3.19,3.19,3.19,3.19,3
2017-12-22,2.66,2.66,2.66,2.66,2
2017-12-21,3.1,3.3,3.1,3.3,205
2017-12-20,2.65,2.65,2.65,2.65,20
2017-12-19,2.21,2.21,2.21,2.21,200
2017-12-18,2.2,2.4,2.2,2.4,62
2017-12-15,2.05,2.25,1.88,1.88,331
2017-12-13,1.71,1.71,1.71,1.71,190
2017-12-08,1.67,1.67,1.65,1.65,4
2017-12-07,2.16,2.17,1.74,1.74,366
2017-12-06,3.04,3.26,2.46,2.46,1604
2017-12-05,3.75,3.77,3.25,3.25,1377
2017-12-01,3.85,3.85,3.85,3.85,5
2017-11-30,3.75,3.75,3.75,3.75,2
2017-11-27,3.5,3.5,3.5,3.5,2
2017-11-24,2.5,2.99,2.5,2.99,699
2017-11-23,2.5,2.63,2.1,2.1,1720
2017-11-21,2.06,2.47,2.06,2.09,2908
2017-11-20,2.3,2.3,1.84,1.84,416
2017-11-17,2.3,2.3,2.3,2.3,1
2017-11-16,2.47,2.47,2.3,2.31,801
2017-11-15,3.07,3.07,2.52,2.86,859
2017-11-09,3.05,3.65,2.86,3.65,1224
2017-11-08,3.2,3.81,3.09,3.79,870
2017-10-25,3.83,3.83,3.8,3.8,31
2017-10-23,3.8,3.8,3.8,3.8,50
2017-10-20,2.98,3.57,2.98,3.57,684
2017-10-17,3.15,3.75,3.15,3.75,47
2017-10-16,3.2,3.83,2.61,3.15,3474
2017-10-12,3.8,3.86,3.8,3.86,7
2017-10-10,3.83,3.83,3.83,3.83,3
2017-10-09,3.04,3.64,3.0,3.64,1456
2017-10-05,3.23,3.79,3.23,3.79,935
2017-10-02,4.02,4.02,4.02,4.02,5
2017-09-29,3.8,4.0,3.8,4.0,10
2017-09-28,3.13,3.36,3.13,3.36,1906
2017-09-26,3.06,3.15,2.51,3.15,4676
2017-09-25,3.05,3.06,3.05,3.06,410
2017-09-22,2.46,3.15,2.46,3.15,1100
2017-09-20,2.37,2.38,2.37,2.38,222
2017-09-18,2.15,2.23,2.15,2.23,667
2017-09-15,2.11,2.53,2.11,2.53,1851
2017-09-14,2.02,2.15,2.02,2.15,468
2017-09-13,2.96,3.55,2.37,2.37,1480
2017-09-12,3.2,3.55,3.2,3.55,486
2017-09-05,3.8,3.8,3.54,3.8,273
2017-09-04,3.8,3.8,3.8,3.8,6
2017-09-01,3.8,3.8,3.8,3.8,5
2017-08-31,3.51,4.02,2.94,3.8,6405
2017-08-29,3.5,3.51,3.49,3.51,1006
2017-08-28,3.56,4.02,3.56,3.99,2470
2017-08-25,3.56,3.56,3.56,3.56,5
2017-08-24,3.56,3.56,3.56,3.56,25
2017-08-23,2.95,3.56,2.95,3.56,5425
2017-08-21,3.59,3.59,3.59,3.59,579
2017-08-14,3.75,4.0,3.74,4.0,2393
2017-08-11,4.66,5.39,3.73,3.74,4035
2017-08-10,3.9,4.68,3.9,4.67,9865
2017-08-04,3.8,4.45,3.8,4.15,2607
2017-08-02,3.8,4.05,3.26,3.8,1548
2017-08-01,3.8,3.8,3.26,3.8,95
2017-07-31,4.2,4.51,3.77,3.79,2622
2017-07-28,3.46,4.15,3.25,4.15,6540
2017-07-27,3.69,3.71,3.46,3.71,592
2017-07-26,2.9,3.72,2.9,3.72,4286
2017-07-25,2.61,3.07,2.3,3.06,5330
2017-07-21,2.48,2.8,2.11,2.8,809
2017-07-20,3.0,3.08,3.0,3.08,35
2017-07-19,2.32,2.61,2.21,2.5,1361
2017-07-17,2.49,2.9,2.01,2.9,1179
2017-07-13,3.09,3.09,3.09,3.09,5
2017-07-12,2.84,2.84,2.84,2.84,221
2017-07-11,3.04,3.04,3.0,3.0,927
2017-07-06,3.19,3.19,3.12,3.12,504
2017-07-05,3.22,3.41,3.22,3.41,1062
2017-07-04,3.19,3.19,3.19,3.19,300
2017-06-30,3.35,3.35,3.3,3.3,445
2017-06-27,3.59,3.59,3.59,3.59,529
2017-06-23,3.5,4.05,3.5,4.05,1135
2017-06-16,3.49,3.49,3.49,3.49,250
2017-06-08,3.55,3.75,3.55,3.75,300
