Date,Open,High,Low,Close,Volume
2018-02-02,9.45,9.73,9.39,9.42,35698
2018-02-01,9.57,9.7,9.29,9.44,43775
2018-01-31,9.73,9.87,9.52,9.52,48169
2018-01-30,10.18,10.2,9.73,9.73,159028
2018-01-29,10.0,10.18,9.86,10.18,113023
2018-01-26,9.75,10.3,9.75,10.02,396140
2018-01-25,8.79,9.66,8.79,9.56,314198
2018-01-24,8.46,8.87,8.46,8.79,38856
2018-01-23,8.4,8.47,8.37,8.45,14024
2018-01-22,8.36,8.48,8.35,8.35,8861
2018-01-19,8.35,8.46,8.29,8.36,12327
2018-01-18,8.3,8.35,8.1,8.29,29506
2018-01-17,8.44,8.44,8.32,8.32,18733
2018-01-16,8.6,8.6,8.5,8.54,26731
2018-01-15,8.85,8.87,8.53,8.67,18077
2018-01-12,8.82,8.88,8.77,8.82,19715
2018-01-11,8.72,8.88,8.72,8.8,26653
2018-01-10,8.55,8.56,8.35,8.56,35300
2018-01-09,8.89,8.89,8.55,8.55,88538
2018-01-08,9.3,9.4,9.07,9.21,51393
2018-01-05,9.24,9.35,9.16,9.27,88070
2018-01-04,9.0,9.15,8.5,9.06,105664
2018-01-03,8.24,8.94,8.24,8.94,83989
2017-12-29,7.92,8.33,7.92,8.3,68347
2017-12-28,7.7,7.95,7.65,7.83,28735
2017-12-27,7.71,7.75,7.62,7.65,74908
2017-12-22,7.6,7.94,7.6,7.76,88153
2017-12-21,7.95,7.96,7.6,7.65,63961
2017-12-20,8.07,8.13,7.95,7.95,36415
2017-12-19,8.5,8.5,8.01,8.14,43939
2017-12-18,8.5,8.52,8.38,8.46,25180
2017-12-15,8.5,8.57,8.45,8.54,11492
2017-12-14,8.49,8.52,8.38,8.52,24808
2017-12-13,8.58,8.58,8.4,8.5,22245
2017-12-12,8.5,8.55,8.44,8.55,16719
2017-12-11,8.43,8.56,8.43,8.56,20286
2017-12-08,8.43,8.44,8.37,8.42,18994
2017-12-07,8.7,8.7,8.33,8.4,36663
2017-12-06,8.72,8.72,8.64,8.7,13319
2017-12-05,8.9,8.9,8.55,8.72,49122
2017-12-04,8.85,9.09,8.85,8.94,51495
2017-12-01,8.62,8.85,8.58,8.8,39494
2017-11-30,8.62,8.62,8.48,8.57,5196
2017-11-29,8.6,8.66,8.5,8.61,37230
2017-11-28,8.22,8.64,8.22,8.57,42333
2017-11-27,8.15,8.25,8.14,8.21,26023
2017-11-24,8.09,8.15,8.02,8.14,12980
2017-11-23,8.21,8.21,7.85,8.09,28292
2017-11-22,8.23,8.23,8.08,8.15,11834
2017-11-21,8.19,8.23,8.03,8.23,7293
2017-11-20,8.26,8.38,8.01,8.16,11132
2017-11-17,8.1,8.44,8.1,8.3,37036
2017-11-16,7.7,8.09,7.7,8.09,49611
2017-11-15,7.7,7.7,7.31,7.48,21338
2017-11-14,7.75,7.75,7.51,7.6,10610
2017-11-13,7.54,7.65,7.42,7.6,20110
2017-11-10,7.68,7.77,7.54,7.65,39485
2017-11-09,7.89,8.22,7.64,7.79,37826
2017-11-08,8.2,8.22,7.88,7.88,11149
2017-11-07,8.22,8.38,8.14,8.24,30093
2017-11-06,8.31,8.31,8.15,8.24,6545
2017-11-03,8.27,8.39,8.22,8.39,1812
2017-11-02,8.3,8.53,8.18,8.27,12104
2017-10-31,8.4,8.53,8.2,8.2,16078
2017-10-30,8.57,8.57,8.3,8.48,2182
2017-10-27,8.28,8.58,8.2,8.58,11459
2017-10-26,8.4,8.4,8.22,8.33,6322
2017-10-25,8.31,8.5,8.31,8.4,7626
2017-10-24,8.8,8.91,8.38,8.39,25880
2017-10-23,8.84,8.84,8.71,8.75,16852
2017-10-20,8.71,8.84,8.7,8.84,2801
2017-10-19,8.91,8.91,8.71,8.71,13920
2017-10-18,8.54,8.92,8.32,8.92,23911
2017-10-17,8.91,8.92,8.11,8.6,59581
2017-10-16,8.86,9.06,8.85,8.95,10155
2017-10-13,8.98,9.0,8.76,8.87,35183
2017-10-12,9.2,9.35,8.87,8.98,56335
2017-10-11,9.3,9.3,9.19,9.27,35618
2017-10-10,9.26,9.36,9.25,9.25,22492
2017-10-09,9.27,9.29,9.12,9.2,27517
2017-10-06,9.11,9.44,9.1,9.23,325100
2017-10-05,8.95,9.0,8.86,9.0,108609
