Date,Open,High,Low,Close,Volume
2018-02-05,0.12,0.12,0.12,0.12,5750
2018-02-02,0.16,0.16,0.16,0.16,50
2018-02-01,0.14,0.14,0.14,0.14,927
2018-01-30,0.16,0.16,0.14,0.14,4473
2018-01-29,0.16,0.16,0.14,0.14,5000
2018-01-26,0.18,0.18,0.18,0.18,972
2018-01-15,0.21,0.21,0.21,0.21,28
2018-01-12,0.21,0.21,0.21,0.21,472
2018-01-11,0.21,0.21,0.21,0.21,80
2018-01-10,0.21,0.21,0.21,0.21,10
2018-01-09,0.25,0.25,0.25,0.25,915
2018-01-08,0.21,0.21,0.21,0.21,40
2018-01-05,0.23,0.23,0.23,0.23,1545
2017-12-29,0.21,0.21,0.21,0.21,89
2017-12-28,0.21,0.24,0.21,0.24,2501
2017-12-27,0.21,0.21,0.21,0.21,100
2017-12-22,0.24,0.24,0.24,0.24,7208
2017-12-21,0.21,0.21,0.21,0.21,3630
2017-12-14,0.26,0.26,0.26,0.26,450
2017-12-13,0.26,0.26,0.26,0.26,50
2017-12-12,0.26,0.26,0.26,0.26,590
2017-12-11,0.28,0.28,0.28,0.28,50
2017-12-06,0.3,0.3,0.3,0.3,100
2017-12-01,0.31,0.31,0.31,0.31,2200
2017-11-30,0.38,0.38,0.38,0.38,50
2017-11-29,0.36,0.36,0.36,0.36,60
2017-11-27,0.38,0.38,0.38,0.38,790
2017-11-24,0.34,0.38,0.34,0.38,1600
2017-11-23,0.34,0.34,0.34,0.34,50
2017-11-22,0.34,0.34,0.34,0.34,50
2017-11-17,0.3,0.35,0.3,0.35,356
2017-11-16,0.28,0.28,0.28,0.28,50
2017-11-15,0.28,0.28,0.28,0.28,300
2017-11-10,0.24,0.24,0.24,0.24,2600
2017-11-08,0.28,0.3,0.28,0.3,194
2017-11-07,0.25,0.25,0.25,0.25,2000
2017-11-03,0.3,0.3,0.3,0.3,150
2017-10-26,0.32,0.32,0.32,0.32,100
2017-10-24,0.34,0.34,0.34,0.34,50
2017-10-23,0.36,0.36,0.34,0.34,700
2017-10-20,0.36,0.36,0.36,0.36,50
2017-10-16,0.4,0.4,0.4,0.4,1800
2017-10-13,0.4,0.4,0.4,0.4,100
2017-10-12,0.4,0.4,0.4,0.4,100
2017-10-11,0.41,0.41,0.41,0.41,65
2017-10-09,0.38,0.38,0.38,0.38,1386
2017-10-06,0.4,0.4,0.4,0.4,100
2017-10-05,0.38,0.38,0.38,0.38,139
2017-10-04,0.39,0.39,0.38,0.38,6337
2017-10-03,0.35,0.36,0.35,0.36,5966
2017-10-02,0.32,0.32,0.32,0.32,50
2017-09-29,0.32,0.32,0.32,0.32,50
2017-09-28,0.32,0.32,0.32,0.32,50
2017-09-27,0.32,0.32,0.32,0.32,153050
2017-09-26,0.32,0.32,0.32,0.32,1
2017-09-22,0.32,0.32,0.32,0.32,153100
2017-09-18,0.27,0.3,0.27,0.3,3065
2017-09-14,0.24,0.24,0.24,0.24,11
2017-09-13,0.24,0.24,0.24,0.24,50
2017-09-12,0.24,0.24,0.24,0.24,139
2017-09-11,0.24,0.24,0.24,0.24,16700
2017-09-07,0.27,0.27,0.27,0.27,100
2017-09-05,0.27,0.27,0.27,0.27,100
2017-08-30,0.27,0.27,0.27,0.27,100
2017-08-21,0.28,0.28,0.27,0.27,400
2017-08-17,0.3,0.3,0.3,0.3,200
2017-08-16,0.3,0.3,0.3,0.3,300
2017-08-14,0.3,0.3,0.3,0.3,200
2017-08-11,0.34,0.34,0.34,0.34,50
2017-08-10,0.34,0.34,0.34,0.34,50
2017-08-09,0.34,0.34,0.34,0.34,100
2017-08-04,0.34,0.34,0.34,0.34,3987
2017-07-28,0.38,0.38,0.38,0.38,50
