Date,Open,High,Close,Volume
2000-01-03,7.5693,7.6072,7.3606,4199575
2000-01-04,7.5693,7.6072,7.114,4260524
2000-01-05,7.3986,7.3986,7.3037,8367194
2000-01-06,7.4934,8.1953,7.9677,7767254
2000-01-07,7.4934,8.3471,8.2712,7535647
2000-01-10,7.778,8.1194,7.8728,5742088
2000-01-11,7.7969,8.0246,7.9487,3433919
2000-01-12,7.8728,7.9677,7.8728,4109634
2000-01-13,7.7969,7.9867,7.8918,3055045
2000-01-14,7.7969,7.9867,7.8918,4805115
2000-01-17,7.7969,7.9867,7.8918,0
2000-01-18,7.9677,8.0625,8.0246,4379458
2000-01-19,7.9867,8.1384,8.1005,3248106
2000-01-20,8.0625,8.0625,7.8159,5619201
2000-01-21,7.9677,8.3092,8.0815,5238679
2000-01-24,7.9677,8.3092,7.7021,5533542
2000-01-25,7.8349,7.8349,7.5314,4967537
2000-01-26,7.2847,7.7969,7.5883,6971618
2000-01-27,7.8159,7.8159,7.3986,4540892
2000-01-28,7.4934,7.5883,7.3986,4537268
2000-01-31,7.3986,7.8159,7.7969,4766898
2000-02-01,7.7211,7.7211,7.4934,1398870
2000-02-02,7.5693,7.8539,7.7589999999999995,3401962
2000-02-03,7.6831,7.6831,7.6072,3313997
2000-02-04,7.9677,7.9677,7.3796,5431411
2000-02-07,7.3416,7.6452,7.5883,4708255
2000-02-08,7.6641,7.74,7.4175,1346486
2000-02-09,7.3416,7.3606,7.095,2870879
2000-02-10,7.3416,7.4175,7.2658,2183304
2000-02-11,7.2658,7.2658,6.9812,2865937
2000-02-14,6.9812,7.132999999999999,7.095,3802910
2000-02-15,7.1519,7.3416,7.2658,3260296
2000-02-16,7.2847,7.5124,7.4175,2900201
2000-02-17,7.4934,7.5503,7.3796,1706582
2000-02-18,7.3037,7.3037,7.0571,1979371
2000-02-21,7.3037,7.3037,7.0571,0
2000-02-22,7.132999999999999,7.1899,6.9812,2847488
2000-02-23,6.6966,6.8294,6.6587,4151475
2000-02-24,6.6208,6.6777,6.5449,5322691
2000-02-25,6.6777,6.6777,6.45,5997417
2000-02-28,6.3931,6.6208,6.468999999999999,4271397
2000-02-29,6.5069,6.6208,6.5639,4559341
2000-03-01,6.5069,6.8294,6.8105,5458097
2000-03-02,6.6587,7.2847,7.1519,6510709
2000-03-03,7.3416,7.3416,7.0381,2985859
2000-03-06,7.0571,7.132999999999999,7.0191,2179351
2000-03-07,7.2847,7.5883,7.5693,4205176
2000-03-08,7.4744,7.8728,7.4555,8301961
2000-03-09,7.2847,7.6072,7.5883,4038142
2000-03-10,7.4365,7.9297,7.5883,5176412
2000-03-13,7.4365,7.8539,7.5883,5091413
2000-03-14,7.5693,7.7021,7.4934,3157506
2000-03-15,7.4175,7.8918,7.6262,5397477
2000-03-16,7.4744,7.9108,7.8728,4422287
2000-03-17,7.5124,7.778,7.3796,6541348
2000-03-20,7.4555,7.4555,7.3227,2608632
2000-03-21,7.3227,7.5314,7.4175,4552093
2000-03-22,7.3227,7.4175,7.2658,4200234
2000-03-23,7.2468,7.2468,6.9053,14840016
2000-03-24,6.9053,7.114,6.9053,10009861
2000-03-27,6.8674,7.0761,7.0571,4597558
2000-03-28,6.9622,7.1709,6.8484,5720015
2000-03-29,6.8674,7.3037,7.2468,6460302
2000-03-30,7.3606,7.8349,7.6641,9002714
2000-03-31,7.74,7.9867,7.9108,7956362
2000-04-03,7.9297,7.9867,7.8349,3484326
2000-04-04,7.9297,8.0056,7.6641,5378039
