Date,Open,High,Close,Volume
2000-01-03,5.3595,5.3595,5.0625,839600
2000-01-04,5.047,5.047,4.891,911200
2000-01-05,4.845,5.016,4.843999999999999,1540000
2000-01-06,4.815,5.266,5.125,2677200
2000-01-07,5.175,5.2815,5.2035,1256800
2000-01-10,5.218999999999999,5.218999999999999,5.0315,1205200
2000-01-11,5.016,5.1875,5.125,677600
2000-01-12,5.125,5.141,5.0785,589600
2000-01-13,5.095,5.1565,5.141,1234400
2000-01-14,5.075,5.093999999999999,4.9845,1082800
2000-01-17,5.075,5.093999999999999,4.9845,0
2000-01-18,5.05,5.5625,5.468999999999999,4741600
2000-01-19,5.405,5.547000000000001,5.516,2240800
2000-01-20,5.53,5.547000000000001,5.5,2066399
2000-01-21,5.595,5.797000000000001,5.6095,1889200
2000-01-24,5.675,5.8125,5.3595,964400
2000-01-25,5.36,5.422000000000001,5.25,1358800
2000-01-26,5.315,5.375,5.1875,1199200
2000-01-27,5.19,5.2345,5.125,1587600
2000-01-28,5.075,5.172000000000001,5.0,1055200
2000-01-31,5.05,5.1875,5.016,1080800
2000-02-01,5.065,5.3595,5.3285,2078399
2000-02-02,5.315,5.593999999999999,5.2815,2538000
2000-02-03,5.375,5.6565,5.547000000000001,2930800
2000-02-04,5.5,5.75,5.3595,1830800
2000-02-07,5.36,5.6565,5.5785,1367600
2000-02-08,5.595,5.672000000000001,5.3595,1909200
2000-02-09,5.345,5.4065,5.1565,1239600
2000-02-10,5.155,5.5315,5.516,1200000
2000-02-11,5.515,5.6095,5.343999999999999,1179200
2000-02-14,5.39,5.516,5.4065,738800
2000-02-15,5.44,5.75,5.6875,1274400
2000-02-16,5.655,5.6875,5.6565,1619600
2000-02-17,5.7,5.8595,5.7345,2508000
2000-02-18,5.7,5.75,5.547000000000001,1489200
2000-02-21,5.7,5.75,5.547000000000001,0
2000-02-22,5.55,5.593999999999999,5.4375,810000
2000-02-23,5.425,5.4845,5.297000000000001,1131200
2000-02-24,5.265,5.297000000000001,5.2345,2065200
2000-02-25,5.1875,5.1875,5.1565,762400
