Date,Open,High,Low,Close,Volume
2018-02-02,9.25,9.4,9.25,9.4,1375
2018-02-01,9.0,9.3,9.0,9.3,140
2018-01-31,9.1,9.35,9.1,9.35,520
2018-01-30,9.4,9.4,9.4,9.4,20
2018-01-29,9.4,9.4,9.4,9.4,100
2018-01-26,9.4,9.4,9.4,9.4,1350
2018-01-25,9.4,9.4,9.4,9.4,100
2018-01-24,9.0,9.4,9.0,9.4,2568
2018-01-23,9.15,9.2,9.0,9.2,4514
2018-01-22,9.1,9.4,9.0,9.3,8219
2018-01-19,9.25,9.65,9.1,9.1,9228
2018-01-18,9.25,9.6,9.2,9.55,5766
2018-01-17,9.25,9.65,9.25,9.65,2680
2018-01-16,9.65,9.65,9.65,9.65,3615
2018-01-15,9.7,10.0,9.65,9.65,2754
2018-01-12,9.3,10.1,8.95,10.1,9979
2018-01-11,9.3,9.3,9.3,9.3,900
2018-01-10,9.25,9.25,9.25,9.25,11
2018-01-09,9.25,9.25,9.25,9.25,200
2018-01-08,9.2,9.2,9.2,9.2,30
2018-01-05,9.05,9.2,8.8,9.2,3124
2018-01-04,9.3,9.3,9.3,9.3,10
2018-01-03,9.3,9.3,9.3,9.3,10
2017-12-29,9.2,9.3,9.2,9.3,410
2017-12-28,9.29,9.29,9.29,9.29,10
2017-12-27,9.08,9.3,9.08,9.3,995
2017-12-22,9.25,9.25,9.25,9.25,10
2017-12-21,9.3,9.3,9.08,9.25,1986
2017-12-20,9.33,9.33,9.33,9.33,10
2017-12-19,9.35,9.35,9.15,9.35,80
2017-12-18,9.35,9.35,9.35,9.35,20
2017-12-15,9.34,9.35,9.34,9.35,20
2017-12-14,9.34,9.34,9.34,9.34,20
2017-12-13,9.35,9.35,9.34,9.34,20
2017-12-12,9.08,9.35,9.08,9.35,980
2017-12-11,9.35,9.35,9.3,9.3,60
2017-12-08,9.39,9.39,9.39,9.39,20
2017-12-07,9.08,9.4,9.08,9.39,70
2017-12-06,9.08,9.4,9.08,9.4,80
2017-12-05,8.34,9.98,8.34,9.08,3602
2017-12-04,8.75,8.75,8.75,8.75,140
2017-12-01,8.73,8.75,8.73,8.75,240
2017-11-30,8.75,8.75,8.75,8.75,55
2017-11-29,8.74,8.75,8.35,8.75,150
2017-11-27,8.75,8.75,8.5,8.5,162
2017-11-24,8.75,8.75,8.35,8.75,2088
2017-11-23,8.63,8.7,8.35,8.7,1470
2017-11-21,8.75,8.75,8.39,8.75,7498
2017-11-16,8.75,8.75,8.75,8.75,130
2017-11-15,8.7,8.75,8.7,8.75,13900
2017-11-14,8.0,8.69,8.0,8.69,22864
2017-11-13,8.6,8.6,8.0,8.13,20450
2017-11-10,8.01,8.3,8.0,8.3,18357
2017-11-09,8.0,8.29,8.0,8.29,7090
2017-11-08,8.0,8.29,8.0,8.29,2200
2017-11-07,8.25,8.46,8.15,8.29,9200
2017-11-06,8.34,8.35,8.0,8.25,9925
2017-11-03,8.27,8.55,8.0,8.33,7959
2017-11-02,8.46,8.79,8.4,8.65,9731
2017-10-31,8.55,8.55,8.55,8.55,1090
2017-10-30,8.4,8.8,8.4,8.8,9241
2017-10-20,8.0,8.45,8.0,8.45,6300
2017-10-19,8.15,8.2,8.08,8.08,2372
2017-10-17,8.45,8.45,8.45,8.45,90
2017-10-16,8.46,8.46,8.4,8.45,5025
2017-10-13,8.46,8.46,8.46,8.46,925
2017-10-12,8.5,8.5,8.4,8.46,2385
2017-10-11,8.39,8.5,8.39,8.5,3165
2017-10-10,8.3,8.3,8.3,8.3,910
2017-10-09,8.5,8.5,8.5,8.5,110
2017-10-06,8.5,8.5,8.5,8.5,130
2017-10-05,8.5,8.5,8.3,8.3,2400
2017-10-04,8.4,8.5,8.4,8.5,2276
2017-10-03,8.35,8.4,7.52,8.4,9272
2017-10-02,8.0,8.35,8.0,8.35,10045
2017-09-29,7.85,8.0,7.85,7.99,10705
2017-09-28,7.87,7.87,7.86,7.86,5962
2017-09-27,7.87,7.87,7.8,7.87,6520
2017-09-26,6.8,7.88,6.8,7.87,12176
2017-09-25,6.71,7.38,6.71,7.13,3946
2017-09-19,6.7,6.7,6.7,6.7,715
2017-09-18,6.7,6.7,6.7,6.7,40
2017-09-14,6.7,6.7,6.7,6.7,100
2017-09-12,6.51,6.51,6.51,6.51,140
2017-09-08,6.45,6.92,6.45,6.92,8100
2017-09-06,6.78,6.78,6.78,6.78,11876
2017-09-05,6.82,6.82,6.75,6.75,461
2017-09-04,6.83,6.83,6.83,6.83,1130
2017-08-31,7.0,7.0,7.0,7.0,160
2017-08-30,7.11,7.11,7.11,7.11,150
2017-08-24,7.14,7.14,7.14,7.14,1725
2017-08-22,6.85,6.85,6.85,6.85,270
2017-08-21,6.85,6.85,6.85,6.85,440
2017-08-18,7.15,7.15,6.83,6.83,1002
2017-08-17,6.92,7.16,6.83,7.16,3864
2017-08-16,6.62,6.77,6.62,6.77,201
2017-08-14,6.45,6.94,6.4,6.94,9765
2017-08-11,6.61,6.9,6.5,6.5,5250
2017-08-09,6.38,6.95,6.31,6.94,53325
2017-08-08,6.33,6.33,6.33,6.33,320
2017-08-02,6.63,6.63,6.63,6.63,150
2017-07-28,6.63,6.63,6.32,6.63,2580
2017-06-29,6.75,6.75,6.75,6.75,1100
2017-06-27,6.8,6.8,6.8,6.8,4910
2017-06-21,6.8,6.8,6.8,6.8,300
2017-06-19,7.0,7.0,6.9,6.9,1473
