Date,Open,High,Low,Close,Volume
2018-02-05,0.36,0.37,0.32,0.34,4358.0
2018-02-02,0.38,0.38,0.36,0.36,3297.0
2018-02-01,0.42,0.42,0.36,0.36,5110.0
2018-01-31,0.37,0.41,0.36,0.39,5115.0
2018-01-30,0.38,0.39,0.35,0.36,40179.0
2018-01-29,0.42,0.43,0.38,0.4,98941.0
2018-01-26,0.47,0.47,0.43,0.44,45075.0
2018-01-25,0.5,0.5,0.45,0.49,45801.0
2018-01-24,0.44,0.51,0.42,0.48,359946.0
2018-01-23,0.31,0.37,0.31,0.37,191539.0
2018-01-17,0.26,0.27,0.24,0.26,900.0
2018-01-16,0.28,0.28,0.26,0.26,230.0
2018-01-15,0.27,0.27,0.27,0.27,57.0
2018-01-12,0.26,0.26,0.26,0.26,100.0
2018-01-11,0.22,0.25,0.22,0.25,655.0
2018-01-08,0.2,0.2,0.2,0.2,3000.0
2017-12-28,0.24,0.24,0.24,0.24,250.0
2017-12-19,0.28,0.29,0.28,0.29,5230.0
2017-12-18,0.23,0.27,0.23,0.27,24476.0
2017-12-15,0.26,0.26,0.24,0.24,3124.0
2017-12-13,0.23,0.23,0.23,0.23,2266.0
2017-12-11,0.25,0.25,0.25,0.25,1243.0
2017-12-07,0.22,0.22,0.22,0.22,7500.0
2017-12-06,0.22,0.23,0.2,0.23,27230.0
2017-12-04,0.2,0.2,0.2,0.2,1.0
2017-11-30,0.25,0.25,0.25,0.25,200.0
2017-11-29,0.26,0.26,0.25,0.25,833.0
2017-11-27,0.29,0.29,0.26,0.29,12071.0
2017-11-24,0.29,0.29,0.28,0.28,1003.0
2017-11-22,0.27,0.27,0.27,0.27,300.0
2017-11-14,0.25,0.29,0.23,0.27,10610.0
2017-11-13,0.32,0.32,0.26,0.26,4100.0
2017-11-06,0.28,0.28,0.28,0.28,3600.0
2017-11-03,0.33,0.33,0.33,0.33,6.0
2017-11-02,0.34,0.34,0.31,0.31,2073.0
2017-10-31,0.34,0.34,0.34,0.34,800.0
2017-10-30,0.3,0.35,0.3,0.32,14165.0
2017-10-27,0.27,0.3,0.27,0.3,7065.0
2017-10-26,0.22,0.26,0.21,0.25,12474.0
2017-10-25,0.22,0.22,0.22,0.22,1900.0
2017-10-24,0.24,0.24,0.24,0.24,3834.0
2017-10-17,0.28,0.28,0.28,0.28,3850.0
2017-10-05,0.26,0.26,0.22,0.26,8051.0
2017-10-04,0.29,0.29,0.27,0.27,5010.0
2017-09-26,0.27,0.27,0.27,0.27,423.0
2017-09-21,0.28,0.28,0.28,0.28,4723.0
2017-09-20,0.29,0.29,0.27,0.27,13993.0
2017-09-15,0.31,0.31,0.31,0.31,3749.0
2017-09-14,0.28,0.3,0.27,0.29,1431.0
2017-09-13,0.29,0.29,0.26,0.26,6750.0
2017-08-30,0.33,0.33,0.33,0.33,2000.0
2017-08-29,0.35,0.35,0.35,0.35,370.0
2017-08-21,0.35,0.35,0.34,0.34,2540.0
2017-08-16,0.36,0.37,0.36,0.37,1622.0
2017-08-14,0.34,0.34,0.34,0.34,2000.0
2017-08-11,0.34,0.34,0.34,0.34,1.0
2017-08-04,0.33,0.33,0.33,0.33,999.0
