Date,Open,High,Low,Close,Volume
2017-10-03,1.16,1.17,1.16,1.17,842.0
2017-09-28,1.45,1.45,1.45,1.45,16.0
2017-09-27,1.45,1.45,1.45,1.45,5.0
2017-09-25,1.35,1.35,1.35,1.35,410.0
2017-09-22,1.13,1.35,1.13,1.35,344.0
2017-09-21,1.35,1.35,1.35,1.35,6000.0
2017-09-20,1.05,1.05,1.05,1.05,278.0
2017-09-19,1.35,1.35,1.35,1.35,270.0
2017-09-18,1.47,1.47,1.4,1.4,449.0
2017-09-15,1.44,1.44,1.44,1.44,1503.0
2017-09-14,1.44,1.44,1.44,1.44,7.0
2017-09-13,1.47,1.47,1.44,1.44,485.0
2017-09-12,1.45,1.45,1.45,1.45,548.0
2017-09-11,1.49,1.49,1.49,1.49,5.0
2017-09-08,1.36,1.36,1.36,1.36,343.0
2017-09-07,1.48,1.48,1.35,1.35,7.0
2017-09-06,1.35,1.35,1.35,1.35,779.0
2017-09-05,1.45,1.45,1.35,1.35,4296.0
2017-09-04,1.22,1.32,1.22,1.32,8595.0
2017-09-01,1.09,1.2,1.09,1.2,3866.0
2017-08-31,1.01,1.09,1.01,1.09,3287.0
2017-08-30,0.9,0.97,0.9,0.97,3442.0
2017-08-29,1.01,1.01,1.01,1.01,9687.0
2017-08-28,1.25,1.25,1.11,1.11,3481.0
2017-08-22,1.3,1.3,1.25,1.25,1560.0
2017-08-21,1.3,1.3,1.3,1.3,433.0
2017-08-18,1.49,1.49,1.32,1.32,1922.0
2017-08-17,1.49,1.49,1.49,1.49,10.0
2017-08-14,1.49,1.49,1.49,1.49,2.0
2017-08-11,1.49,1.49,1.49,1.49,2.0
2017-08-10,1.4,1.4,1.4,1.4,1177.0
2017-08-08,1.4,1.4,1.4,1.4,366.0
2017-08-07,1.5,1.5,1.49,1.49,409.0
2017-08-04,1.5,1.5,1.5,1.5,299.0
2017-08-03,1.5,1.5,1.5,1.5,555.0
2017-08-02,1.63,1.63,1.59,1.59,989.0
2017-08-01,1.63,1.63,1.63,1.63,4670.0
2017-07-31,1.63,1.63,1.63,1.63,1992.0
2017-07-28,1.59,1.59,1.59,1.59,1408.0
2017-07-27,1.62,1.62,1.62,1.62,1597.0
2017-07-26,1.65,1.65,1.62,1.62,3072.0
2017-07-24,1.67,1.67,1.61,1.61,2333.0
2017-07-21,1.8,1.8,1.8,1.8,739.0
2017-07-20,1.9,1.9,1.9,1.9,3330.0
2017-07-19,1.91,1.91,1.91,1.91,662.0
2017-07-18,2.0,2.0,2.0,2.0,290.0
2017-07-17,2.01,2.01,2.01,2.01,1611.0
2017-07-14,2.02,2.02,2.0,2.0,480.0
2017-07-13,2.2,2.2,2.02,2.02,34.0
2017-07-12,2.0,2.02,2.0,2.02,1054.0
2017-07-11,2.0,2.0,2.0,2.0,1173.0
2017-07-10,2.0,2.0,2.0,2.0,900.0
2017-07-07,2.02,2.02,2.02,2.02,1140.0
2017-07-06,2.1,2.1,2.1,2.1,4617.0
2017-07-05,2.22,2.22,2.22,2.22,1070.0
2017-07-04,2.52,2.52,2.5,2.5,2420.0
2017-07-03,2.74,2.74,2.74,2.74,281.0
2017-06-19,2.85,3.04,2.85,3.04,3038.0
