Date,Open,High,Low,Close,Volume
2018-02-02,13.05,13.05,12.7,12.95,2228
2018-02-01,13.4,13.45,12.75,13.1,8536
2018-01-31,13.45,13.45,13.15,13.3,1483
2018-01-30,13.3,13.45,12.7,13.45,8598
2018-01-29,13.4,13.4,13.2,13.35,2023
2018-01-26,13.45,13.45,13.3,13.4,10193
2018-01-25,13.3,13.45,13.1,13.35,3930
2018-01-24,13.4,13.4,13.05,13.2,2641
2018-01-23,12.7,13.45,12.7,13.0,9957
2018-01-22,12.95,12.95,12.7,12.8,6857
2018-01-19,12.65,13.2,12.6,12.7,1720
2018-01-18,12.25,12.7,12.15,12.4,7359
2018-01-17,12.25,12.45,12.25,12.25,6426
2018-01-16,12.3,12.45,12.25,12.25,1621
2018-01-15,12.5,12.5,12.3,12.35,5228
2018-01-12,12.2,12.5,12.1,12.5,8525
2018-01-11,12.25,12.25,12.1,12.2,13175
2018-01-10,12.4,12.4,12.0,12.3,5404
2018-01-09,12.4,12.45,12.2,12.45,1450
2018-01-08,12.55,12.55,12.15,12.4,4864
2018-01-05,12.55,12.6,12.45,12.55,990
2018-01-04,12.45,12.45,12.3,12.35,1603
2018-01-03,12.5,12.7,12.35,12.5,2342
2017-12-29,12.1,12.35,12.1,12.15,2641
2017-12-28,12.15,12.29,12.12,12.25,5749
2017-12-27,12.4,12.46,12.1,12.15,26630
2017-12-22,12.14,12.15,12.1,12.12,12887
2017-12-21,12.14,12.16,12.1,12.14,6895
2017-12-20,12.15,12.22,12.1,12.14,3625
2017-12-19,12.29,12.29,12.1,12.16,14155
2017-12-18,12.14,12.3,12.02,12.3,11740
2017-12-15,12.1,12.15,11.93,12.14,3578
2017-12-14,12.01,12.3,12.0,12.13,21715
2017-12-13,11.85,11.85,11.54,11.56,8325
2017-12-12,11.7,11.83,11.7,11.78,3483
2017-12-11,11.67,11.99,11.57,11.79,8983
2017-12-08,11.6,11.66,11.57,11.66,2656
2017-12-07,11.62,11.64,11.46,11.64,4286
2017-12-06,11.49,11.65,11.22,11.62,5964
2017-12-05,11.5,11.68,11.24,11.4,7245
2017-12-04,11.5,11.8,11.41,11.69,6884
2017-12-01,11.4,11.86,11.4,11.69,13946
2017-11-30,11.44,11.55,11.38,11.4,2331
2017-11-29,11.43,11.5,10.91,11.35,21550
2017-11-28,11.02,11.5,11.02,11.4,10213
2017-11-27,11.5,11.68,10.9,10.9,19392
2017-11-24,11.9,11.9,11.4,11.86,14579
2017-11-23,11.62,11.95,11.4,11.5,8853
2017-11-22,11.73,11.73,11.43,11.6,11413
2017-11-21,11.17,11.95,11.05,11.73,14125
2017-11-20,11.3,11.3,11.12,11.13,6478
2017-11-17,11.13,11.3,11.0,11.3,6772
2017-11-16,11.09,11.16,10.84,11.16,4833
2017-11-15,11.1,11.2,10.77,11.2,4087
2017-11-14,11.28,11.33,11.07,11.29,5379
2017-11-13,11.32,11.32,11.01,11.3,6637
2017-11-10,11.22,11.3,11.09,11.3,6673
2017-11-09,10.71,11.3,10.71,11.11,25113
2017-11-08,10.79,10.79,10.45,10.54,3575
2017-11-07,10.93,10.93,10.37,10.8,7698
2017-11-06,10.95,10.95,10.67,10.9,1786
2017-11-03,11.22,11.22,10.9,11.02,2870
2017-11-02,11.29,11.3,11.05,11.18,2635
2017-10-31,11.19,11.3,11.05,11.1,4890
2017-10-30,11.4,11.4,11.02,11.09,3606
2017-10-27,11.3,11.3,11.12,11.3,1115
2017-10-26,11.02,11.29,11.02,11.29,993
2017-10-25,10.5,11.5,10.5,11.0,28040
2017-10-24,11.19,11.19,10.5,10.5,7568
2017-10-23,11.2,11.27,10.38,11.18,2972
2017-10-20,10.99,11.45,10.63,11.35,11837
2017-10-19,12.4,12.49,11.05,11.05,38779
2017-10-18,13.8,13.8,12.6,12.6,35924
2017-10-17,13.67,13.8,13.65,13.8,8058
2017-10-16,14.05,14.05,13.67,13.67,1931
2017-10-13,14.0,14.18,13.65,13.99,25683
2017-10-12,14.19,14.24,13.96,14.0,3811
2017-10-11,14.28,14.28,14.0,14.14,5937
2017-10-10,14.28,14.28,14.11,14.28,1310
2017-10-09,13.99,14.29,13.91,14.28,9926
2017-10-06,14.11,14.11,13.9,13.98,17146
2017-10-05,13.9,14.39,13.87,14.08,4945
2017-10-04,14.3,14.3,13.91,14.19,3321
2017-10-03,14.3,14.5,14.2,14.2,512
2017-10-02,14.45,14.45,14.01,14.22,6186
2017-09-29,14.3,14.65,14.26,14.64,2743
2017-09-28,14.12,14.31,13.9,14.3,2443
2017-09-27,13.89,14.09,13.87,14.09,2686
2017-09-26,14.2,14.2,13.95,13.95,947
2017-09-25,13.89,14.2,13.89,14.07,5402
2017-09-22,13.87,14.08,13.87,13.99,3910
2017-09-21,13.73,14.07,13.73,13.99,2405
2017-09-20,14.34,14.65,13.27,13.7,15171
2017-09-19,14.4,14.44,14.22,14.33,8366
2017-09-18,14.51,14.55,14.4,14.48,6217
2017-09-15,14.46,14.73,14.4,14.4,4925
2017-09-14,14.2,14.52,14.2,14.44,3733
2017-09-13,14.35,14.53,14.04,14.2,8275
2017-09-12,13.8,13.92,13.6,13.87,11990
2017-09-11,13.79,14.0,13.79,14.0,3417
2017-09-08,13.55,13.79,13.5,13.79,5506
2017-09-07,14.0,14.37,13.21,13.55,21224
2017-09-06,15.6,15.6,14.4,14.44,5722
2017-09-05,15.64,16.0,15.25,15.4,4775
2017-09-04,16.17,16.17,15.19,15.63,12622
2017-09-01,16.29,16.3,15.9,16.21,13776
2017-08-31,15.9,16.3,15.48,16.3,6351
2017-08-30,15.64,15.94,15.33,15.9,14317
2017-08-29,16.0,16.0,15.36,15.54,2333
2017-08-28,15.87,15.87,15.3,15.7,38392
2017-08-25,15.85,15.99,15.7,15.87,6639
2017-08-24,15.94,15.99,15.71,15.85,4099
2017-08-23,16.3,16.4,15.99,15.99,57496
2017-08-22,16.18,16.4,16.04,16.3,14121
2017-08-21,14.77,16.21,14.77,16.0,39304
2017-08-18,14.65,14.77,14.31,14.77,8999
2017-08-17,14.49,14.54,14.25,14.54,3853
2017-08-16,14.45,14.49,14.17,14.49,148484
2017-08-14,14.2,14.66,14.2,14.45,654
2017-08-11,14.55,14.59,14.2,14.49,3795
2017-08-10,14.39,14.75,14.32,14.32,2039
2017-08-09,14.77,14.78,14.35,14.35,2301
2017-08-08,13.71,14.8,13.71,14.79,10547
2017-08-07,14.15,14.15,13.9,14.0,3346
2017-08-04,13.8,14.18,13.8,14.18,2396
2017-08-03,14.3,14.3,13.62,13.7,25652
2017-08-02,13.84,14.3,13.84,14.3,11263
2017-08-01,12.99,14.5,12.99,13.7,40265
2017-07-31,12.58,13.2,12.35,12.98,15797
2017-07-28,12.4,12.5,11.66,12.5,19842
2017-07-27,12.36,12.36,12.2,12.23,671
2017-07-26,12.37,12.5,12.21,12.26,407
2017-07-25,12.55,12.55,12.2,12.3,7826
2017-07-24,12.29,12.59,12.29,12.5,6036
2017-07-21,13.3,13.4,12.13,12.29,27426
2017-07-20,13.55,13.55,13.3,13.4,2992
2017-07-19,13.3,13.69,13.3,13.51,2252
2017-07-18,13.59,13.59,13.3,13.53,2545
2017-07-17,13.6,13.95,13.41,13.59,6143
2017-07-14,12.2,14.74,12.2,13.6,61201
2017-07-13,12.15,12.35,11.85,12.02,6017
2017-07-12,12.34,12.49,12.03,12.35,8369
2017-07-11,12.5,12.5,11.83,12.03,2665
2017-07-10,12.44,12.53,12.21,12.37,15429
2017-07-07,12.42,12.42,12.26,12.42,1084
2017-07-06,12.2,12.48,12.18,12.26,8288
2017-07-05,12.48,12.48,12.02,12.48,7493
2017-07-04,11.9,12.48,11.9,12.48,3616
2017-07-03,12.14,12.48,11.89,12.25,6173
2017-06-30,12.14,12.14,12.07,12.14,158
2017-06-29,12.14,12.14,11.81,12.13,233
2017-06-28,12.14,12.14,11.9,11.93,1969
2017-06-27,12.58,12.58,11.77,11.98,2246
2017-06-26,12.5,12.5,12.29,12.47,1618
2017-06-23,12.59,12.59,12.32,12.32,573
2017-06-22,12.69,12.69,12.5,12.5,9688
2017-06-21,12.32,12.62,12.11,12.5,12049
2017-06-20,12.29,12.32,12.13,12.22,232
2017-06-19,11.9,12.14,11.9,12.14,3739
2017-06-16,12.54,12.59,11.81,11.9,8249
2017-06-14,12.65,12.65,12.32,12.55,2279
2017-06-13,12.65,12.75,12.5,12.62,670
2017-06-12,12.5,12.66,12.28,12.66,1407
2017-06-09,12.55,12.66,12.4,12.66,7375
2017-06-08,12.5,12.66,12.49,12.53,1802
2017-06-07,12.44,12.63,12.33,12.46,4750
2017-06-06,11.95,12.6,11.95,12.55,24299
2017-06-05,11.39,12.0,11.22,12.0,18257
2017-06-02,11.47,11.47,11.25,11.39,4071
2017-06-01,11.49,11.95,11.21,11.34,4201
2017-05-31,11.4,11.4,11.09,11.3,8333
2017-05-30,11.35,11.63,11.35,11.45,1406
2017-05-29,11.6,11.95,11.31,11.91,6091
2017-05-26,12.5,12.5,11.55,11.6,12026
2017-05-25,12.6,12.6,12.11,12.23,9140
2017-05-24,12.26,12.6,12.26,12.6,1677
2017-05-23,12.25,12.49,12.25,12.35,460
2017-05-22,12.2,12.96,12.2,12.34,6723
2017-05-19,12.38,12.46,12.16,12.16,648
2017-05-18,12.5,12.8,12.11,12.32,3137
2017-05-17,12.68,12.94,12.34,12.67,698
2017-05-16,12.95,12.97,12.3,12.97,6693
2017-05-15,13.0,13.0,12.66,12.95,4925
2017-05-12,13.39,13.39,12.8,12.99,2921
2017-05-11,13.58,13.73,13.01,13.16,6654
2017-05-10,13.43,13.59,13.27,13.58,5422
2017-05-09,13.05,13.44,13.05,13.43,17352
2017-05-08,13.13,13.39,12.95,13.19,3167
2017-05-05,12.63,13.13,12.63,13.13,4054
2017-05-04,12.5,13.15,12.24,12.84,6344
2017-05-02,12.56,12.87,12.25,12.6,12702
2017-04-28,12.99,12.99,12.6,12.87,1244
2017-04-27,12.99,12.99,12.8,12.93,585
2017-04-26,13.0,13.0,12.84,12.9,3881
2017-04-25,12.77,13.2,12.67,12.84,5690
2017-04-24,12.82,12.82,12.51,12.6,2563
2017-04-21,12.5,12.81,12.47,12.5,5955
2017-04-20,12.9,12.99,12.22,12.46,16561
2017-04-19,13.17,13.48,12.88,12.9,9575
2017-04-18,13.33,13.69,13.17,13.68,5234
2017-04-13,13.1,13.4,13.03,13.33,14726
2017-04-12,13.99,13.99,13.02,13.02,16867
2017-04-11,14.2,14.28,13.7,13.97,6671
2017-04-10,14.01,14.8,13.77,14.0,4613
2017-04-07,13.86,14.0,13.67,13.99,5423
2017-04-06,14.92,14.92,14.01,14.01,28916
2017-04-05,15.75,15.75,14.88,15.0,106212
2017-04-04,15.7,15.87,15.7,15.78,3916
2017-04-03,15.81,16.18,15.81,15.89,2299
2017-03-31,16.18,16.18,15.8,15.8,15183
2017-03-30,15.96,16.16,15.75,16.1,2646
2017-03-29,16.15,16.2,16.0,16.15,37040
2017-03-28,16.15,16.15,15.72,15.8,1537
2017-03-27,16.19,16.19,16.15,16.15,768
2017-03-24,16.3,16.3,15.92,16.19,405
2017-03-23,16.22,16.22,16.0,16.15,10581
2017-03-22,16.0,16.26,15.51,16.2,11701
2017-03-21,16.3,16.44,16.07,16.08,4228
2017-03-20,16.45,16.45,16.2,16.29,13724
2017-03-17,16.46,16.58,16.2,16.35,11579
2017-03-16,15.5,16.5,15.39,16.39,26996
2017-03-15,15.38,15.58,15.38,15.52,1253
2017-03-14,15.58,15.58,15.3,15.41,2803
2017-03-13,15.58,15.58,15.3,15.5,11370
2017-03-10,15.5,15.57,15.34,15.4,3205
2017-03-09,15.8,15.8,15.36,15.36,11194
2017-03-08,15.28,15.98,15.28,15.8,4554
2017-03-07,15.9,15.9,15.46,15.5,23539
2017-03-06,15.93,16.2,15.82,16.02,8472
2017-03-03,14.8,15.9,14.41,15.89,27801
2017-03-02,15.64,15.8,14.5,15.0,208680
2017-03-01,15.61,16.3,14.31,15.6,85776
2017-02-28,16.1,16.5,15.99,16.0,26158
2017-02-27,16.1,16.68,16.1,16.1,7061
2017-02-24,16.5,16.68,16.4,16.5,17688
2017-02-23,16.12,16.59,16.0,16.5,21524
2017-02-22,16.4,16.53,16.15,16.15,5610
2017-02-21,16.1,16.49,16.0,16.36,17935
2017-02-20,16.59,16.59,15.58,16.02,23176
2017-02-17,15.87,16.75,15.38,16.59,45171
2017-02-16,15.7,16.03,15.7,16.0,15963
2017-02-15,15.59,15.75,15.5,15.68,11343
2017-02-14,15.35,15.63,15.25,15.59,15903
2017-02-13,14.94,15.39,14.9,15.35,39557
2017-02-10,14.35,14.96,14.21,14.85,86660
2017-02-09,14.1,14.1,13.55,14.0,134441
2017-02-08,14.65,14.65,13.89,14.0,17490
2017-02-07,14.2,14.55,14.2,14.55,30152
2017-02-06,13.8,14.36,13.68,14.2,30405
2017-02-03,12.82,13.75,12.8,13.67,82803
2017-02-02,12.85,12.89,12.72,12.84,11075
2017-02-01,12.34,12.89,12.34,12.85,18010
2017-01-31,12.34,12.34,12.03,12.32,5115
2017-01-30,12.55,12.59,12.02,12.35,6173
2017-01-27,12.3,12.89,12.02,12.55,6758
2017-01-26,12.55,12.69,12.32,12.34,8033
2017-01-25,12.1,13.15,11.96,12.55,24993
2017-01-24,11.61,12.4,11.61,12.2,30402
2017-01-23,11.8,11.8,11.36,11.7,29245
2017-01-20,11.24,11.24,11.02,11.19,14534
2017-01-19,11.15,11.18,11.0,11.17,57395
2017-01-18,11.16,11.25,10.9,11.15,3683
2017-01-17,11.09,11.24,10.96,11.05,13104
2017-01-16,11.18,11.18,10.95,11.0,7555
2017-01-13,11.09,11.18,10.94,11.18,3154
2017-01-12,11.09,11.17,10.97,11.09,2034
2017-01-11,11.37,11.37,10.95,11.09,17292
2017-01-10,10.98,11.31,10.86,11.31,6152
2017-01-09,10.81,10.99,10.8,10.81,31552
2017-01-05,11.17,11.17,10.81,10.99,32613
2017-01-04,11.28,11.39,11.1,11.17,5225
2017-01-03,10.93,11.29,10.8,11.28,8627
2017-01-02,10.85,10.93,10.6,10.93,7182
2016-12-30,9.9,10.85,9.11,10.7,247098
2016-12-29,10.91,11.04,10.33,10.39,54186
2016-12-28,11.08,11.48,10.89,10.9,17801
2016-12-27,11.25,11.38,10.91,10.92,15262
2016-12-23,11.68,11.68,11.2,11.2,23250
2016-12-22,11.19,11.9,11.19,11.5,89696
2016-12-21,10.99,11.78,10.99,11.19,77663
2016-12-20,10.9,10.99,10.77,10.99,43909
2016-12-19,10.93,10.95,10.74,10.95,10186
2016-12-16,10.61,10.84,10.61,10.84,2370
2016-12-15,10.91,10.91,10.6,10.86,3403
2016-12-14,10.95,10.95,10.66,10.92,9587
2016-12-13,10.92,10.95,10.81,10.94,5643
2016-12-12,10.95,10.95,10.83,10.93,7893
2016-12-09,10.95,10.95,10.8,10.95,13259
2016-12-08,10.85,10.95,10.8,10.95,5029
2016-12-07,10.97,10.97,10.83,10.83,6279
2016-12-06,10.81,11.3,10.81,10.98,11703
2016-12-05,11.13,11.13,10.82,10.85,6918
2016-12-02,10.81,10.92,10.81,10.88,1442
2016-12-01,11.0,11.35,10.81,10.81,8126
2016-11-30,11.4,11.4,10.9,11.0,6241
2016-11-29,11.19,11.6,11.11,11.3,6078
2016-11-28,11.31,11.49,11.01,11.18,1943
2016-11-25,11.5,11.7,11.2,11.3,8964
2016-11-24,11.85,11.85,11.5,11.79,2558
2016-11-23,11.75,11.79,11.43,11.75,6856
2016-11-22,11.65,11.85,11.6,11.85,2821
2016-11-21,11.3,11.7,11.16,11.4,5815
2016-11-18,11.6,11.8,11.16,11.3,9586
2016-11-17,11.8,11.99,11.61,11.86,3632
2016-11-16,12.19,12.19,11.72,11.99,1508
2016-11-15,12.4,12.4,11.6,12.19,6102
2016-11-14,12.2,12.49,12.17,12.4,6020
2016-11-10,12.59,12.59,11.9,12.17,6923
2016-11-09,12.0,12.69,12.0,12.4,25679
2016-11-08,11.0,12.69,10.9,12.5,191511
2016-11-07,11.0,11.2,10.5,10.74,5947
2016-11-04,10.98,10.98,10.7,10.96,1101
2016-11-03,10.99,10.99,10.7,10.98,1651
2016-11-02,11.18,11.18,10.49,10.67,18416
2016-10-31,11.25,11.54,11.2,11.25,5054
2016-10-28,11.47,11.63,11.18,11.6,6064
2016-10-27,11.49,11.5,11.1,11.45,1728
2016-10-26,11.65,11.65,11.2,11.5,4841
2016-10-25,11.22,11.95,11.0,11.2,24465
2016-10-24,11.27,11.27,11.02,11.22,4012
2016-10-21,11.14,11.27,10.9,11.27,7420
2016-10-20,11.25,11.25,10.85,11.14,3121
2016-10-19,10.5,11.5,10.5,11.25,24025
2016-10-18,10.21,10.57,10.21,10.32,11943
2016-10-17,10.74,10.9,10.2,10.23,10491
2016-10-14,11.0,11.0,10.5,10.74,7309
2016-10-13,11.0,11.0,10.7,10.78,2829
2016-10-12,10.98,11.22,10.82,11.18,4432
2016-10-11,10.98,10.99,10.82,10.98,2514
2016-10-10,11.19,11.25,10.81,10.99,4489
2016-10-07,10.92,11.2,10.71,11.18,2936
2016-10-06,10.67,10.99,10.67,10.92,1854
2016-10-05,11.24,11.24,10.66,10.98,49708
2016-10-04,11.27,11.27,10.95,11.25,2121
2016-10-03,10.85,11.27,10.81,11.27,2081
2016-09-30,11.78,11.78,10.6,10.9,32794
2016-09-29,11.8,11.8,11.56,11.78,1452
2016-09-28,11.88,11.88,11.45,11.84,1463
2016-09-27,11.75,11.88,11.3,11.88,2662
2016-09-26,11.9,11.9,11.51,11.7,1755
2016-09-23,11.99,11.99,11.52,11.85,506
2016-09-22,11.9,12.0,11.71,11.75,1376
2016-09-21,11.8,12.0,11.55,11.9,4072
2016-09-20,11.9,11.9,11.4,11.77,5736
2016-09-19,11.99,11.99,11.61,11.9,1536
2016-09-16,11.99,12.0,11.83,11.97,703
2016-09-15,11.55,12.55,11.55,11.99,4839
2016-09-14,11.9,12.0,11.8,11.95,485
2016-09-13,12.1,12.1,11.55,11.8,3784
2016-09-12,12.19,12.19,11.86,12.04,641
2016-09-09,12.29,12.29,11.67,12.1,3916
2016-09-08,12.19,12.19,11.72,11.72,1356
2016-09-07,12.5,12.5,11.71,11.99,2099
2016-09-06,12.59,12.6,12.02,12.48,4240
2016-09-05,12.1,12.45,11.81,12.45,5455
2016-09-02,11.36,12.1,11.36,12.07,1191
2016-09-01,11.4,11.85,11.3,11.35,4931
2016-08-31,12.15,12.15,11.3,11.64,9406
2016-08-30,12.46,12.46,12.04,12.15,4345
2016-08-29,12.59,12.59,12.01,12.46,6919
2016-08-26,12.15,12.6,11.83,12.5,4781
2016-08-25,12.15,12.15,11.82,12.0,2757
2016-08-24,12.18,12.18,12.0,12.15,776
2016-08-23,12.05,12.44,12.0,12.1,2659
2016-08-22,11.83,12.49,11.7,12.19,3092
2016-08-19,12.2,12.2,11.52,11.83,4252
2016-08-18,12.52,12.52,11.72,12.19,6534
2016-08-17,13.0,13.0,12.52,12.52,8717
2016-08-16,12.99,13.15,12.65,13.14,2721
2016-08-12,13.06,13.15,12.6,12.98,6054
2016-08-11,13.3,13.4,12.57,13.06,12774
2016-08-10,13.4,13.5,13.3,13.45,4773
2016-08-09,13.3,13.5,13.3,13.48,4405
2016-08-08,13.44,13.62,13.25,13.3,11360
2016-08-05,13.3,13.63,13.1,13.49,16527
2016-08-04,13.38,13.63,13.16,13.6,11032
2016-08-03,13.7,13.92,12.96,13.2,13974
2016-08-02,14.15,14.15,13.5,13.65,10322
