Date,Open,High,Low,Close,Volume
2018-02-02,0.13,0.13,0.13,0.13,5500.0
2018-02-01,0.12,0.12,0.12,0.12,16709.0
2018-01-31,0.13,0.13,0.13,0.13,4349.0
2018-01-29,0.15,0.15,0.14,0.14,16452.0
2018-01-26,0.15,0.15,0.15,0.15,3250.0
2018-01-24,0.15,0.15,0.15,0.15,2303.0
2018-01-22,0.17,0.17,0.17,0.17,1500.0
2018-01-19,0.15,0.15,0.15,0.15,21498.0
2018-01-18,0.17,0.17,0.15,0.15,2172.0
2018-01-17,0.17,0.17,0.17,0.17,10.0
2018-01-16,0.16,0.16,0.15,0.15,41023.0
2018-01-15,0.19,0.19,0.19,0.19,10.0
2018-01-12,0.17,0.17,0.17,0.17,3500.0
2018-01-11,0.19,0.19,0.19,0.19,7610.0
2018-01-10,0.18,0.18,0.18,0.18,7130.0
2018-01-09,0.19,0.19,0.16,0.16,43621.0
2018-01-08,0.18,0.2,0.18,0.2,9203.0
2018-01-05,0.18,0.18,0.18,0.18,26646.0
2017-12-29,0.2,0.2,0.2,0.2,4350.0
2017-12-28,0.19,0.19,0.19,0.19,5200.0
2017-12-27,0.18,0.18,0.18,0.18,963.0
2017-12-21,0.15,0.15,0.15,0.15,1100.0
2017-12-20,0.2,0.2,0.2,0.2,8373.0
2017-12-19,0.24,0.25,0.24,0.25,2560.0
2017-12-18,0.24,0.24,0.24,0.24,6350.0
2017-12-15,0.2,0.22,0.2,0.22,1819.0
2017-12-14,0.19,0.2,0.19,0.2,818.0
2017-12-13,0.19,0.19,0.19,0.19,8150.0
2017-12-12,0.23,0.23,0.21,0.21,2136.0
2017-12-11,0.24,0.24,0.24,0.24,164.0
2017-12-07,0.26,0.26,0.26,0.26,1500.0
2017-12-05,0.22,0.22,0.22,0.22,2261.0
2017-12-01,0.22,0.22,0.22,0.22,7080.0
2017-11-30,0.26,0.26,0.26,0.26,7354.0
2017-11-29,0.23,0.23,0.23,0.23,2010.0
2017-11-28,0.23,0.23,0.23,0.23,7544.0
2017-11-27,0.27,0.27,0.27,0.27,3620.0
2017-11-24,0.27,0.27,0.27,0.27,5340.0
2017-11-22,0.32,0.32,0.32,0.32,12.0
2017-11-20,0.29,0.29,0.29,0.29,7725.0
2017-11-16,0.3,0.3,0.3,0.3,3764.0
2017-10-02,0.36,0.36,0.36,0.36,1000.0
2017-09-28,0.33,0.33,0.33,0.33,1690.0
2017-09-27,0.3,0.3,0.3,0.3,28.0
2017-09-25,0.33,0.33,0.33,0.33,2865.0
2017-09-22,0.31,0.31,0.31,0.31,1000.0
2017-09-21,0.3,0.3,0.3,0.3,200.0
2017-09-19,0.3,0.3,0.3,0.3,100.0
2017-09-18,0.29,0.3,0.29,0.3,1029.0
2017-09-14,0.3,0.3,0.3,0.3,999.0
2017-09-13,0.3,0.3,0.3,0.3,13.0
2017-09-06,0.29,0.29,0.29,0.29,90.0
2017-08-31,0.29,0.29,0.29,0.29,224.0
2017-08-29,0.29,0.29,0.29,0.29,300.0
2017-08-25,0.29,0.29,0.29,0.29,580.0
2017-08-23,0.31,0.31,0.31,0.31,67.0
2017-08-22,0.31,0.31,0.31,0.31,1.0
2017-08-21,0.31,0.31,0.31,0.31,7010.0
2017-08-18,0.31,0.31,0.31,0.31,10.0
2017-08-17,0.31,0.31,0.31,0.31,2400.0
2017-08-16,0.3,0.3,0.3,0.3,500.0
2017-08-14,0.29,0.29,0.29,0.29,500.0
2017-08-11,0.28,0.28,0.28,0.28,40.0
2017-08-10,0.29,0.29,0.29,0.29,500.0
2017-08-09,0.28,0.28,0.28,0.28,150.0
2017-08-08,0.28,0.28,0.28,0.28,1017.0
2017-08-07,0.3,0.3,0.3,0.3,300.0
2017-08-04,0.31,0.31,0.31,0.31,700.0
2017-08-02,0.28,0.28,0.28,0.28,200.0
2017-07-28,0.27,0.27,0.27,0.27,100.0
2017-07-27,0.25,0.27,0.25,0.27,4276.0
2017-07-17,0.31,0.31,0.31,0.31,2170.0
2017-07-13,0.31,0.31,0.31,0.31,300.0
2017-07-12,0.31,0.31,0.31,0.31,613.0
2017-07-07,0.31,0.31,0.31,0.31,3500.0
2017-07-05,0.32,0.32,0.32,0.32,4693.0
2017-07-03,0.32,0.32,0.32,0.32,154.0
2017-06-29,0.31,0.31,0.31,0.31,285.0
2017-06-28,0.31,0.31,0.31,0.31,100.0
2017-06-26,0.33,0.33,0.33,0.33,500.0
2017-06-23,0.33,0.33,0.33,0.33,53.0
2017-06-22,0.31,0.31,0.31,0.31,637.0
2017-06-21,0.31,0.31,0.31,0.31,670.0
2017-06-20,0.33,0.33,0.33,0.33,297.0
2017-06-19,0.33,0.33,0.33,0.33,20.0
2017-06-13,0.33,0.33,0.33,0.33,49.0
2017-06-09,0.33,0.33,0.33,0.33,3534.0
2017-06-07,0.37,0.37,0.37,0.37,709.0
2017-06-05,0.37,0.37,0.37,0.37,700.0
2017-06-02,0.34,0.37,0.34,0.37,595.0
2017-05-30,0.37,0.37,0.37,0.37,3290.0
2017-05-29,0.37,0.37,0.37,0.37,700.0
2017-05-25,0.31,0.31,0.31,0.31,300.0
2017-05-24,0.37,0.37,0.37,0.37,1000.0
2017-05-18,0.36,0.36,0.34,0.34,9937.0
2017-05-16,0.36,0.36,0.36,0.36,300.0
2017-05-11,0.36,0.36,0.36,0.36,210.0
2017-05-09,0.37,0.37,0.37,0.37,6030.0
2017-05-08,0.38,0.38,0.38,0.38,113.0
2017-05-05,0.38,0.38,0.38,0.38,700.0
2017-05-04,0.43,0.43,0.43,0.43,300.0
2017-04-28,0.43,0.43,0.43,0.43,300.0
2017-04-26,0.43,0.43,0.43,0.43,178.0
2017-04-20,0.43,0.43,0.43,0.43,1150.0
2017-04-19,0.43,0.43,0.43,0.43,292.0
2017-04-18,0.38,0.38,0.38,0.38,400.0
2017-04-11,0.38,0.38,0.38,0.38,816.0
2017-04-10,0.38,0.38,0.38,0.38,20.0
2017-04-07,0.4,0.4,0.38,0.38,1196.0
2017-04-03,0.38,0.38,0.38,0.38,1720.0
2017-03-31,0.38,0.38,0.38,0.38,818.0
2017-03-30,0.38,0.38,0.38,0.38,2943.0
2017-03-29,0.38,0.38,0.38,0.38,150.0
2017-03-27,0.38,0.38,0.38,0.38,26.0
2017-03-24,0.38,0.38,0.38,0.38,4.0
2017-03-23,0.38,0.38,0.38,0.38,211.0
2017-03-22,0.38,0.43,0.38,0.43,2575.0
2017-03-21,0.38,0.38,0.38,0.38,630.0
2017-03-20,0.41,0.41,0.41,0.41,26.0
2017-03-16,0.39,0.39,0.39,0.39,790.0
2017-03-14,0.39,0.4,0.39,0.4,531.0
2017-03-09,0.38,0.38,0.38,0.38,700.0
2017-03-08,0.42,0.42,0.42,0.42,712.0
2017-03-07,0.42,0.42,0.42,0.42,350.0
2017-03-06,0.41,0.41,0.41,0.41,20.0
2017-03-03,0.41,0.41,0.41,0.41,2330.0
2017-03-02,0.41,0.41,0.41,0.41,600.0
2017-03-01,0.41,0.41,0.41,0.41,150.0
2017-02-24,0.39,0.39,0.39,0.39,20428.0
2017-02-23,0.38,0.38,0.38,0.38,100.0
2017-02-22,0.3,0.35,0.3,0.35,8058.0
2017-02-21,0.33,0.33,0.33,0.33,1700.0
2017-02-20,0.33,0.33,0.33,0.33,1300.0
2017-02-10,0.36,0.36,0.31,0.31,19166.0
2017-02-09,0.34,0.36,0.34,0.36,1153.0
2017-02-08,0.36,0.36,0.34,0.34,1032.0
