Date,Open,High,Low,Close,Volume
2001-02-07,10.44,10.7,10.38,10.64,304400
2001-02-08,10.69,10.75,10.62,10.72,425200
2001-02-09,10.79,10.83,10.66,10.82,1018800
2001-02-12,10.92,11.34,10.92,11.25,446000
2001-02-13,11.25,11.75,11.25,11.73,873200
2001-02-14,11.52,11.52,11.32,11.49,1115600
2001-02-15,11.28,11.4,11.25,11.27,313600
2001-02-16,11.25,11.25,10.94,11.05,249200
2001-02-20,11.16,11.37,11.16,11.26,423600
2001-02-21,11.2,11.51,11.2,11.42,407200
2001-02-22,11.45,11.81,11.45,11.75,517200
2001-02-23,11.72,11.72,11.15,11.46,735200
2001-02-26,11.45,11.56,11.41,11.48,482000
2001-02-27,11.46,11.58,11.44,11.48,797600
2001-02-28,11.5,11.56,11.22,11.24,833600
2001-03-01,11.25,11.3,11.14,11.28,482000
2001-03-02,11.11,11.52,11.1,11.35,419200
2001-03-05,11.35,11.35,11.19,11.24,207600
2001-03-06,11.35,11.35,11.08,11.08,230800
2001-03-07,11.08,11.14,11.04,11.08,378000
2001-03-08,11.02,11.02,10.38,10.48,1050400
2001-03-09,10.42,10.55,9.89,9.92,1409600
2001-03-12,9.92,9.92,9.67,9.74,742800
2001-03-13,9.51,9.79,9.5,9.71,471600
2001-03-14,9.7,9.81,9.06,9.16,824800
2001-03-15,9.49,9.5,9.26,9.42,839600
2001-03-16,9.5,9.66,9.5,9.62,1290000
2001-03-19,9.61,9.86,9.53,9.81,679600
2001-03-20,10.0,10.03,9.76,9.76,645600
2001-03-21,9.75,9.75,9.28,9.51,989600
2001-03-22,9.44,9.44,9.08,9.25,475600
2001-03-23,9.3,9.5,9.3,9.49,418400
2001-03-26,9.56,9.64,9.16,9.46,902400
2001-03-27,9.49,9.53,9.28,9.5,603200
2001-03-28,9.5,9.6,9.38,9.5,1094800
2001-03-29,9.58,10.19,9.56,10.04,793200
2001-03-30,10.04,10.16,9.88,10.1,643200
2001-04-02,10.1,10.1,9.76,9.84,615200
2001-04-03,9.85,9.85,9.45,9.48,1280800
