Date,Open,High,Close,Volume
2002-09-25,16.1,16.1,16.1,1000
2002-09-26,16.1,16.4,16.4,111900
2002-09-27,16.25,16.3,16.1,37100
2002-09-30,16.0,17.25,17.25,903300
2002-10-01,17.2,17.65,16.78,662400
2002-10-02,16.78,16.78,15.7,592000
2002-10-03,15.55,16.38,16.1,647000
2002-10-04,16.0,16.1,15.68,379500
2002-10-07,15.75,16.0,15.0,589600
2002-10-08,14.4,14.4,14.04,416400
2002-10-09,14.1,14.25,14.0,291200
2002-10-10,13.95,14.0,13.49,739200
2002-10-11,13.59,13.88,13.6,485800
2002-10-14,13.4,14.3,14.17,166200
2002-10-15,14.12,14.98,14.95,318300
2002-10-16,14.85,14.95,14.15,274100
2002-10-17,14.15,14.48,14.39,1012300
2002-10-18,14.4,14.93,14.76,342600
2002-10-21,14.55,14.94,14.77,263500
2002-10-22,14.75,15.1,15.1,265500
2002-10-23,15.1,15.38,15.34,372600
2002-10-24,15.3,15.48,15.48,395300
2002-10-25,15.48,15.48,15.37,265100
2002-10-28,15.35,15.42,15.35,442600
2002-10-29,15.35,15.35,15.34,202200
2002-10-30,15.35,16.08,16.0,197100
2002-10-31,16.0,16.03,15.9,257100
2002-11-01,15.9,16.0,16.0,159200
2002-11-04,15.97,16.1,15.85,120800
2002-11-05,15.85,15.85,15.61,252699
2002-11-06,15.65,15.73,15.55,190700
2002-11-07,15.5,15.65,15.57,207000
2002-11-08,15.49,15.49,15.1,78600
2002-11-11,14.85,15.16,15.15,41500
2002-11-12,15.08,15.15,15.12,40300
2002-11-13,15.12,15.12,14.6,395300
2002-11-14,14.6,14.83,14.69,58500
2002-11-15,14.55,14.71,14.6,149700
2002-11-18,14.53,14.7,14.7,181400
2002-11-19,14.63,14.81,14.8,199700
2002-11-20,14.8,15.28,15.28,236900
2002-11-21,15.25,15.31,15.14,306100
2002-11-22,15.2,15.33,15.22,260100
2002-11-25,15.22,15.6,15.55,280000
2002-11-26,15.48,15.57,15.4,28100
2002-11-27,15.37,15.5,15.43,47400
2002-11-28,15.37,15.5,15.43,0
2002-11-29,15.37,15.5,15.12,61700
2002-12-02,15.5,16.01,15.83,293300
2002-12-03,15.85,15.95,15.82,228900
2002-12-04,15.87,16.3,16.18,176900
2002-12-05,16.19,16.55,16.47,168000
2002-12-06,16.35,16.98,16.73,400600
2002-12-09,16.7,17.21,16.85,333000
2002-12-10,16.8,17.02,17.02,114500
2002-12-11,16.92,17.1,16.8,147100
2002-12-12,16.8,17.55,17.42,156900
2002-12-13,17.3,17.7,17.5,353100
2002-12-16,17.44,17.88,17.28,304100
2002-12-17,17.27,17.45,16.86,115200
2002-12-18,16.78,16.85,16.7,184300
2002-12-19,16.62,17.09,16.9,222400
2002-12-20,16.95,17.2,16.55,110400
2002-12-23,16.45,17.0,17.0,415400
2002-12-24,16.92,17.2,16.98,65400
2002-12-25,16.92,17.2,16.98,0
2002-12-26,16.9,17.0,16.98,114700
2002-12-27,17.0,17.08,16.94,94500
2002-12-30,17.0,17.54,17.54,137400
2002-12-31,17.5,18.0,17.9,185300
2003-01-01,17.5,18.0,17.9,0
2003-01-02,17.9,18.42,18.42,224300
2003-01-03,18.41,18.45,18.05,103200
2003-01-06,17.7,17.85,17.65,116800
2003-01-07,17.55,17.55,17.35,46200
2003-01-08,17.25,17.6,17.41,79600
2003-01-09,17.41,17.6,17.17,113700
2003-01-10,17.07,17.48,17.38,143600
2003-01-13,17.43,17.65,17.65,234200
2003-01-14,17.69,18.22,18.15,219100
2003-01-15,18.2,18.38,18.32,108000
2003-01-16,18.52,19.47,19.3,223400
