Date,Open,High,Close,Volume
2000-01-03,7.96,8.0,7.8335,582300
2000-01-04,7.835,7.9165,7.8335,317700
2000-01-05,7.835,8.0415,7.9685,1188000
2000-01-06,7.875,8.021,7.9795,534300
2000-01-07,7.96,8.021,7.9585,1401000
2000-01-10,7.96,8.1665,8.146,607200
2000-01-11,8.085,8.1875,8.146,579900
2000-01-12,8.155,8.1665,7.9685,1068600
2000-01-13,8.1563,8.3125,7.9375,847797
2000-01-14,8.335,8.3645,8.2085,1164000
2000-01-17,8.335,8.3645,8.2085,0
2000-01-18,8.085,8.146,8.0415,540000
2000-01-19,8.0,8.0835,8.0,622200
2000-01-20,8.0,8.125,7.771,1163400
2000-01-21,7.835,8.021,7.9585,1942800
2000-01-24,8.045,8.1665,8.125,1599900
2000-01-25,7.9688,8.1667,8.0417,1480197
2000-01-26,8.0,8.125,8.125,594600
2000-01-27,8.125,8.3125,8.146,715200
2000-01-28,8.146,8.3335,8.271,907800
2000-01-31,8.315,8.3335,8.25,1355400
2000-02-01,8.25,8.375,8.3335,2767200
2000-02-02,8.375,8.6198,8.401,1298397
2000-02-03,8.5625,8.6667,8.6667,2033697
2000-02-04,8.665,8.7915,8.771,1044000
2000-02-07,8.835,8.875,8.8335,1508400
2000-02-08,8.815,8.8545,8.8125,421800
2000-02-09,8.855,8.875,8.7085,1130100
2000-02-10,8.665,8.7085,8.5415,1025700
2000-02-11,8.5,8.5415,8.4585,1032300
2000-02-14,8.415,8.4795,8.3545,753600
2000-02-15,8.395,8.4165,8.2915,1576200
2000-02-16,8.335,8.7605,8.4585,1548600
2000-02-17,8.605,8.7085,8.323,901800
2000-02-18,8.315,8.3335,8.3335,1114200
2000-02-21,8.315,8.3335,8.3335,0
2000-02-22,8.355,8.4585,8.4165,656100
2000-02-23,8.415,8.625,8.5625,765300
2000-02-24,8.5833,8.6042,8.0417,1196697
2000-02-25,8.345,8.5415,8.5,879900
2000-02-28,8.5,8.5415,8.3855,849600
2000-02-29,8.4167,8.625,8.5417,971697
2000-03-01,8.565,8.625,8.6045,814500
2000-03-02,8.545,8.5835,8.5415,1179300
2000-03-03,8.46,8.6665,8.625,491100
2000-03-06,8.46,8.625,8.4165,1859400
2000-03-07,8.5,8.5,8.4165,2130900
2000-03-08,8.375,8.4585,8.2915,1425600
2000-03-09,8.335,8.5835,8.521,777900
2000-03-10,8.5,8.625,8.4375,799200
2000-03-13,8.3435,8.3435,8.323,847500
2000-03-14,8.21,8.5835,8.3645,1437900
2000-03-15,8.2083,9.0833,8.7083,613197
2000-03-16,8.665,9.0,9.0,822600
2000-03-17,8.665,9.0,8.896,621900
2000-03-20,8.795,9.3335,9.1875,842700
2000-03-21,9.125,9.4585,9.3125,582900
2000-03-22,9.125,9.5208,9.1667,405597
2000-03-23,9.27,9.271,9.0835,859800
2000-03-24,9.0,9.125,8.9165,311100
2000-03-27,9.03,9.2085,9.0835,462000
2000-03-28,8.96,9.5,9.4585,1204800
2000-03-29,9.335,9.5415,9.1665,653100
2000-03-30,9.145,9.3335,9.021,1941600
2000-03-31,9.0,9.625,9.4585,2643600
2000-04-03,9.365,9.375,9.125,452700
2000-04-04,9.055,9.5,9.146,837900
2000-04-05,9.165,9.6045,9.1665,749700
2000-04-06,9.295,9.375,9.198,825300
2000-04-07,9.085,9.3335,9.271,425100
2000-04-10,9.21,9.3335,9.125,489600
2000-04-11,9.045,9.375,9.146,581400
2000-04-12,9.045,9.5835,9.4585,586500
2000-04-13,9.415,9.646,9.4165,605700
2000-04-14,9.335,9.5835,9.0,1141500
2000-04-17,9.0,9.1665,9.1665,504600
2000-04-18,9.0052,9.4375,9.4167,638097
2000-04-19,9.395,9.5835,9.021,1112100
2000-04-20,9.0,9.5835,9.573,462300
2000-04-21,9.0,9.5835,9.573,0
2000-04-24,9.25,9.6458,9.3333,277497
2000-04-25,9.295,10.0,9.7295,795900
2000-04-26,9.625,9.875,9.6665,933300
2000-04-27,9.5,10.0,9.8545,889800
2000-04-28,9.815,9.8545,9.6875,333300
2000-05-01,9.71,9.7185,9.6665,1035900
2000-05-02,9.545,9.771,9.6045,655200
2000-05-03,9.71,9.75,9.4165,492900
2000-05-04,9.71,10.125,9.8335,1190700
2000-05-05,9.875,10.0415,9.9795,594600
2000-05-08,9.98,10.25,10.1665,822900
2000-05-09,10.21,10.2915,10.146,750900
2000-05-10,10.125,10.146,10.021,345300
2000-05-11,10.125,10.3335,10.1665,683100
2000-05-12,10.165,10.2915,9.9585,516300
2000-05-15,9.98,10.875,10.875,1012200
2000-05-16,10.665,10.75,10.5835,911100
2000-05-17,10.585,10.75,10.6045,774000
2000-05-18,10.46,10.5835,10.375,726300
2000-05-19,10.295,10.4685,10.4165,839400
2000-05-22,10.375,10.4795,10.0,754200
2000-05-23,10.125,10.3335,10.1665,519300
2000-05-24,10.165,10.25,10.25,379200
2000-05-25,10.1665,10.5415,10.3545,651900
2000-05-26,10.335,10.520999999999999,10.4375,217800
2000-05-29,10.335,10.520999999999999,10.4375,0
2000-05-30,10.375,10.4585,10.4375,1296300
2000-05-31,10.395,10.5,10.2295,594000
2000-06-01,10.375,10.375,10.270999999999999,753900
2000-06-02,10.335,10.395999999999999,10.2915,956100
2000-06-05,10.375,10.375,10.3125,567600
2000-06-06,10.335,10.4585,10.395999999999999,492300
2000-06-07,10.375,10.4585,10.2085,621900
2000-06-08,10.1665,10.3545,10.3545,522000
2000-06-09,10.355,10.4375,10.3545,311400
2000-06-12,10.355,10.4165,10.2915,639000
2000-06-13,10.21,10.3335,10.3125,290100
2000-06-14,10.165,10.3335,10.3335,504600
2000-06-15,10.25,10.4585,10.4375,681300
2000-06-16,10.4271,10.4271,10.349,843897
2000-06-19,10.295,10.75,10.5835,615900
2000-06-20,10.625,10.770999999999999,10.5625,234900
2000-06-21,10.25,10.7295,10.5415,306300
2000-06-22,10.545,10.7295,10.5625,1234200
2000-06-23,10.415,10.6665,10.4585,799500
2000-06-26,10.46,10.520999999999999,10.3335,1331400
2000-06-27,10.27,10.2915,9.9375,3701100
2000-06-28,9.96,10.4585,10.4585,735600
2000-06-29,10.335,10.7915,10.6045,513000
2000-06-30,10.3333,10.7917,10.2708,1930497
2000-07-03,10.165,10.2915,10.0835,323700
2000-07-04,10.165,10.2915,10.0835,0
2000-07-05,10.02,10.021,9.9375,482700
2000-07-06,10.0625,10.375,10.1667,617097
2000-07-07,10.185,10.9165,10.5,496200
2000-07-10,10.5,11.1355,11.0625,975600
2000-07-11,11.065,11.2915,11.020999999999999,1384200
